Source_ID,Source_Type,Target_ID,Target_Type,Relationship,Status
GOV-000001,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000002,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000003,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000004,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000005,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000006,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000007,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000008,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000009,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000010,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000011,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000012,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000013,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000014,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000015,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000016,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000017,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000018,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000019,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000020,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000021,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000022,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000023,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000024,Requirement,GES-P01-001,Specification,Defined by,Review
GOV-000025,Requirement,GES-P01-001,Specification,Defined by,Review
