rule_id,domain,name,rule,severity
P13-BR-001,Executive Command Center,Governed intelligence rule 1,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-002,Semantic Metrics Layer,Governed intelligence rule 2,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-003,Operational Intelligence,Governed intelligence rule 3,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-004,Financial Intelligence,Governed intelligence rule 4,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-005,Project Intelligence,Governed intelligence rule 5,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-006,Estimating Intelligence,Governed intelligence rule 6,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-007,CRM & Market Intelligence,Governed intelligence rule 7,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-008,Workforce Intelligence,Governed intelligence rule 8,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-009,Procurement Intelligence,Governed intelligence rule 9,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-010,Fleet Intelligence,Governed intelligence rule 10,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-011,"Safety, Quality & Compliance Analytics",Governed intelligence rule 11,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-012,Portfolio & Program Intelligence,Governed intelligence rule 12,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-013,Forecasting & Scenario Planning,Governed intelligence rule 13,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-014,AI Decision Intelligence,Governed intelligence rule 14,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-015,Data Platform & Lineage,Governed intelligence rule 15,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
P13-BR-016,Reporting & Distribution,Governed intelligence rule 16,"Analytics output must use certified definitions, enforce entitlements, retain lineage and identify freshness before decision use.",Blocking
