api_id,method,path,resource,security,control
P14-API-001,GET/POST,/api/v1/hseq/plans,plans,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-002,GET/POST,/api/v1/hseq/hazards,hazards,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-003,GET/POST,/api/v1/hseq/risk-assessments,risk-assessments,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-004,GET/POST,/api/v1/hseq/controls,controls,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-005,GET/POST,/api/v1/hseq/jhas,jhas,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-006,GET/POST,/api/v1/hseq/pre-task-plans,pre-task-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-007,GET/POST,/api/v1/hseq/toolbox-talks,toolbox-talks,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-008,GET/POST,/api/v1/hseq/observations,observations,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-009,GET/POST,/api/v1/hseq/stop-work,stop-work,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-010,GET/POST,/api/v1/hseq/incidents,incidents,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-011,GET/POST,/api/v1/hseq/near-misses,near-misses,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-012,GET/POST,/api/v1/hseq/investigations,investigations,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-013,GET/POST,/api/v1/hseq/root-causes,root-causes,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-014,GET/POST,/api/v1/hseq/corrective-actions,corrective-actions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-015,GET/POST,/api/v1/hseq/permits,permits,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-016,GET/POST,/api/v1/hseq/confined-space,confined-space,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-017,GET/POST,/api/v1/hseq/hot-work,hot-work,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-018,GET/POST,/api/v1/hseq/excavation-permits,excavation-permits,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-019,GET/POST,/api/v1/hseq/lift-permits,lift-permits,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-020,GET/POST,/api/v1/hseq/loto,loto,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-021,GET/POST,/api/v1/hseq/training,training,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-022,GET/POST,/api/v1/hseq/certifications,certifications,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-023,GET/POST,/api/v1/hseq/qualifications,qualifications,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-024,GET/POST,/api/v1/hseq/inspections,inspections,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-025,GET/POST,/api/v1/hseq/findings,findings,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-026,GET/POST,/api/v1/hseq/audits,audits,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-027,GET/POST,/api/v1/hseq/regulatory-obligations,regulatory-obligations,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-028,GET/POST,/api/v1/hseq/compliance-evidence,compliance-evidence,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-029,GET/POST,/api/v1/hseq/environmental-permits,environmental-permits,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-030,GET/POST,/api/v1/hseq/swppp,swppp,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-031,GET/POST,/api/v1/hseq/spills,spills,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-032,GET/POST,/api/v1/hseq/waste,waste,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-033,GET/POST,/api/v1/hseq/industrial-hygiene,industrial-hygiene,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-034,GET/POST,/api/v1/hseq/emergency-plans,emergency-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-035,GET/POST,/api/v1/hseq/emergency-events,emergency-events,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-036,GET/POST,/api/v1/hseq/quality-inspections,quality-inspections,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-037,GET/POST,/api/v1/hseq/itps,itps,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-038,GET/POST,/api/v1/hseq/ncrs,ncrs,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-039,GET/POST,/api/v1/hseq/test-results,test-results,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-040,GET/POST,/api/v1/hseq/hold-points,hold-points,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-041,GET/POST,/api/v1/hseq/punch-items,punch-items,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
P14-API-042,GET/POST,/api/v1/hseq/subcontractor-hseq,subcontractor-hseq,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; audited; safety-critical actions require explicit authority
