workflow_id,name,domain,states,control
P15-WF-001,Document Creation & Numbering,Document Control,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-002,Document Review & Approval,Drawing Management,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-003,Revision & Supersession,Specification Management,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-004,Drawing Issue & Distribution,Submittals,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-005,Drawing Review & Markup,RFIs,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-006,Specification Revision,Transmittals & Distribution,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-007,Addendum Processing,Correspondence & Records,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-008,Submittal Creation & Review,Version & Revision Control,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-009,Submittal Resubmission,Markup & Review,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-010,RFI Creation & Routing,OCR & Content Extraction,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-011,RFI Response & Closure,Plan & Spec Intelligence,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-012,Transmittal Issue,Document Search & Retrieval,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-013,Formal Correspondence,Records Retention & Legal Hold,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-014,Meeting Record & Decision Capture,External Collaboration,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-015,Bulk Document Import,Field Document Access,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-016,OCR & Classification,BIM/CDE Coordination,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-017,Metadata Review,Closeout & Turnover,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-018,AI Plan/Spec Extraction Review,Document Intelligence Digital Twin,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-019,Drawing/Spec Conflict Review,Document Control,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-020,Document Search & Retrieval,Drawing Management,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-021,External Secure Share,Specification Management,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-022,Guest Review,Submittals,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-023,Field Current-Set Publication,RFIs,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-024,Offline Package Sync,Transmittals & Distribution,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-025,Legal Hold,Correspondence & Records,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-026,Retention Disposition,Version & Revision Control,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-027,BIM/CDE Coordination,Markup & Review,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-028,As-Built Collection,OCR & Content Extraction,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-029,O&M Manual Review,Plan & Spec Intelligence,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-030,Turnover Package,Document Search & Retrieval,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-031,Owner Acceptance,Records Retention & Legal Hold,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-032,Document Change Impact Review,External Collaboration,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-033,Document Audit,Field Document Access,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-034,Controlled Copy Distribution,BIM/CDE Coordination,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-035,Document Digital Twin Refresh,Closeout & Turnover,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
P15-WF-036,Information Release & Rollback,Document Intelligence Digital Twin,Initiate > Validate > Review > Approve/Respond > Publish/Issue > Acknowledge > Close/Archive,Authoritative revision and permission controls enforced
