api_id,method,path,resource,security,control
P13-API-001,GET/POST,/api/v1/analytics/metrics,metrics,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-002,GET/POST,/api/v1/analytics/semantic-models,semantic-models,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-003,GET/POST,/api/v1/analytics/datasets,datasets,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-004,GET/POST,/api/v1/analytics/data-products,data-products,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-005,GET/POST,/api/v1/analytics/sources,sources,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-006,GET/POST,/api/v1/analytics/ingestions,ingestions,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-007,GET/POST,/api/v1/analytics/quality-results,quality-results,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-008,GET/POST,/api/v1/analytics/lineage,lineage,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-009,GET/POST,/api/v1/analytics/dashboards,dashboards,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-010,GET/POST,/api/v1/analytics/scorecards,scorecards,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-011,GET/POST,/api/v1/analytics/objectives,objectives,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-012,GET/POST,/api/v1/analytics/kpis,kpis,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-013,GET/POST,/api/v1/analytics/reports,reports,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-014,GET/POST,/api/v1/analytics/subscriptions,subscriptions,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-015,GET/POST,/api/v1/analytics/alerts,alerts,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-016,GET/POST,/api/v1/analytics/forecasts,forecasts,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-017,GET/POST,/api/v1/analytics/scenarios,scenarios,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-018,GET/POST,/api/v1/analytics/sensitivities,sensitivities,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-019,GET/POST,/api/v1/analytics/anomalies,anomalies,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-020,GET/POST,/api/v1/analytics/insights,insights,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-021,GET/POST,/api/v1/analytics/recommendations,recommendations,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-022,GET/POST,/api/v1/analytics/decisions,decisions,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-023,GET/POST,/api/v1/analytics/evidence,evidence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-024,GET/POST,/api/v1/analytics/portfolios,portfolios,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-025,GET/POST,/api/v1/analytics/programs,programs,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-026,GET/POST,/api/v1/analytics/project-health,project-health,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-027,GET/POST,/api/v1/analytics/financial-intelligence,financial-intelligence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-028,GET/POST,/api/v1/analytics/workforce-intelligence,workforce-intelligence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-029,GET/POST,/api/v1/analytics/fleet-intelligence,fleet-intelligence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-030,GET/POST,/api/v1/analytics/procurement-intelligence,procurement-intelligence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-031,GET/POST,/api/v1/analytics/crm-intelligence,crm-intelligence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-032,GET/POST,/api/v1/analytics/estimating-intelligence,estimating-intelligence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-033,GET/POST,/api/v1/analytics/safety-intelligence,safety-intelligence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
