Entity ID,Entity Name,Domain,Definition,Primary Key Strategy,Governance,System Role
P12-ENT-001,Tenant,Fleet Registry,Canonical tenant record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-002,Legal Entity,Asset Lifecycle,Canonical legal entity record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-003,Business Unit,Preventive Maintenance,Canonical business unit record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-004,Fleet Asset,Corrective Maintenance,Canonical fleet asset record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-005,Asset Class,Inspections,Canonical asset class record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-006,Asset Type,Telematics & IoT,Canonical asset type record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-007,Asset Model,Fuel & Energy,Canonical asset model record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-008,Manufacturer,Parts & Components,Canonical manufacturer record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-009,Dealer,Work Orders,Canonical dealer record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-010,Ownership Record,Shop Operations,Canonical ownership record record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-011,Lease Agreement,Field Service,Canonical lease agreement record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-012,Rental Agreement,Rental & Leased Assets,Canonical rental agreement record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-013,Asset Status History,Compliance,Canonical asset status history record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-014,Asset Location,Safety & Risk,Canonical asset location record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-015,Geofence,Utilization & Dispatch,Canonical geofence record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-016,Meter,Equipment Costing,Canonical meter record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-017,Meter Reading,Warranty & Claims,Canonical meter reading record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-018,Telematics Device,Tires & Undercarriage,Canonical telematics device record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-019,Telematics Provider,Attachments & Tools,Canonical telematics provider record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-020,Telematics Event,Documents & Media,Canonical telematics event record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-021,Diagnostic Trouble Code,Mobile & Offline,Canonical diagnostic trouble code record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-022,Engine Hour Reading,Fleet Intelligence,Canonical engine hour reading record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-023,Odometer Reading,Fleet Digital Twin,Canonical odometer reading record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-024,Fuel Transaction,Administration & Integration,Canonical fuel transaction record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-025,Fuel Card,Fleet Registry,Canonical fuel card record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-026,Fuel Tank,Asset Lifecycle,Canonical fuel tank record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-027,Fuel Delivery,Preventive Maintenance,Canonical fuel delivery record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-028,Charging Session,Corrective Maintenance,Canonical charging session record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-029,Energy Tariff,Inspections,Canonical energy tariff record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-030,Work Order,Telematics & IoT,Canonical work order record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-031,Work Order Task,Fuel & Energy,Canonical work order task record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-032,Maintenance Program,Parts & Components,Canonical maintenance program record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-033,Maintenance Trigger,Work Orders,Canonical maintenance trigger record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-034,Maintenance Schedule,Shop Operations,Canonical maintenance schedule record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-035,Service Interval,Field Service,Canonical service interval record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-036,Defect,Rental & Leased Assets,Canonical defect record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-037,Failure,Compliance,Canonical failure record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-038,Diagnostic Record,Safety & Risk,Canonical diagnostic record record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-039,Repair Action,Utilization & Dispatch,Canonical repair action record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-040,Technician,Equipment Costing,Canonical technician record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-041,Technician Skill,Warranty & Claims,Canonical technician skill record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-042,Shop,Tires & Undercarriage,Canonical shop record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-043,Shop Bay,Attachments & Tools,Canonical shop bay record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-044,Service Truck,Documents & Media,Canonical service truck record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-045,Labor Entry,Mobile & Offline,Canonical labor entry record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-046,Part,Fleet Intelligence,Canonical part record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-047,Part Inventory Link,Fleet Digital Twin,Canonical part inventory link record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-048,Part Issue,Administration & Integration,Canonical part issue record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-049,Core Return,Fleet Registry,Canonical core return record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-050,Component,Asset Lifecycle,Canonical component record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-051,Component Position,Preventive Maintenance,Canonical component position record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-052,Component Installation,Corrective Maintenance,Canonical component installation record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-053,Warranty,Inspections,Canonical warranty record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-054,Warranty Claim,Telematics & IoT,Canonical warranty claim record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-055,Inspection Template,Fuel & Energy,Canonical inspection template record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-056,Inspection,Parts & Components,Canonical inspection record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-057,Inspection Item,Work Orders,Canonical inspection item record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-058,Inspection Finding,Shop Operations,Canonical inspection finding record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-059,Corrective Action,Field Service,Canonical corrective action record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-060,Lockout Record,Rental & Leased Assets,Canonical lockout record record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
P12-ENT-061,Operator Authorization,Compliance,Canonical operator authorization record supporting governed fleet and asset operations.,tenant_id,Effective-dated; auditable; API-addressable,System of Record
