report_id,name,audience,purpose,formats
P18-RPT-001,Master Schedule,Project Controls/Operations/Executive,"Governed master schedule with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-002,Baseline Comparison,Project Controls/Operations/Executive,"Governed baseline comparison with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-003,Schedule Update Report,Project Controls/Operations/Executive,"Governed schedule update report with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-004,Critical Path Report,Project Controls/Operations/Executive,"Governed critical path report with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-005,Longest Path Report,Project Controls/Operations/Executive,"Governed longest path report with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-006,Float Report,Project Controls/Operations/Executive,"Governed float report with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-007,Milestone Forecast,Project Controls/Operations/Executive,"Governed milestone forecast with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-008,Schedule Quality Report,Project Controls/Operations/Executive,"Governed schedule quality report with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-009,Resource Loading,Project Controls/Operations/Executive,"Governed resource loading with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-010,Resource Overload,Project Controls/Operations/Executive,"Governed resource overload with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-011,Crew Demand,Project Controls/Operations/Executive,"Governed crew demand with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-012,Equipment Demand,Project Controls/Operations/Executive,"Governed equipment demand with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-013,Truck Demand,Project Controls/Operations/Executive,"Governed truck demand with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-014,Material Need-Date,Project Controls/Operations/Executive,"Governed material need-date with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-015,Subcontractor Capacity,Project Controls/Operations/Executive,"Governed subcontractor capacity with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-016,Look-Ahead Report,Project Controls/Operations/Executive,"Governed look-ahead report with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
P18-RPT-017,Weekly Work Plan,Project Controls/Operations/Executive,"Governed weekly work plan with schedule version, baseline, calendar/resource context and drill-through.",Gantt/Dashboard/PDF/XLSX/CSV
