requirement_id,test_id,incorporated_source,master_domain,status
P99-REQ-001,P99-TST-001,P01-P32 incorporated baseline,Master Authority,Mapped
P99-REQ-002,P99-TST-002,P01-P32 incorporated baseline,Immutable Sources,Mapped
P99-REQ-003,P99-TST-003,P01-P32 incorporated baseline,No Silent Reconciliation,Mapped
P99-REQ-004,P99-TST-004,P01-P32 incorporated baseline,Requirement Incorporation,Mapped
P99-REQ-005,P99-TST-005,P01-P32 incorporated baseline,Test Incorporation,Mapped
P99-REQ-006,P99-TST-006,P01-P32 incorporated baseline,Phase Identity,Mapped
P99-REQ-007,P99-TST-007,P01-P32 incorporated baseline,Traceability Minimum,Mapped
P99-REQ-008,P99-TST-008,P01-P32 incorporated baseline,Change Control,Mapped
P99-REQ-009,P99-TST-009,P01-P32 incorporated baseline,Phase 22 Lock,Mapped
P99-REQ-010,P99-TST-010,P01-P32 incorporated baseline,Phase 24 Foundation,Mapped
P99-REQ-011,P99-TST-011,P01-P32 incorporated baseline,Phase 25 Authority,Mapped
P99-REQ-012,P99-TST-012,P01-P32 incorporated baseline,Phase 26 Authority,Mapped
P99-REQ-013,P99-TST-013,P01-P32 incorporated baseline,AI Math Boundary,Mapped
P99-REQ-014,P99-TST-014,P01-P32 incorporated baseline,Phase 27 AI Boundary,Mapped
P99-REQ-015,P99-TST-015,P01-P32 incorporated baseline,Phase 28 Security,Mapped
P99-REQ-016,P99-TST-016,P01-P32 incorporated baseline,Security vs Entitlement,Mapped
P99-REQ-017,P99-TST-017,P01-P32 incorporated baseline,Phase 29 Authority,Mapped
P99-REQ-018,P99-TST-018,P01-P32 incorporated baseline,Phase 31 Release Rule,Mapped
P99-REQ-019,P99-TST-019,P01-P32 incorporated baseline,Phase 32 Truth Rule,Mapped
P99-REQ-020,P99-TST-020,P01-P32 incorporated baseline,Production Certification,Mapped
P99-REQ-021,P99-TST-021,P01-P32 incorporated baseline,Tenant Isolation,Mapped
P99-REQ-022,P99-TST-022,P01-P32 incorporated baseline,Default Deny,Mapped
P99-REQ-023,P99-TST-023,P01-P32 incorporated baseline,Secrets,Mapped
P99-REQ-024,P99-TST-024,P01-P32 incorporated baseline,Schema Change,Mapped
P99-REQ-025,P99-TST-025,P01-P32 incorporated baseline,API Compatibility,Mapped
P99-REQ-026,P99-TST-026,P01-P32 incorporated baseline,Provider Neutrality,Mapped
P99-REQ-027,P99-TST-027,P01-P32 incorporated baseline,Architecture Decisions,Mapped
P99-REQ-028,P99-TST-028,P01-P32 incorporated baseline,Build Order,Mapped
P99-REQ-029,P99-TST-029,P01-P32 incorporated baseline,Security From Start,Mapped
P99-REQ-030,P99-TST-030,P01-P32 incorporated baseline,Golden Tests,Mapped
P99-REQ-031,P99-TST-031,P01-P32 incorporated baseline,Evidence Before Pass,Mapped
P99-REQ-032,P99-TST-032,P01-P32 incorporated baseline,No Test Weakening,Mapped
P99-REQ-033,P99-TST-033,P01-P32 incorporated baseline,AI Coding Agent Contract,Mapped
P99-REQ-034,P99-TST-034,P01-P32 incorporated baseline,AI Source Discipline,Mapped
P99-REQ-035,P99-TST-035,P01-P32 incorporated baseline,Deployment Promotion,Mapped
P99-REQ-036,P99-TST-036,P01-P32 incorporated baseline,Stop Conditions,Mapped
P99-REQ-037,P99-TST-037,P01-P32 incorporated baseline,Backup/Restore,Mapped
P99-REQ-038,P99-TST-038,P01-P32 incorporated baseline,RTO/RPO,Mapped
P99-REQ-039,P99-TST-039,P01-P32 incorporated baseline,Operational Ownership,Mapped
P99-REQ-040,P99-TST-040,P01-P32 incorporated baseline,White Label Boundary,Mapped
P99-REQ-041,P99-TST-041,P01-P32 incorporated baseline,Master Manifest,Mapped
P99-REQ-042,P99-TST-042,P01-P32 incorporated baseline,Release Archive,Mapped
P99-REQ-043,P99-TST-043,P01-P32 incorporated baseline,Derived Artifact Rule,Mapped
P99-REQ-044,P99-TST-044,P01-P32 incorporated baseline,Exception Expiry,Mapped
P99-REQ-045,P99-TST-045,P01-P32 incorporated baseline,No False Completion,Mapped
P99-REQ-046,P99-TST-046,P01-P32 incorporated baseline,Master Libraries,Mapped
P99-REQ-047,P99-TST-047,P01-P32 incorporated baseline,Deterministic Estimating,Mapped
P99-REQ-048,P99-TST-048,P01-P32 incorporated baseline,AI Governance,Mapped
P99-REQ-049,P99-TST-049,P01-P32 incorporated baseline,Security Inheritance,Mapped
P99-REQ-050,P99-TST-050,P01-P32 incorporated baseline,Analytics Governance,Mapped
P99-REQ-051,P99-TST-051,P01-P32 incorporated baseline,Commercial Governance,Mapped
P99-REQ-052,P99-TST-052,P01-P32 incorporated baseline,Production Operations,Mapped
P99-REQ-053,P99-TST-053,P01-P32 incorporated baseline,UAT & Pilot,Mapped
P99-REQ-054,P99-TST-054,P01-P32 incorporated baseline,Migration & Cutover,Mapped
P99-REQ-055,P99-TST-055,P01-P32 incorporated baseline,Certification,Mapped
P99-REQ-056,P99-TST-056,P01-P32 incorporated baseline,Change Control,Mapped
P99-REQ-057,P99-TST-057,P01-P32 incorporated baseline,Versioning,Mapped
P99-REQ-058,P99-TST-058,P01-P32 incorporated baseline,Release Management,Mapped
P99-REQ-059,P99-TST-059,P01-P32 incorporated baseline,Provider Neutrality,Mapped
P99-REQ-060,P99-TST-060,P01-P32 incorporated baseline,Tenant Isolation,Mapped
P99-REQ-061,P99-TST-061,P01-P32 incorporated baseline,Audit & Evidence,Mapped
P99-REQ-062,P99-TST-062,P01-P32 incorporated baseline,Testing,Mapped
P99-REQ-063,P99-TST-063,P01-P32 incorporated baseline,Quality Gates,Mapped
P99-REQ-064,P99-TST-064,P01-P32 incorporated baseline,Documentation,Mapped
P99-REQ-065,P99-TST-065,P01-P32 incorporated baseline,Developer Execution,Mapped
P99-REQ-066,P99-TST-066,P01-P32 incorporated baseline,AI Coding Agents,Mapped
P99-REQ-067,P99-TST-067,P01-P32 incorporated baseline,Exception Management,Mapped
P99-REQ-068,P99-TST-068,P01-P32 incorporated baseline,Risk Acceptance,Mapped
P99-REQ-069,P99-TST-069,P01-P32 incorporated baseline,Operational Ownership,Mapped
P99-REQ-070,P99-TST-070,P01-P32 incorporated baseline,Deployment Promotion,Mapped
P99-REQ-071,P99-TST-071,P01-P32 incorporated baseline,Rollback & Recovery,Mapped
P99-REQ-072,P99-TST-072,P01-P32 incorporated baseline,Disaster Recovery,Mapped
P99-REQ-073,P99-TST-073,P01-P32 incorporated baseline,Support & Hypercare,Mapped
P99-REQ-074,P99-TST-074,P01-P32 incorporated baseline,Release Archive,Mapped
P99-REQ-075,P99-TST-075,P01-P32 incorporated baseline,Master Authority,Mapped
