api_id,method,path,resource,security,control
P16-API-001,GET/POST,/api/v1/geospatial/maps,maps,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-002,GET/POST,/api/v1/geospatial/layers,layers,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-003,GET/POST,/api/v1/geospatial/features,features,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-004,GET/POST,/api/v1/geospatial/crs,crs,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-005,GET/POST,/api/v1/geospatial/transformations,transformations,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-006,GET/POST,/api/v1/geospatial/control-points,control-points,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-007,GET/POST,/api/v1/geospatial/benchmarks,benchmarks,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-008,GET/POST,/api/v1/geospatial/survey-networks,survey-networks,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-009,GET/POST,/api/v1/geospatial/adjustments,adjustments,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-010,GET/POST,/api/v1/geospatial/gnss,gnss,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-011,GET/POST,/api/v1/geospatial/rtk-sessions,rtk-sessions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-012,GET/POST,/api/v1/geospatial/static-sessions,static-sessions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-013,GET/POST,/api/v1/geospatial/total-station,total-station,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-014,GET/POST,/api/v1/geospatial/level-runs,level-runs,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-015,GET/POST,/api/v1/geospatial/stakeout,stakeout,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-016,GET/POST,/api/v1/geospatial/topography,topography,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-017,GET/POST,/api/v1/geospatial/existing-conditions,existing-conditions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-018,GET/POST,/api/v1/geospatial/utilities,utilities,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-019,GET/POST,/api/v1/geospatial/potholes,potholes,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-020,GET/POST,/api/v1/geospatial/drones,drones,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-021,GET/POST,/api/v1/geospatial/pilots,pilots,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-022,GET/POST,/api/v1/geospatial/missions,missions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-023,GET/POST,/api/v1/geospatial/flights,flights,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-024,GET/POST,/api/v1/geospatial/flight-authorizations,flight-authorizations,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-025,GET/POST,/api/v1/geospatial/airspace-records,airspace-records,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-026,GET/POST,/api/v1/geospatial/batteries,batteries,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-027,GET/POST,/api/v1/geospatial/payloads,payloads,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-028,GET/POST,/api/v1/geospatial/drone-maintenance,drone-maintenance,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-029,GET/POST,/api/v1/geospatial/flight-media,flight-media,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-030,GET/POST,/api/v1/geospatial/image-sets,image-sets,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-031,GET/POST,/api/v1/geospatial/ground-control,ground-control,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-032,GET/POST,/api/v1/geospatial/checkpoints,checkpoints,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-033,GET/POST,/api/v1/geospatial/photogrammetry,photogrammetry,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-034,GET/POST,/api/v1/geospatial/orthomosaics,orthomosaics,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
