requirement_id,test_id,engine_id,api_id,ui_id,status
P18-REQ-001,P18-TST-001,P18-ENG-001,P18-API-001,P18-UI-001,Mapped
P18-REQ-002,P18-TST-002,P18-ENG-002,P18-API-002,P18-UI-002,Mapped
P18-REQ-003,P18-TST-003,P18-ENG-003,P18-API-003,P18-UI-003,Mapped
P18-REQ-004,P18-TST-004,P18-ENG-004,P18-API-004,P18-UI-004,Mapped
P18-REQ-005,P18-TST-005,P18-ENG-005,P18-API-005,P18-UI-005,Mapped
P18-REQ-006,P18-TST-006,P18-ENG-006,P18-API-006,P18-UI-006,Mapped
P18-REQ-007,P18-TST-007,P18-ENG-007,P18-API-007,P18-UI-007,Mapped
P18-REQ-008,P18-TST-008,P18-ENG-008,P18-API-008,P18-UI-008,Mapped
P18-REQ-009,P18-TST-009,P18-ENG-009,P18-API-009,P18-UI-009,Mapped
P18-REQ-010,P18-TST-010,P18-ENG-010,P18-API-010,P18-UI-010,Mapped
P18-REQ-011,P18-TST-011,P18-ENG-011,P18-API-011,P18-UI-011,Mapped
P18-REQ-012,P18-TST-012,P18-ENG-012,P18-API-012,P18-UI-012,Mapped
P18-REQ-013,P18-TST-013,P18-ENG-013,P18-API-013,P18-UI-013,Mapped
P18-REQ-014,P18-TST-014,P18-ENG-014,P18-API-014,P18-UI-014,Mapped
P18-REQ-015,P18-TST-015,P18-ENG-015,P18-API-015,P18-UI-015,Mapped
P18-REQ-016,P18-TST-016,P18-ENG-016,P18-API-016,P18-UI-016,Mapped
P18-REQ-017,P18-TST-017,P18-ENG-017,P18-API-017,P18-UI-017,Mapped
P18-REQ-018,P18-TST-018,P18-ENG-018,P18-API-018,P18-UI-018,Mapped
P18-REQ-019,P18-TST-019,P18-ENG-019,P18-API-019,P18-UI-019,Mapped
P18-REQ-020,P18-TST-020,P18-ENG-020,P18-API-020,P18-UI-020,Mapped
P18-REQ-021,P18-TST-021,P18-ENG-021,P18-API-021,P18-UI-021,Mapped
P18-REQ-022,P18-TST-022,P18-ENG-022,P18-API-022,P18-UI-022,Mapped
P18-REQ-023,P18-TST-023,P18-ENG-023,P18-API-023,P18-UI-023,Mapped
P18-REQ-024,P18-TST-024,P18-ENG-024,P18-API-024,P18-UI-024,Mapped
P18-REQ-025,P18-TST-025,P18-ENG-025,P18-API-025,P18-UI-025,Mapped
P18-REQ-026,P18-TST-026,P18-ENG-026,P18-API-026,P18-UI-026,Mapped
P18-REQ-027,P18-TST-027,P18-ENG-027,P18-API-027,P18-UI-027,Mapped
P18-REQ-028,P18-TST-028,P18-ENG-028,P18-API-028,P18-UI-028,Mapped
P18-REQ-029,P18-TST-029,P18-ENG-029,P18-API-029,P18-UI-029,Mapped
P18-REQ-030,P18-TST-030,P18-ENG-030,P18-API-030,P18-UI-030,Mapped
P18-REQ-031,P18-TST-031,P18-ENG-031,P18-API-031,P18-UI-031,Mapped
P18-REQ-032,P18-TST-032,P18-ENG-032,P18-API-032,P18-UI-032,Mapped
P18-REQ-033,P18-TST-033,P18-ENG-033,P18-API-033,P18-UI-033,Mapped
P18-REQ-034,P18-TST-034,P18-ENG-034,P18-API-034,P18-UI-034,Mapped
P18-REQ-035,P18-TST-035,P18-ENG-035,P18-API-035,P18-UI-035,Mapped
P18-REQ-036,P18-TST-036,P18-ENG-036,P18-API-036,P18-UI-036,Mapped
P18-REQ-037,P18-TST-037,P18-ENG-037,P18-API-037,P18-UI-037,Mapped
P18-REQ-038,P18-TST-038,P18-ENG-038,P18-API-038,P18-UI-038,Mapped
P18-REQ-039,P18-TST-039,P18-ENG-039,P18-API-039,P18-UI-039,Mapped
P18-REQ-040,P18-TST-040,P18-ENG-040,P18-API-040,P18-UI-040,Mapped
P18-REQ-041,P18-TST-041,P18-ENG-041,P18-API-041,P18-UI-041,Mapped
P18-REQ-042,P18-TST-042,P18-ENG-042,P18-API-042,P18-UI-042,Mapped
P18-REQ-043,P18-TST-043,P18-ENG-043,P18-API-043,P18-UI-043,Mapped
P18-REQ-044,P18-TST-044,P18-ENG-044,P18-API-044,P18-UI-044,Mapped
P18-REQ-045,P18-TST-045,P18-ENG-045,P18-API-045,P18-UI-045,Mapped
P18-REQ-046,P18-TST-046,P18-ENG-046,P18-API-046,P18-UI-046,Mapped
P18-REQ-047,P18-TST-047,P18-ENG-047,P18-API-047,P18-UI-047,Mapped
P18-REQ-048,P18-TST-048,P18-ENG-048,P18-API-048,P18-UI-048,Mapped
P18-REQ-049,P18-TST-049,P18-ENG-049,P18-API-049,P18-UI-049,Mapped
P18-REQ-050,P18-TST-050,P18-ENG-050,P18-API-050,P18-UI-001,Mapped
P18-REQ-051,P18-TST-051,P18-ENG-051,P18-API-051,P18-UI-002,Mapped
P18-REQ-052,P18-TST-052,P18-ENG-052,P18-API-052,P18-UI-003,Mapped
P18-REQ-053,P18-TST-053,P18-ENG-053,P18-API-053,P18-UI-004,Mapped
P18-REQ-054,P18-TST-054,P18-ENG-054,P18-API-054,P18-UI-005,Mapped
P18-REQ-055,P18-TST-055,P18-ENG-055,P18-API-055,P18-UI-006,Mapped
P18-REQ-056,P18-TST-056,P18-ENG-056,P18-API-056,P18-UI-007,Mapped
P18-REQ-057,P18-TST-057,P18-ENG-057,P18-API-057,P18-UI-008,Mapped
P18-REQ-058,P18-TST-058,P18-ENG-058,P18-API-058,P18-UI-009,Mapped
P18-REQ-059,P18-TST-059,P18-ENG-059,P18-API-059,P18-UI-010,Mapped
P18-REQ-060,P18-TST-060,P18-ENG-001,P18-API-060,P18-UI-011,Mapped
P18-REQ-061,P18-TST-061,P18-ENG-002,P18-API-061,P18-UI-012,Mapped
P18-REQ-062,P18-TST-062,P18-ENG-003,P18-API-062,P18-UI-013,Mapped
P18-REQ-063,P18-TST-063,P18-ENG-004,P18-API-063,P18-UI-014,Mapped
P18-REQ-064,P18-TST-064,P18-ENG-005,P18-API-064,P18-UI-015,Mapped
P18-REQ-065,P18-TST-065,P18-ENG-006,P18-API-001,P18-UI-016,Mapped
P18-REQ-066,P18-TST-066,P18-ENG-007,P18-API-002,P18-UI-017,Mapped
P18-REQ-067,P18-TST-067,P18-ENG-008,P18-API-003,P18-UI-018,Mapped
P18-REQ-068,P18-TST-068,P18-ENG-009,P18-API-004,P18-UI-019,Mapped
P18-REQ-069,P18-TST-069,P18-ENG-010,P18-API-005,P18-UI-020,Mapped
P18-REQ-070,P18-TST-070,P18-ENG-011,P18-API-006,P18-UI-021,Mapped
P18-REQ-071,P18-TST-071,P18-ENG-012,P18-API-007,P18-UI-022,Mapped
P18-REQ-072,P18-TST-072,P18-ENG-013,P18-API-008,P18-UI-023,Mapped
P18-REQ-073,P18-TST-073,P18-ENG-014,P18-API-009,P18-UI-024,Mapped
