Engine_ID,Engine,Type,Purpose,Governance
P11-ENG-001,Procurement Planning Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for procurement planning engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-002,Demand Forecast Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for demand forecast engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-003,Replenishment Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for replenishment engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-004,Strategic Sourcing Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for strategic sourcing engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-005,Bid Leveling Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for bid leveling engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-006,Supplier Risk Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supplier risk engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-007,Supplier Performance Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supplier performance engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-008,Supplier Compliance Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supplier compliance engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-009,Approval Routing Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for approval routing engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-010,Budget and Commitment Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for budget and commitment engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-011,Purchase Order Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for purchase order engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-012,Subcontract Procurement Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for subcontract procurement engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-013,Item and Catalog Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for item and catalog engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-014,Inventory Availability Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for inventory availability engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-015,Inventory Valuation Interface,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for inventory valuation interface.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-016,Warehouse Execution Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for warehouse execution engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-017,Receiving Match Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for receiving match engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-018,Logistics Scheduling Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for logistics scheduling engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-019,Route Optimization Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for route optimization engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-020,Rental Optimization Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for rental optimization engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-021,Price Intelligence Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for price intelligence engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-022,Lead-Time Prediction Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for lead-time prediction engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-023,Three-Way Match Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for three-way match engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-024,Procurement Anomaly Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for procurement anomaly engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-025,Contract Compliance Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for contract compliance engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-026,Substitution Recommendation Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for substitution recommendation engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-027,Supply Disruption Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supply disruption engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-028,Supply Chain Digital Twin Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supply chain digital twin engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
P11-ENG-029,Procurement Copilot Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for procurement copilot engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
