phase,phase_title,requirement_id,domain,priority,requirement,acceptance_criteria,version
01,Governance,GOV-000001,Governance,Critical,"The platform shall support multiple legal companies, business units, offices, departments, and projects within governed tenant boundaries.",A tenant can contain a defined hierarchy while preventing unauthorized cross-tenant access.,1.0.0-review
01,Governance,GOV-000002,Governance,Critical,Every tenant shall maintain a versioned organization hierarchy with effective dates and ownership.,Hierarchy changes preserve history and are visible in audit records.,1.0.0-review
01,Governance,GOV-000003,Governance,Critical,The platform shall authorize actions through governed roles and permissions.,Every protected action resolves to an explicit permission decision.,1.0.0-review
01,Governance,GOV-000004,Governance,Critical,"Permissions shall be scopeable by tenant, company, office, department, project, record type, and owned record where applicable.",Users cannot access records outside assigned scopes.,1.0.0-review
01,Governance,GOV-000005,Governance,Critical,Sensitive workflows shall support incompatible-role and dual-approval controls.,Configured conflicts block or route the action for independent approval.,1.0.0-review
01,Governance,GOV-000006,Governance,Critical,"User invitation, activation, suspension, termination, and restoration shall follow controlled lifecycle states.",Disabled users immediately lose interactive and API access while history is retained.,1.0.0-review
01,Governance,GOV-000007,Governance,High,"Customers, vendors, subcontractors, consultants, and partners shall be represented as restricted external identities.",External access is limited to explicitly shared records and portal capabilities.,1.0.0-review
01,Governance,GOV-000008,Governance,Critical,"The platform shall support versioned policies with owners, effective dates, applicability, acknowledgment, and supersession.",Only one applicable active version is effective for a given scope and date.,1.0.0-review
01,Governance,GOV-000009,Governance,Critical,"Enterprise, tenant, company, office, project, and user configuration shall be layered with declared precedence.",The effective value is reproducible and shows its source layer.,1.0.0-review
01,Governance,GOV-000010,Governance,Critical,"The platform shall provide configurable approval policies based on object, amount, risk, scope, role, and condition.","Approval outcomes are immutable, attributable, timestamped, and auditable.",1.0.0-review
01,Governance,GOV-000011,Governance,High,Authorized users shall be able to delegate approval authority for a defined scope and time period.,Delegation never exceeds the delegator's authority and preserves attribution.,1.0.0-review
01,Governance,GOV-000012,Governance,Critical,"Material creation, access, change, approval, export, AI action, and administrative events shall be recorded in tamper-evident audit records.","Audit events contain actor, action, object, time, source, before/after reference, and correlation identifier.",1.0.0-review
01,Governance,GOV-000013,Governance,Critical,Records and fields shall support governed data classifications and handling requirements.,"Classification drives access, export, retention, masking, and monitoring controls.",1.0.0-review
01,Governance,GOV-000014,Governance,Critical,The platform shall apply retention schedules and legal holds without destroying required evidence.,Legal hold overrides ordinary deletion and retention expiration.,1.0.0-review
01,Governance,GOV-000015,Governance,Critical,"Governed records shall use explicit lifecycle states including draft, review, approved, active, suspended, superseded, archived, and deleted where applicable.",Invalid state transitions are blocked and valid transitions are audited.,1.0.0-review
01,Governance,GOV-000016,Governance,Critical,"Locked specifications, policies, configurations, and master data shall change only through governed change requests.","Approved changes include impact analysis, effective date, version increment, and rollback plan.",1.0.0-review
