requirement_id,home_phase,canonical_source_phase,canonical_source_file,occurrence_count,definition_conflict,record_json
AI-REQ-001,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Architecture"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed architecture capability 1 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-001"", ""Status"": ""Planned""}"
AI-REQ-002,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Orchestration"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed orchestration capability 2 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-002"", ""Status"": ""Planned""}"
AI-REQ-003,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Agents"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed agents capability 3 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-003"", ""Status"": ""Planned""}"
AI-REQ-004,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Knowledge"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed knowledge capability 4 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-004"", ""Status"": ""Planned""}"
AI-REQ-005,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""RAG"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed rag capability 5 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-005"", ""Status"": ""Planned""}"
AI-REQ-006,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Multimodal"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed multimodal capability 6 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-006"", ""Status"": ""Planned""}"
AI-REQ-007,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Prompts"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed prompts capability 7 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-007"", ""Status"": ""Planned""}"
AI-REQ-008,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Models"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed models capability 8 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-008"", ""Status"": ""Planned""}"
AI-REQ-009,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Human Oversight"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed human oversight capability 9 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-009"", ""Status"": ""Planned""}"
AI-REQ-010,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Explainability"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed explainability capability 10 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-010"", ""Status"": ""Planned""}"
AI-REQ-011,,6,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,1,NO,"{""Area"": ""Security"", ""Priority"": ""Must"", ""Requirement"": ""The platform shall provide governed security capability 11 with tenant isolation, auditability, role-based authorization, version control, and human-review controls where material decisions are affected."", ""Requirement_ID"": ""AI-REQ-011"", ""Status"": ""Planned""}"
