requirement_id,test_id,engine_id,api_id,ui_id,status
P17-REQ-001,P17-TST-001,P17-ENG-001,P17-API-001,P17-UI-001,Mapped
P17-REQ-002,P17-TST-002,P17-ENG-002,P17-API-002,P17-UI-002,Mapped
P17-REQ-003,P17-TST-003,P17-ENG-003,P17-API-003,P17-UI-003,Mapped
P17-REQ-004,P17-TST-004,P17-ENG-004,P17-API-004,P17-UI-004,Mapped
P17-REQ-005,P17-TST-005,P17-ENG-005,P17-API-005,P17-UI-005,Mapped
P17-REQ-006,P17-TST-006,P17-ENG-006,P17-API-006,P17-UI-006,Mapped
P17-REQ-007,P17-TST-007,P17-ENG-007,P17-API-007,P17-UI-007,Mapped
P17-REQ-008,P17-TST-008,P17-ENG-008,P17-API-008,P17-UI-008,Mapped
P17-REQ-009,P17-TST-009,P17-ENG-009,P17-API-009,P17-UI-009,Mapped
P17-REQ-010,P17-TST-010,P17-ENG-010,P17-API-010,P17-UI-010,Mapped
P17-REQ-011,P17-TST-011,P17-ENG-011,P17-API-011,P17-UI-011,Mapped
P17-REQ-012,P17-TST-012,P17-ENG-012,P17-API-012,P17-UI-012,Mapped
P17-REQ-013,P17-TST-013,P17-ENG-013,P17-API-013,P17-UI-013,Mapped
P17-REQ-014,P17-TST-014,P17-ENG-014,P17-API-014,P17-UI-014,Mapped
P17-REQ-015,P17-TST-015,P17-ENG-015,P17-API-015,P17-UI-015,Mapped
P17-REQ-016,P17-TST-016,P17-ENG-016,P17-API-016,P17-UI-016,Mapped
P17-REQ-017,P17-TST-017,P17-ENG-017,P17-API-017,P17-UI-017,Mapped
P17-REQ-018,P17-TST-018,P17-ENG-018,P17-API-018,P17-UI-018,Mapped
P17-REQ-019,P17-TST-019,P17-ENG-019,P17-API-019,P17-UI-019,Mapped
P17-REQ-020,P17-TST-020,P17-ENG-020,P17-API-020,P17-UI-020,Mapped
P17-REQ-021,P17-TST-021,P17-ENG-021,P17-API-021,P17-UI-021,Mapped
P17-REQ-022,P17-TST-022,P17-ENG-022,P17-API-022,P17-UI-022,Mapped
P17-REQ-023,P17-TST-023,P17-ENG-023,P17-API-023,P17-UI-023,Mapped
P17-REQ-024,P17-TST-024,P17-ENG-024,P17-API-024,P17-UI-024,Mapped
P17-REQ-025,P17-TST-025,P17-ENG-025,P17-API-025,P17-UI-025,Mapped
P17-REQ-026,P17-TST-026,P17-ENG-026,P17-API-026,P17-UI-026,Mapped
P17-REQ-027,P17-TST-027,P17-ENG-027,P17-API-027,P17-UI-027,Mapped
P17-REQ-028,P17-TST-028,P17-ENG-028,P17-API-028,P17-UI-028,Mapped
P17-REQ-029,P17-TST-029,P17-ENG-029,P17-API-029,P17-UI-029,Mapped
P17-REQ-030,P17-TST-030,P17-ENG-030,P17-API-030,P17-UI-030,Mapped
P17-REQ-031,P17-TST-031,P17-ENG-031,P17-API-031,P17-UI-031,Mapped
P17-REQ-032,P17-TST-032,P17-ENG-032,P17-API-032,P17-UI-032,Mapped
P17-REQ-033,P17-TST-033,P17-ENG-033,P17-API-033,P17-UI-033,Mapped
P17-REQ-034,P17-TST-034,P17-ENG-034,P17-API-034,P17-UI-034,Mapped
P17-REQ-035,P17-TST-035,P17-ENG-035,P17-API-035,P17-UI-035,Mapped
P17-REQ-036,P17-TST-036,P17-ENG-036,P17-API-036,P17-UI-036,Mapped
P17-REQ-037,P17-TST-037,P17-ENG-037,P17-API-037,P17-UI-037,Mapped
P17-REQ-038,P17-TST-038,P17-ENG-038,P17-API-038,P17-UI-038,Mapped
P17-REQ-039,P17-TST-039,P17-ENG-039,P17-API-039,P17-UI-039,Mapped
P17-REQ-040,P17-TST-040,P17-ENG-040,P17-API-040,P17-UI-040,Mapped
P17-REQ-041,P17-TST-041,P17-ENG-041,P17-API-041,P17-UI-041,Mapped
P17-REQ-042,P17-TST-042,P17-ENG-042,P17-API-042,P17-UI-042,Mapped
P17-REQ-043,P17-TST-043,P17-ENG-043,P17-API-043,P17-UI-043,Mapped
P17-REQ-044,P17-TST-044,P17-ENG-044,P17-API-044,P17-UI-044,Mapped
P17-REQ-045,P17-TST-045,P17-ENG-045,P17-API-045,P17-UI-045,Mapped
P17-REQ-046,P17-TST-046,P17-ENG-046,P17-API-046,P17-UI-046,Mapped
P17-REQ-047,P17-TST-047,P17-ENG-047,P17-API-047,P17-UI-047,Mapped
P17-REQ-048,P17-TST-048,P17-ENG-048,P17-API-048,P17-UI-048,Mapped
P17-REQ-049,P17-TST-049,P17-ENG-049,P17-API-049,P17-UI-049,Mapped
P17-REQ-050,P17-TST-050,P17-ENG-050,P17-API-050,P17-UI-001,Mapped
P17-REQ-051,P17-TST-051,P17-ENG-051,P17-API-051,P17-UI-002,Mapped
P17-REQ-052,P17-TST-052,P17-ENG-052,P17-API-052,P17-UI-003,Mapped
P17-REQ-053,P17-TST-053,P17-ENG-053,P17-API-053,P17-UI-004,Mapped
P17-REQ-054,P17-TST-054,P17-ENG-054,P17-API-054,P17-UI-005,Mapped
P17-REQ-055,P17-TST-055,P17-ENG-055,P17-API-055,P17-UI-006,Mapped
P17-REQ-056,P17-TST-056,P17-ENG-001,P17-API-056,P17-UI-007,Mapped
P17-REQ-057,P17-TST-057,P17-ENG-002,P17-API-057,P17-UI-008,Mapped
P17-REQ-058,P17-TST-058,P17-ENG-003,P17-API-058,P17-UI-009,Mapped
P17-REQ-059,P17-TST-059,P17-ENG-004,P17-API-059,P17-UI-010,Mapped
P17-REQ-060,P17-TST-060,P17-ENG-005,P17-API-060,P17-UI-011,Mapped
P17-REQ-061,P17-TST-061,P17-ENG-006,P17-API-061,P17-UI-012,Mapped
P17-REQ-062,P17-TST-062,P17-ENG-007,P17-API-062,P17-UI-013,Mapped
P17-REQ-063,P17-TST-063,P17-ENG-008,P17-API-063,P17-UI-014,Mapped
P17-REQ-064,P17-TST-064,P17-ENG-009,P17-API-064,P17-UI-015,Mapped
P17-REQ-065,P17-TST-065,P17-ENG-010,P17-API-065,P17-UI-016,Mapped
P17-REQ-066,P17-TST-066,P17-ENG-011,P17-API-066,P17-UI-017,Mapped
P17-REQ-067,P17-TST-067,P17-ENG-012,P17-API-067,P17-UI-018,Mapped
P17-REQ-068,P17-TST-068,P17-ENG-013,P17-API-068,P17-UI-019,Mapped
P17-REQ-069,P17-TST-069,P17-ENG-014,P17-API-001,P17-UI-020,Mapped
P17-REQ-070,P17-TST-070,P17-ENG-015,P17-API-002,P17-UI-021,Mapped
P17-REQ-071,P17-TST-071,P17-ENG-016,P17-API-003,P17-UI-022,Mapped
P17-REQ-072,P17-TST-072,P17-ENG-017,P17-API-004,P17-UI-023,Mapped
P17-REQ-073,P17-TST-073,P17-ENG-018,P17-API-005,P17-UI-024,Mapped
P17-REQ-074,P17-TST-074,P17-ENG-019,P17-API-006,P17-UI-025,Mapped
P17-REQ-075,P17-TST-075,P17-ENG-020,P17-API-007,P17-UI-026,Mapped
