event_id,event_name,version,envelope,delivery,status
P29-EVT-001,analytics.dataset.registered,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-002,analytics.dataset.versioned,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-003,analytics.pipeline.started,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-004,analytics.pipeline.completed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-005,analytics.pipeline.failed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-006,analytics.quality.failed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-007,analytics.reconciliation.failed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-008,analytics.freshness.breached,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-009,analytics.metric.published,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-010,analytics.semanticmodel.published,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-011,analytics.report.executed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-012,analytics.dashboard.published,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-013,analytics.export.created,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-014,analytics.forecast.completed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-015,analytics.scenario.completed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-016,analytics.feature.snapshot.created,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-017,analytics.lineage.updated,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-018,analytics.incident.created,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-019,analytics.backfill.completed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
P29-EVT-020,analytics.certification.changed,v1,"event_id,event_name,version,tenant_id,dataset/pipeline/report id,occurred_at,correlation_id,version/freshness metadata,payload",Analytics telemetry/audit pipeline; tenant scoped; idempotent consumers,Proposed
