Workflow_ID,Workflow_Name
AI-WF-001,Document ingestion and classification
AI-WF-002,Plan and specification question answering
AI-WF-003,AI-assisted takeoff generation
AI-WF-004,Estimate creation and approval
AI-WF-005,Risk and constructability review
AI-WF-006,RFI drafting and approval
AI-WF-007,Daily-report intelligence
AI-WF-008,Change-event detection
AI-WF-009,Crew and equipment optimization
AI-WF-010,Safety document generation
AI-WF-011,Vendor quote comparison
AI-WF-012,Executive project briefing
AI-WF-013,Prompt release and rollback
AI-WF-014,Agent publishing and marketplace approval
AI-WF-015,AI incident response and containment
