engine_id,name,purpose,inputs,outputs,human_gate,status
GES-P05-ENG-001,Quantity Engine,Converts measured geometry and formulas into normalized quantities.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-002,Takeoff Intelligence Engine,Reads and compares plans/specifications with human review.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-003,Production Engine,"Calculates duration and hours using rates, crews and conditions.",Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-004,Crew Balancer,Identifies bottlenecks and recommends balanced resource mixes.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-005,Labor Cost Engine,Builds fully burdened labor cost.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-006,Equipment Cost Engine,Builds ownership/rental and operating costs.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-007,Material Cost Engine,Selects and normalizes material pricing.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-008,Haul & Disposal Engine,"Calculates truck cycles, counts, haul cost and disposal.",Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-009,Markup & Margin Engine,"Applies overhead, contingency, tax, bonds, profit and margin rules.",Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-010,Regional Pricing Engine,Applies location and market factors.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-011,Risk & Confidence Engine,Scores uncertainty and confidence.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-012,Scenario Engine,Maintains isolated alternatives and comparisons.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-013,Simulation Engine,Runs probabilistic cost and duration simulations.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-014,Explainability Engine,Produces calculation lineage and plain-language explanations.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-015,Calibration Engine,Compares estimates with actuals and proposes governed updates.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-016,Estimate Validation Engine,"Runs completeness, consistency and policy checks.",Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-017,Document Classification Engine,"Classifies plans, specs, addenda, reports and quotes.",Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-018,White-Label Configuration Engine,Resolves inherited brand and tenant configuration.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-019,Offline Sync Engine,Synchronizes field records with conflict handling.,Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
GES-P05-ENG-020,Export Composition Engine,"Builds proposals, review books and machine-readable exports.",Canonical entities and tenant configuration,"Versioned results, trace and validation messages",Required for material changes,Proposed
