module_code,module_name,description
EST,Estimate Core,"Estimate lifecycle, alternates, versions, approvals, lock/reopen, compare and export."
QTY,Quantity Intelligence,"Manual, imported and AI-derived quantities with geometry, units, factors and confidence."
TAK,Takeoff,"PDF/CAD/BIM/GIS/drone source ingestion, calibration, measurement, annotations and revision comparison."
PRD,Production,"Production rates, crew/equipment balance, conditions, learning curves and historical calibration."
LAB,Labor Cost,"Wages, burdens, overtime, union, travel, per diem and role productivity."
EQP,Equipment Cost,"Owned/rented cost, utilization, fuel, maintenance, wear, attachments and standby."
MAT,Material Cost,"Quotes, freight, waste, minimums, escalation, lead time and substitutions."
HAU,Hauling & Disposal,"Trip cycles, payload, truck count, queues, tipping, swell/shrink and route constraints."
ASM,Assemblies,"Reusable resource-driven work packages with formulas, options and constraints."
MUP,Markup & Margin,"Overhead, contingency, bonds, tax, profit, fee, margin targets and bid rounding."
REG,Regional Pricing,"Location factors, labor/equipment/material indices, vendor zones and effective dates."
RSK,Risk & Confidence,"Risk register, uncertainty ranges, sensitivity, scenario and Monte Carlo specifications."
AI,AI Estimating Advisor,"Document reading, recommendations, anomaly detection, explainability and approval gates."
CFG,Configuration Studio,"No-code fields, forms, workflows, rules, terminology, themes and tenant overrides."
WLB,White Label & OEM,"Branding, domains, sender identities, portal skinning, reseller hierarchy and app variants."
MOB,Field & Mobile,"Offline capture, actual production, time, equipment, tickets, photos and sync."
API,Integration,"Public APIs, webhooks, import/export and accounting/ERP/telematics links."
RPT,Reporting,"Estimate review, variance, benchmark, profitability, audit and executive dashboards."
