workflow_id,name,description,trigger,approval_required,status
GES-P05-WF-001,Estimate Creation,"Draft estimate from template, opportunity or blank.",User or event,Conditional,Proposed
GES-P05-WF-002,Document-to-Estimate,"Upload documents, classify, extract, review quantities and create draft lines.",User or event,Yes,Proposed
GES-P05-WF-003,Takeoff Revision Review,Compare plan revisions and disposition detected changes.,User or event,Conditional,Proposed
GES-P05-WF-004,Vendor Quote Intake,"Capture quote, map items, validate dates and approve use.",User or event,Yes,Proposed
GES-P05-WF-005,Estimate Review and Approval,"Estimator review, operations review, executive approval and submission.",User or event,Yes,Proposed
GES-P05-WF-006,AI Recommendation Disposition,"Review AI evidence, accept/modify/reject and log rationale.",User or event,Yes,Proposed
GES-P05-WF-007,Scenario Comparison,"Create alternatives, run calculations and promote selected scenario.",User or event,Yes,Proposed
GES-P05-WF-008,Historical Calibration,Compare estimated versus actual production and approve updates.,User or event,Yes,Proposed
GES-P05-WF-009,White-Label Provisioning,"Configure brand, domain, templates, sender identity and tenant inheritance.",User or event,Yes,Proposed
GES-P05-WF-010,Offline Field Sync,"Capture actuals offline, sync, resolve conflicts and post approved records.",User or event,Conditional,Proposed
GES-P05-WF-011,Estimate Reopen,"Request reopening, approve, clone version and preserve submitted version.",User or event,Yes,Proposed
GES-P05-WF-012,Change Order Pricing,Create estimate from approved project change and route approval.,User or event,Yes,Proposed
GES-P05-WF-013,Bid Export,"Generate proposal, internal review book, schedule and audit package.",User or event,Yes,Proposed
GES-P05-WF-014,Rate Expiration Review,Identify expiring rates and route owners for renewal.,User or event,Conditional,Proposed
GES-P05-WF-015,Risk Simulation,"Define uncertainty, run scenario/simulation and review results.",User or event,Yes,Proposed
