Requirement ID,Domain,Priority,Requirement,Acceptance Criteria,Entity,Workflow,Engine,API,Test Case,Status
P12-REQ-001,Fleet Registry,Must,"The platform shall create governed fleet registry records and decisions for fleet and equipment master records, ownership, classification, specifications, and lifecycle status, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet registry transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-001,P12-WF-01,P12-ENG-01,P12-API-01,P12-TC-001,Review Ready
P12-REQ-002,Asset Lifecycle,Must,"The platform shall create governed asset lifecycle records and decisions for acquisition, commissioning, transfer, capitalization, utilization, retirement, disposal, and replacement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the asset lifecycle transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-002,P12-WF-02,P12-ENG-02,P12-API-02,P12-TC-002,Review Ready
P12-REQ-003,Preventive Maintenance,Must,"The platform shall create governed preventive maintenance records and decisions for meter-, calendar-, condition-, and risk-based preventive maintenance programs, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the preventive maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-003,P12-WF-03,P12-ENG-03,P12-API-03,P12-TC-003,Review Ready
P12-REQ-004,Corrective Maintenance,Must,"The platform shall create governed corrective maintenance records and decisions for defect intake, diagnostics, work orders, labor, parts, repair execution, testing, and return to service, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the corrective maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-004,P12-WF-04,P12-ENG-04,P12-API-04,P12-TC-004,Review Ready
P12-REQ-005,Inspections,Must,"The platform shall create governed inspections records and decisions for pre-use, post-use, annual, regulatory, safety, and quality inspections with mobile evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the inspections transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-005,P12-WF-05,P12-ENG-05,P12-API-05,P12-TC-005,Review Ready
P12-REQ-006,Telematics & IoT,Must,"The platform shall create governed telematics & iot records and decisions for OEM and third-party telematics ingestion, normalization, health events, location, meter, and utilization data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the telematics & iot transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-006,P12-WF-06,P12-ENG-06,P12-API-06,P12-TC-006,Review Ready
P12-REQ-007,Fuel & Energy,Must,"The platform shall create governed fuel & energy records and decisions for fuel cards, bulk tanks, mobile fueling, electric charging, idle control, consumption, and reconciliation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fuel & energy transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-007,P12-WF-07,P12-ENG-07,P12-API-07,P12-TC-007,Review Ready
P12-REQ-008,Parts & Components,Must,"The platform shall create governed parts & components records and decisions for parts catalogs, serialized components, warranties, cores, inventory integration, and component history, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the parts & components transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-008,P12-WF-08,P12-ENG-08,P12-API-08,P12-TC-008,Review Ready
P12-REQ-009,Work Orders,Must,"The platform shall create governed work orders records and decisions for planning, approval, scheduling, assignment, execution, cost capture, closeout, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the work orders transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-009,P12-WF-09,P12-ENG-09,P12-API-09,P12-TC-009,Review Ready
P12-REQ-010,Shop Operations,Must,"The platform shall create governed shop operations records and decisions for shop bays, technician capacity, backlog, dispatch, tooling, calibration, and productivity, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the shop operations transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-010,P12-WF-10,P12-ENG-10,P12-API-10,P12-TC-010,Review Ready
P12-REQ-011,Field Service,Must,"The platform shall create governed field service records and decisions for service trucks, mobile technicians, emergency response, remote diagnostics, and site repair, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the field service transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-011,P12-WF-11,P12-ENG-11,P12-API-11,P12-TC-011,Review Ready
P12-REQ-012,Rental & Leased Assets,Must,"The platform shall create governed rental & leased assets records and decisions for rental intake, rate terms, utilization, off-rent, damage, extensions, and invoice validation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the rental & leased assets transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-012,P12-WF-12,P12-ENG-12,P12-API-12,P12-TC-012,Review Ready
P12-REQ-013,Compliance,Must,"The platform shall create governed compliance records and decisions for registrations, permits, DOT records, emissions, inspections, certifications, and out-of-service controls, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the compliance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-013,P12-WF-13,P12-ENG-13,P12-API-13,P12-TC-013,Review Ready
P12-REQ-014,Safety & Risk,Must,"The platform shall create governed safety & risk records and decisions for operator authorization, defect severity, lockout/tagout, incident linkage, and critical control verification, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the safety & risk transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-014,P12-WF-14,P12-ENG-14,P12-API-14,P12-TC-014,Review Ready
P12-REQ-015,Utilization & Dispatch,Must,"The platform shall create governed utilization & dispatch records and decisions for availability, reservation, assignment, dispatch, location, shift use, and underutilization detection, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the utilization & dispatch transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-015,P12-WF-15,P12-ENG-15,P12-API-15,P12-TC-015,Review Ready
P12-REQ-016,Equipment Costing,Must,"The platform shall create governed equipment costing records and decisions for ownership cost, operating cost, internal rates, fuel, maintenance, depreciation, and project chargeback, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the equipment costing transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-016,P12-WF-16,P12-ENG-16,P12-API-16,P12-TC-016,Review Ready
P12-REQ-017,Warranty & Claims,Must,"The platform shall create governed warranty & claims records and decisions for coverage rules, claim preparation, evidence, recovery, denial tracking, and supplier reimbursement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the warranty & claims transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-017,P12-WF-17,P12-ENG-17,P12-API-17,P12-TC-017,Review Ready
P12-REQ-018,Tires & Undercarriage,Must,"The platform shall create governed tires & undercarriage records and decisions for position tracking, measurements, rotations, replacements, wear forecasts, and cost-per-hour analysis, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the tires & undercarriage transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-018,P12-WF-18,P12-ENG-18,P12-API-18,P12-TC-018,Review Ready
P12-REQ-019,Attachments & Tools,Must,"The platform shall create governed attachments & tools records and decisions for attachment compatibility, custody, inspections, calibration, utilization, and loss prevention, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the attachments & tools transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-019,P12-WF-19,P12-ENG-19,P12-API-19,P12-TC-019,Review Ready
P12-REQ-020,Documents & Media,Must,"The platform shall create governed documents & media records and decisions for manuals, photos, invoices, inspection forms, service records, and immutable evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the documents & media transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-020,P12-WF-20,P12-ENG-20,P12-API-20,P12-TC-020,Review Ready
P12-REQ-021,Mobile & Offline,Must,"The platform shall create governed mobile & offline records and decisions for offline inspections, work orders, parts usage, signatures, photos, sync, and conflict resolution, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the mobile & offline transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-021,P12-WF-21,P12-ENG-21,P12-API-21,P12-TC-021,Review Ready
