requirement_id,domain,priority,requirement,acceptance_criteria,version
P14-REQ-001,Safety Management,Must,"GrounUp shall provide governed safety management capability 1 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 1 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-002,Incident & Near-Miss Management,Must,"GrounUp shall provide governed incident & near-miss management capability 2 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 2 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-003,JHA/JSA & Pre-Task Planning,Must,"GrounUp shall provide governed jha/jsa & pre-task planning capability 3 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 3 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-004,Permits to Work,Must,"GrounUp shall provide governed permits to work capability 4 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 4 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-005,Training & Competency,Must,"GrounUp shall provide governed training & competency capability 5 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 5 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-006,Environmental Management,Must,"GrounUp shall provide governed environmental management capability 6 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 6 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-007,Quality Management,Must,"GrounUp shall provide governed quality management capability 7 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 7 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-008,Compliance & Regulatory,Must,"GrounUp shall provide governed compliance & regulatory capability 8 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 8 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-009,Industrial Hygiene,Must,"GrounUp shall provide governed industrial hygiene capability 9 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 9 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
P14-REQ-010,Emergency Management,Must,"GrounUp shall provide governed emergency management capability 10 with project/tenant scope, responsible owner, evidence, audit history, permissions and traceable acceptance criteria.","Demonstrate requirement 10 with authorized workflow, required evidence, blocking controls where applicable, audit trail, notifications and mapped test evidence.",v1.0.0
