kpi_id,name,domain,definition,cadence,governance
P19-KPI-001,Notice On-Time %,Commercial Management Core,Governed metric definition for Notice On-Time %.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-002,Open Obligation Count,Prime Contract Management,Governed metric definition for Open Obligation Count.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-003,Overdue Obligation Count,Subcontract Management,Governed metric definition for Overdue Obligation Count.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-004,Potential Change Aging,Purchase Contract Commercials,Governed metric definition for Potential Change Aging.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-005,Change Approval Cycle Time,Contract Clause Registry,Governed metric definition for Change Approval Cycle Time.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-006,Change Pricing Cycle Time,Obligation Management,Governed metric definition for Change Pricing Cycle Time.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-007,Change Conversion Rate,Notice Management,Governed metric definition for Change Conversion Rate.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-008,Approved Change Value,Potential Change Management,Governed metric definition for Approved Change Value.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-009,Pending Change Value,Change Order Management,Governed metric definition for Pending Change Value.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-010,Forecast Change Value,Change Pricing,Governed metric definition for Forecast Change Value.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-011,Contract Value Growth %,T&M / Force Account,Governed metric definition for Contract Value Growth %.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-012,T&M Ticket Approval %,Change Authorization,Governed metric definition for T&M Ticket Approval %.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-013,Unsigned T&M Ticket Count,Contract Value Control,Governed metric definition for Unsigned T&M Ticket Count.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-014,NTE Exposure,Claims Management,Governed metric definition for NTE Exposure.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-015,Change Gross Margin,Delay & Disruption Records,Governed metric definition for Change Gross Margin.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-016,Change Schedule Days,Differing Site Conditions,Governed metric definition for Change Schedule Days.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-017,Claim Count,Scope & Design Change,Governed metric definition for Claim Count.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-018,Claim Value,Payment & Billing Commercials,Governed metric definition for Claim Value.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-019,Claim Aging,Retainage & Holdbacks,Governed metric definition for Claim Aging.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-020,Claim Recovery %,Backcharges & Deductions,Governed metric definition for Claim Recovery %.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-021,Claim Evidence Completeness,Allowances & Contingencies,Governed metric definition for Claim Evidence Completeness.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-022,Differing Site Condition Count,Escalation & Price Adjustment,Governed metric definition for Differing Site Condition Count.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-023,Delay Event Count,"Insurance, Bonds & Commercial Compliance",Governed metric definition for Delay Event Count.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-024,Disruption Exposure,Lien & Waiver Administration,Governed metric definition for Disruption Exposure.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-025,Acceleration Cost,Dispute Management,Governed metric definition for Acceleration Cost.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-026,Payment Application Cycle Time,Commercial Forecasting,Governed metric definition for Payment Application Cycle Time.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-027,Retainage Outstanding,Contract Closeout,Governed metric definition for Retainage Outstanding.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-028,Backcharge Outstanding,AI Commercial Intelligence,Governed metric definition for Backcharge Outstanding.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-029,Allowance Remaining,Commercial Digital Twin,Governed metric definition for Allowance Remaining.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-030,Contingency Remaining,Commercial Management Core,Governed metric definition for Contingency Remaining.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-031,Price Adjustment Value,Prime Contract Management,Governed metric definition for Price Adjustment Value.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-032,Insurance Compliance %,Subcontract Management,Governed metric definition for Insurance Compliance %.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-033,Bond Compliance %,Purchase Contract Commercials,Governed metric definition for Bond Compliance %.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-034,Lien/Waiver Compliance %,Contract Clause Registry,Governed metric definition for Lien/Waiver Compliance %.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-035,Commercial Exposure,Obligation Management,Governed metric definition for Commercial Exposure.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-036,Forecast Margin at Completion,Notice Management,Governed metric definition for Forecast Margin at Completion.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-037,Commercial Forecast Variance,Potential Change Management,Governed metric definition for Commercial Forecast Variance.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-038,Settlement Cycle Time,Change Order Management,Governed metric definition for Settlement Cycle Time.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-039,Closeout Commercial Aging,Change Pricing,Governed metric definition for Closeout Commercial Aging.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-040,Contract Clause Metadata Completeness,T&M / Force Account,Governed metric definition for Contract Clause Metadata Completeness.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-041,Notice Deadline Coverage,Change Authorization,Governed metric definition for Notice Deadline Coverage.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-042,Change Evidence Completeness,Contract Value Control,Governed metric definition for Change Evidence Completeness.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-043,Claim Evidence Completeness,Claims Management,Governed metric definition for Claim Evidence Completeness.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-044,Authority Exception Count,Delay & Disruption Records,Governed metric definition for Authority Exception Count.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-045,Segregation-of-Duties Exception Count,Differing Site Conditions,Governed metric definition for Segregation-of-Duties Exception Count.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-046,AI Clause Extraction Acceptance,Scope & Design Change,Governed metric definition for AI Clause Extraction Acceptance.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-047,AI Notice Finding Acceptance,Payment & Billing Commercials,Governed metric definition for AI Notice Finding Acceptance.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-048,AI Change Classification Acceptance,Retainage & Holdbacks,Governed metric definition for AI Change Classification Acceptance.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-049,AI Backup Review Acceptance,Backcharges & Deductions,Governed metric definition for AI Backup Review Acceptance.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-050,AI Commercial Risk Acceptance,Allowances & Contingencies,Governed metric definition for AI Commercial Risk Acceptance.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
P19-KPI-051,AI Evidence Coverage,Escalation & Price Adjustment,Governed metric definition for AI Evidence Coverage.,Daily/Weekly/Monthly,"Certified definition, contract/project scope and owner required"
