Rule_ID,Name,Description,Inputs,Condition,Action,Exception,Owner,Priority,Status,Version
GES-P02-BR-000001,Verified tenant context,Every governed operation requires verified tenant context before data access.,request context,tenant context missing or invalid,Reject and audit,Public health endpoints,Platform Security,Critical,Review,1.0.0-review
GES-P02-BR-000002,Deny by default,Authorization returns deny when no explicit allow applies.,"actor, action, resource, scope",no matching allow,Deny,None,Platform Security,Critical,Review,1.0.0-review
GES-P02-BR-000003,Idempotent mutation,Externally retried mutations require an idempotency key and stable result.,"request, key, tenant",duplicate key and same payload,Return original result,Non-repeatable admin commands,API Governance,Critical,Review,1.0.0-review
GES-P02-BR-000004,Immutable identifier,A governed record identifier cannot be changed after creation.,record id,update attempts id change,Reject,Migration mapping creates alias,Data Architecture,Critical,Review,1.0.0-review
GES-P02-BR-000005,Canonical UTC storage,System timestamps are stored in UTC.,timestamp input,persisting time,Convert to UTC and retain source timezone where material,None,Platform Architecture,Critical,Review,1.0.0-review
GES-P02-BR-000006,Permission-aware search,Search returns only documents authorized at query time.,"query, actor, index document",result not authorized,Suppress result and snippet,None,Search Governance,Critical,Review,1.0.0-review
GES-P02-BR-000007,File version immutability,Uploaded file versions are immutable after acceptance.,file version,content replacement requested,Create new version,Quarantine metadata may change,Records Platform,High,Review,1.0.0-review
GES-P02-BR-000008,At-least-once event handling,Consumers must tolerate duplicate event delivery.,"event id, consumer state",event previously processed,Return prior outcome,None,Integration Architecture,Critical,Review,1.0.0-review
GES-P02-BR-000009,Dead-letter preservation,Permanently failed events and jobs move to a dead-letter store with evidence.,retry state,retry policy exhausted,Dead-letter and alert,Authorized replay,Operations,High,Review,1.0.0-review
GES-P02-BR-000010,Feature flag safety,Disabling a feature cannot destroy governed data.,flag state,flag becomes disabled,Block new use and preserve history,Migration plan,Release Management,High,Review,1.0.0-review
GES-P02-BR-000011,Offline scope minimum,Offline packs contain only required records and fields for assigned work.,"user, device, assignment",pack requested,Generate least-privilege pack,Emergency approved expansion,Mobile Security,Critical,Review,1.0.0-review
GES-P02-BR-000012,Deterministic conflict policy,Sync conflicts use declared field or entity policy.,"local change, server change",concurrent update,Apply configured merge/reject/review policy,Manual review,Mobile Platform,Critical,Review,1.0.0-review
GES-P02-BR-000013,No secrets in logs,"Secrets, tokens, and prohibited fields must be redacted before logging.",log payload,sensitive pattern or classified field,Redact or drop,Security incident evidence vault,Security Engineering,Critical,Review,1.0.0-review
GES-P02-BR-000014,Explicit unit conversion,Cross-unit arithmetic requires a governed conversion.,quantity values,units differ,Convert using registered conversion and precision,None,Data Architecture,Critical,Review,1.0.0-review
GES-P02-BR-000015,Explicit currency conversion,"Cross-currency arithmetic requires rate, source, and effective date.",money values,currencies differ,Convert and preserve provenance,None,Finance Platform,Critical,Review,1.0.0-review
GES-P02-BR-000016,AI gateway enforcement,Production AI calls may not bypass the model gateway.,AI request,direct provider route,Block,Approved isolated test harness,AI Platform,Critical,Review,1.0.0-review
GES-P02-BR-000017,Registered agent only,Only active evaluated agents may execute production tools.,"agent id, version","agent missing, disabled, or unapproved",Block execution,None,AI Governance,Critical,Review,1.0.0-review
GES-P02-BR-000018,Tool permission inheritance,AI tool permissions cannot exceed the invoking context and agent grants.,"user context, agent grants, tool request",requested action exceeds intersection,Deny,Break-glass not allowed for autonomous action,AI Governance,Critical,Review,1.0.0-review
GES-P02-BR-000019,Evidence required for material AI output,Material AI recommendations require source evidence and model/prompt version.,AI output,material decision support,Attach evidence or mark incomplete,Human-authored note may proceed separately,AI Governance,Critical,Review,1.0.0-review
GES-P02-BR-000020,Restore verification,A backup is not considered valid until a restoration test succeeds.,backup set,backup completed,Schedule or record restore test,Emergency snapshot,Resilience Engineering,High,Review,1.0.0-review
