api_id,method,path,resource,security,control
P17-API-001,GET/POST,/api/v1/machine-control/projects,projects,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-002,GET/POST,/api/v1/machine-control/handoffs,handoffs,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-003,GET/POST,/api/v1/machine-control/jobs,jobs,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-004,GET/POST,/api/v1/machine-control/job-packages,job-packages,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-005,GET/POST,/api/v1/machine-control/models,models,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-006,GET/POST,/api/v1/machine-control/model-versions,model-versions,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-007,GET/POST,/api/v1/machine-control/surfaces,surfaces,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-008,GET/POST,/api/v1/machine-control/alignments,alignments,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-009,GET/POST,/api/v1/machine-control/corridors,corridors,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-010,GET/POST,/api/v1/machine-control/utilities,utilities,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-011,GET/POST,/api/v1/machine-control/localizations,localizations,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-012,GET/POST,/api/v1/machine-control/calibrations,calibrations,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-013,GET/POST,/api/v1/machine-control/control-references,control-references,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-014,GET/POST,/api/v1/machine-control/machines,machines,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-015,GET/POST,/api/v1/machine-control/attachments,attachments,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-016,GET/POST,/api/v1/machine-control/devices,devices,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-017,GET/POST,/api/v1/machine-control/receivers,receivers,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-018,GET/POST,/api/v1/machine-control/sensors,sensors,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-019,GET/POST,/api/v1/machine-control/correction-services,correction-services,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-020,GET/POST,/api/v1/machine-control/device-compatibility,device-compatibility,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-021,GET/POST,/api/v1/machine-control/firmware,firmware,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-022,GET/POST,/api/v1/machine-control/configurations,configurations,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-023,GET/POST,/api/v1/machine-control/assignments,assignments,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-024,GET/POST,/api/v1/machine-control/operator-authorizations,operator-authorizations,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-025,GET/POST,/api/v1/machine-control/job-loads,job-loads,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-026,GET/POST,/api/v1/machine-control/acknowledgements,acknowledgements,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-027,GET/POST,/api/v1/machine-control/guidance-sessions,guidance-sessions,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-028,GET/POST,/api/v1/machine-control/auto-control,auto-control,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-029,GET/POST,/api/v1/machine-control/manual-overrides,manual-overrides,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-030,GET/POST,/api/v1/machine-control/cut-fill,cut-fill,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-031,GET/POST,/api/v1/machine-control/grade,grade,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-032,GET/POST,/api/v1/machine-control/slope,slope,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-033,GET/POST,/api/v1/machine-control/passes,passes,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-034,GET/POST,/api/v1/machine-control/coverage,coverage,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-035,GET/POST,/api/v1/machine-control/compaction,compaction,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-036,GET/POST,/api/v1/machine-control/paving,paving,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-037,GET/POST,/api/v1/machine-control/milling,milling,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-038,GET/POST,/api/v1/machine-control/trenches,trenches,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-039,GET/POST,/api/v1/machine-control/pipe-inverts,pipe-inverts,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-040,GET/POST,/api/v1/machine-control/geofences,geofences,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-041,GET/POST,/api/v1/machine-control/hazards,hazards,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-042,GET/POST,/api/v1/machine-control/alerts,alerts,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-043,GET/POST,/api/v1/machine-control/position-quality,position-quality,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-044,GET/POST,/api/v1/machine-control/telemetry,telemetry,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-045,GET/POST,/api/v1/machine-control/production,production,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-046,GET/POST,/api/v1/machine-control/material-movement,material-movement,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-047,GET/POST,/api/v1/machine-control/as-builts,as-builts,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
P17-API-048,GET/POST,/api/v1/machine-control/tolerance-checks,tolerance-checks,OAuth2/JWT + RBAC/ABAC,"Tenant/project/machine scoped; revision, safety and authorization-aware; audited"
