requirement_id,concern,verification,gap,evidence
EDM-000001,Canonical model,verified,,"One schema, 136 tables, shared by every module: an estimate line, a job cost, a schedule activity and a safety incident all reference the same projects, cost codes and companies. governance/registry.json classifies every table into the five categories and a test fails the build if one is unclassified."
EDM-000002,Tenant key,verified,,"company_id on every tenant-owned table, forced row level security predicating on it, a migration-time gate refusing to apply if a table is left open, app.enforce_tenant_parent refusing a child attached to another company's parent, and since migration 0049 an index leading on it everywhere — held by a governance test against the live catalog."
EDM-000003,Global identifiers,verified,,"Every table has a primary key and 129 of 136 are uuid defaulting to gen_random_uuid(). The seven that are not are named in a test with the reason: four platform catalogs where the key is the identity and is quoted in configuration or in Stripe's own payloads, and three append-only logs where rows arrive in order and in volume. An eighth cannot appear without being added to that list."
EDM-000004,Versioning,verified,,Library rows version through library_row_versions with valid_to derived rather than stored; plans through plan_versions; metric definitions through metric_definition_versions; documents through document_versions with supersession enforced acyclic; estimates through estimate_versions pinned to the library snapshot that priced them. Each publishes on a real change rather than on every touch.
EDM-000005,Soft deletion,verified,,"app.record_status on the library and master tables, constrained lifecycle states on projects, estimates, proposals, purchase orders, invoices, incidents and machine control files. Deletion is refused outright where history matters: an executed contract, a settled claim, a metric definition somebody reported a number under. P29 recorded that a company cannot be deleted at all, which is the far end of this same property and is a gap rather than a feature."
EDM-000006,Audit columns,verified,,"created_at and updated_at on every mutable table, created_by or its equivalent where an actor is meaningful, and behind them an append-only audit ledger recording actor, prior state and new state for every change to every table. A governance test asserts every table is either audited or frozen, so the ledger cannot be avoided by adding a table."
EDM-000007,Optimistic concurrency,not_verified,"No optimistic concurrency anywhere. No version, row_version, lock_version or etag column exists on any table, and no update is conditional on the row being unchanged. Two people editing the same estimate line, daily report or schedule activity silently overwrite each other and the loser is never told. The audit ledger records that it happened, which is a forensic answer rather than a control.",
EDM-000008,Reference data,verified,,"Reference sets are governed rows rather than hard-coded lists where a tenant may extend them — cost codes, materials, equipment, labor rates, tasks, assemblies, crews, condition modifiers, pricing profiles, all with three-tier scope and approval before activation. Fixed enumerations that are not a tenant's to change are PostgreSQL enums or check constraints, which is the right representation for a closed set."
EDM-000009,Custom fields,not_verified,"No custom fields of any kind. No definition table, no typed value storage, no per-tenant schema extension. P07 and P08 both recorded the same absence from their own side.",
EDM-000010,Data ownership,not_verified,"No data owner is recorded anywhere. Permissions say who may read and write a table; nothing says who is accountable for the correctness of a field. There is no steward, no owning role, no contact.",
EDM-000011,System of record,verified,,"Since this build, the authoritative source of a governed field is declared and enforced rather than assumed. Job cost names its origin in a source column and its producing record in a reference — time_entry, fuel_transaction, purchase_order, ap_invoice. A proposal's price is derived from the estimate version it cites and cannot be typed. A schedule's float exists only where a calculation produced it. A metric names the view it is computed from and a test executes it there. An estimate version pins the library snapshot that priced it."
EDM-000012,Null semantics,not_verified,"Required and optional are distinguished by NOT NULL, and that is the whole of it. Unknown, not applicable and withheld are all null, so a credential with no expiry date because it never expires is indistinguishable from one whose expiry nobody has entered — a distinction migration 0043 had to reason about explicitly because the schema could not express it.",
EDM-000013,Precision,verified,,"Every numeric column declares precision and scale; nothing anywhere in the schema is a float or double, asserted by test. The scale convention is now held by test too: a money total carries two decimal places and a unit rate carries four, because a material at $0.0125 a pound rounded to cents is wrong by a fifth. Units are a constrained enum, app.unit_code. Currency is the gap and is recorded at 000034."
EDM-000014,Time handling,verified,,"Every timestamp column in the schema is timestamptz — asserted by test, with zero exceptions — so every moment is stored in UTC with its offset resolved. Dates that are business dates rather than moments are date: a work date, an invoice date, a cost date, an effective date. That distinction is deliberate and correct: a timecard's work date is a day, not an instant."
EDM-000015,Effective dating,verified,,"Effective dating is real where rates are: labor rates, equipment rates and material costs carry effective_date and expires_on, library row versions derive valid_to by window function rather than storing it, financial periods are non-overlapping by exclusion constraint, and resource assignments carry date ranges that cannot overlap for one resource. Work calendars carry dated exceptions."
