Entity ID,Entity,Module,Definition,Primary Scope Key,Lifecycle Notes
GES-P08-ENT-001,Lead,CRM Foundation,Canonical lead record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-002,Lead Source,Lead Capture & Attribution,Canonical lead source record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-003,Lead Capture Event,Qualification & Scoring,Canonical lead capture event record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-004,Marketing Campaign,Account & Contact 360,Canonical marketing campaign record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-005,Campaign Member,Opportunity & Pipeline,Canonical campaign member record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-006,Attribution Touchpoint,Site Visit & Discovery,Canonical attribution touchpoint record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-007,Consent Record,Estimate Integration,Canonical consent record record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-008,Contact,Proposal & E-Signature,Canonical contact record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-009,Account,Contract Handoff,Canonical account record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-010,Account Relationship,Marketing Automation,Canonical account relationship record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-011,Address,Communication Center,Canonical address record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-012,Communication Preference,Customer Portal,Canonical communication preference record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-013,Customer Segment,Customer Success,Canonical customer segment record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-014,Customer Health Score,Warranty & Service,Canonical customer health score record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-015,Opportunity,Reputation & Reviews,Canonical opportunity record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-016,Opportunity Stage,Referral Management,Canonical opportunity stage record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-017,Opportunity Stage History,Partner & Channel Management,Canonical opportunity stage history record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-018,Sales Activity,AI Sales Intelligence,Canonical sales activity record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-019,Task,Revenue Forecasting,Canonical task record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-020,Appointment,Security & Governance,Canonical appointment record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-021,Site Visit,CRM Foundation,Canonical site visit record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-022,Discovery Questionnaire,Lead Capture & Attribution,Canonical discovery questionnaire record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-023,Project Interest,Qualification & Scoring,Canonical project interest record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-024,Service Interest,Account & Contact 360,Canonical service interest record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-025,Estimate Link,Opportunity & Pipeline,Canonical estimate link record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-026,Estimate Scenario,Site Visit & Discovery,Canonical estimate scenario record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-027,Proposal,Estimate Integration,Canonical proposal record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-028,Proposal Version,Proposal & E-Signature,Canonical proposal version record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-029,Proposal Option,Contract Handoff,Canonical proposal option record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-030,Proposal Recipient,Marketing Automation,Canonical proposal recipient record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-031,Proposal View Event,Communication Center,Canonical proposal view event record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-032,Electronic Signature Request,Customer Portal,Canonical electronic signature request record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-033,Electronic Signature Event,Customer Success,Canonical electronic signature event record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-034,Contract Handoff,Warranty & Service,Canonical contract handoff record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-035,Lost Reason,Reputation & Reviews,Canonical lost reason record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-036,Competitor,Referral Management,Canonical competitor record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
GES-P08-ENT-037,Competitor Insight,Partner & Channel Management,Canonical competitor insight record used by the Phase 08 customer lifecycle.,tenant_id,Soft delete; immutable audit history
