ui_id,name,domain,capabilities,form_factor
P18-UI-001,Scheduling Command Center,Enterprise Scheduling Core,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-002,Portfolio Schedule,CPM Scheduling,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-003,Project Schedule,Work Breakdown Structure,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-004,WBS Builder,Calendars & Shifts,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-005,Activity Table,Resource Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-006,Gantt Chart,Resource Loading,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-007,Network Diagram,Resource Leveling,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-008,Calendar Manager,Crew Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-009,Milestone Register,Equipment Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-010,Baseline Manager,Truck & Haul Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-011,Schedule Update Workspace,Material Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-012,Progress Update Mobile,Subcontractor Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-013,Critical Path Viewer,Look-Ahead Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-014,Longest Path Viewer,Last Planner & Commitments,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-015,Schedule Quality Center,Pull Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-016,Resource Planning Board,Milestones & Contract Dates,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-017,Resource Histogram,Baseline Management,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-018,Crew Planning,Schedule Update Cycle,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-019,Equipment Planning,Progress Measurement,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-020,Truck/Haul Planning,Cost & Schedule Integration,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-021,Material Need-Date Planner,Constraint Management,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-022,Subcontractor Capacity Planner,Weather & Calendar Impacts,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-023,Resource Leveling Studio,Schedule Risk Analysis,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-024,Look-Ahead Planner,Recovery & Acceleration,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-025,Weekly Work Plan,Delay & Impact Analysis,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-026,Last Planner/PPC,Portfolio Capacity Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-027,Pull Planning Board,What-If & Scenario Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-028,Constraint Register,AI Schedule Intelligence,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-029,Constraint Readiness,Scheduling Digital Twin,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-030,Weather Impact Center,Enterprise Scheduling Core,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-031,Schedule Risk Studio,CPM Scheduling,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-032,Scenario/What-If Studio,Work Breakdown Structure,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-033,Recovery Planning,Calendars & Shifts,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
