rule_id,domain,name,rule,severity
P15-BR-001,Document Control,Information control rule 1,"Controlled information condition 1 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-002,Drawing Management,Information control rule 2,"Controlled information condition 2 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-003,Specification Management,Information control rule 3,"Controlled information condition 3 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-004,Submittals,Information control rule 4,"Controlled information condition 4 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-005,RFIs,Information control rule 5,"Controlled information condition 5 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-006,Transmittals & Distribution,Information control rule 6,"Controlled information condition 6 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-007,Correspondence & Records,Information control rule 7,"Controlled information condition 7 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-008,Version & Revision Control,Information control rule 8,"Controlled information condition 8 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-009,Markup & Review,Information control rule 9,"Controlled information condition 9 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-010,OCR & Content Extraction,Information control rule 10,"Controlled information condition 10 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-011,Plan & Spec Intelligence,Information control rule 11,"Controlled information condition 11 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-012,Document Search & Retrieval,Information control rule 12,"Controlled information condition 12 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-013,Records Retention & Legal Hold,Information control rule 13,"Controlled information condition 13 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-014,External Collaboration,Information control rule 14,"Controlled information condition 14 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-015,Field Document Access,Information control rule 15,"Controlled information condition 15 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-016,BIM/CDE Coordination,Information control rule 16,"Controlled information condition 16 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-017,Closeout & Turnover,Information control rule 17,"Controlled information condition 17 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-018,Document Intelligence Digital Twin,Information control rule 18,"Controlled information condition 18 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-019,Document Control,Information control rule 19,"Controlled information condition 19 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-020,Drawing Management,Information control rule 20,"Controlled information condition 20 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-021,Specification Management,Information control rule 21,"Controlled information condition 21 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-022,Submittals,Information control rule 22,"Controlled information condition 22 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-023,RFIs,Information control rule 23,"Controlled information condition 23 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-024,Transmittals & Distribution,Information control rule 24,"Controlled information condition 24 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-025,Correspondence & Records,Information control rule 25,"Controlled information condition 25 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-026,Version & Revision Control,Information control rule 26,"Controlled information condition 26 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-027,Markup & Review,Information control rule 27,"Controlled information condition 27 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-028,OCR & Content Extraction,Information control rule 28,"Controlled information condition 28 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-029,Plan & Spec Intelligence,Information control rule 29,"Controlled information condition 29 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-030,Document Search & Retrieval,Information control rule 30,"Controlled information condition 30 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-031,Records Retention & Legal Hold,Information control rule 31,"Controlled information condition 31 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-032,External Collaboration,Information control rule 32,"Controlled information condition 32 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-033,Field Document Access,Information control rule 33,"Controlled information condition 33 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-034,BIM/CDE Coordination,Information control rule 34,"Controlled information condition 34 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-035,Closeout & Turnover,Information control rule 35,"Controlled information condition 35 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-036,Document Intelligence Digital Twin,Information control rule 36,"Controlled information condition 36 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-037,Document Control,Information control rule 37,"Controlled information condition 37 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-038,Drawing Management,Information control rule 38,"Controlled information condition 38 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-039,Specification Management,Information control rule 39,"Controlled information condition 39 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-040,Submittals,Information control rule 40,"Controlled information condition 40 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-041,RFIs,Information control rule 41,"Controlled information condition 41 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-042,Transmittals & Distribution,Information control rule 42,"Controlled information condition 42 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-043,Correspondence & Records,Information control rule 43,"Controlled information condition 43 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-044,Version & Revision Control,Information control rule 44,"Controlled information condition 44 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-045,Markup & Review,Information control rule 45,"Controlled information condition 45 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-046,OCR & Content Extraction,Information control rule 46,"Controlled information condition 46 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Blocking
P15-BR-047,Plan & Spec Intelligence,Information control rule 47,"Controlled information condition 47 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-048,Document Search & Retrieval,Information control rule 48,"Controlled information condition 48 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-049,Records Retention & Legal Hold,Information control rule 49,"Controlled information condition 49 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-050,External Collaboration,Information control rule 50,"Controlled information condition 50 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-051,Field Document Access,Information control rule 51,"Controlled information condition 51 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-052,BIM/CDE Coordination,Information control rule 52,"Controlled information condition 52 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-053,Closeout & Turnover,Information control rule 53,"Controlled information condition 53 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-054,Document Intelligence Digital Twin,Information control rule 54,"Controlled information condition 54 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-055,Document Control,Information control rule 55,"Controlled information condition 55 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-056,Drawing Management,Information control rule 56,"Controlled information condition 56 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-057,Specification Management,Information control rule 57,"Controlled information condition 57 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-058,Submittals,Information control rule 58,"Controlled information condition 58 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-059,RFIs,Information control rule 59,"Controlled information condition 59 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-060,Transmittals & Distribution,Information control rule 60,"Controlled information condition 60 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-061,Correspondence & Records,Information control rule 61,"Controlled information condition 61 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-062,Version & Revision Control,Information control rule 62,"Controlled information condition 62 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-063,Markup & Review,Information control rule 63,"Controlled information condition 63 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-064,OCR & Content Extraction,Information control rule 64,"Controlled information condition 64 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
P15-BR-065,Plan & Spec Intelligence,Information control rule 65,"Controlled information condition 65 shall preserve the authoritative revision, required metadata, access controls, distribution evidence and immutable audit history.",Advisory
