Requirement_ID,Category,Name,Priority,Status,Description,Acceptance_Criteria,Dependencies,Owner,Version
EDM-000001,Data Architecture,Canonical model,Critical,Review,The platform shall maintain one governed canonical enterprise data model shared by all modules.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000002,Data Architecture,Tenant key,Critical,Review,Every tenant-owned record shall include a verified tenant identifier.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000003,Data Architecture,Global identifiers,Critical,Review,Every governed entity shall use immutable globally unique identifiers.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000004,Data Architecture,Versioning,Critical,Review,Versioned entities shall preserve historical versions and effective dates.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000005,Data Architecture,Soft deletion,Critical,Review,Business records shall use governed lifecycle states rather than uncontrolled physical deletion.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000006,Data Architecture,Audit columns,Critical,Review,Every mutable record shall capture creation and last-change actor and timestamp.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000007,Data Architecture,Optimistic concurrency,Critical,Review,Mutable records shall support version checks to prevent lost updates.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000008,Data Architecture,Reference data,Critical,Review,Codes and enumerations shall be represented through governed reference sets.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000009,Data Architecture,Custom fields,Critical,Review,Tenant custom fields shall use typed governed definitions and values.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000010,Data Architecture,Data ownership,Critical,Review,Each entity and field shall have an accountable data owner.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000011,Data Architecture,System of record,Critical,Review,Each governed field shall declare its authoritative source.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000012,Data Architecture,Null semantics,Critical,Review,"Required, optional, unknown, not applicable, and withheld values shall be distinguishable where material.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000013,Data Architecture,Precision,Critical,Review,"Numeric values shall store declared precision, scale, and unit or currency context.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
EDM-000014,Data Architecture,Time handling,Critical,Review,Timestamps shall use UTC with source timezone where business meaning requires it.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",Phase 01 Governance; Phase 02 Core Platform,Enterprise Data Architecture,1.0.0-review
