Entity_ID,Name,Purpose,Key_Attributes,Relationships,Lifecycle,Owner,Classification
ENT-P02-001,PlatformRequest,Normalized inbound request context,request_id; tenant_id; actor_id; channel; locale; timezone; correlation_id,"Session, AuthorizationDecision, AuditEvent",received; processing; completed; failed,Platform Architecture,Restricted
ENT-P02-002,Session,Authenticated interactive or service session,session_id; actor_id; issued_at; expires_at; risk; device_id; status,"UserIdentity, Device, Token",active; challenged; revoked; expired,Identity Platform,Restricted
ENT-P02-003,Device,Registered client device,device_id; actor_id; platform; trust_state; last_seen; key_reference,"Session, OfflinePack",new; trusted; restricted; revoked,Mobile Security,Restricted
ENT-P02-004,AuthorizationDecision,Explainable access decision,decision_id; actor; action; resource; scope; result; policy_refs; decided_at,"PlatformRequest, AuditEvent",recorded,Security Platform,Restricted
ENT-P02-005,ServiceIdentity,Non-human platform identity,service_identity_id; owner; type; scopes; credential_ref; status,"Connector, BackgroundJob, AIAgent",draft; active; suspended; retired,Identity Platform,Highly Confidential
ENT-P02-006,MetadataDefinition,Governed extension field definition,metadata_definition_id; entity_type; key; data_type; rules; scope,MetadataValue,draft; active; deprecated,Data Architecture,Internal
ENT-P02-007,MetadataValue,Value attached to governed object,metadata_value_id; definition_id; object_ref; value; version,MetadataDefinition,active; superseded,Data Architecture,Varies
ENT-P02-008,TagDefinition,Governed tag definition,tag_id; key; label; synonyms; owner; scope; status,TagAssignment,draft; active; retired,Information Architecture,Internal
ENT-P02-009,TagAssignment,Tag applied to an object,assignment_id; tag_id; object_ref; assigned_by; assigned_at,TagDefinition,active; removed,Information Architecture,Internal
ENT-P02-010,FileObject,Logical file identity,file_id; tenant_id; name; classification; owner; current_version_id,"FileVersion, FileShare",active; archived; deleted,Records Platform,Varies
ENT-P02-011,FileVersion,Immutable content version,file_version_id; file_id; version; checksum; size; mime; storage_ref; scan_status,FileObject,uploading; scanning; accepted; quarantined; rejected,Records Platform,Varies
ENT-P02-012,SearchDocument,Permission-aware indexed representation,search_document_id; object_ref; index_version; fields; acl_tokens,Source entity,queued; indexed; stale; deleted,Search Platform,Restricted
ENT-P02-013,Notification,Outbound communication instance,notification_id; template_id; recipient; channel; payload_ref; status,"NotificationTemplate, DeliveryAttempt",queued; sent; delivered; failed; cancelled,Notification Platform,Restricted
ENT-P02-014,NotificationTemplate,Versioned message template,template_id; key; locale; channel; content; version; status,Notification,draft; active; retired,Notification Platform,Internal
ENT-P02-015,Schedule,One-time or recurring execution plan,schedule_id; owner; expression; timezone; next_run; status,BackgroundJob,draft; active; paused; completed; cancelled,Scheduler Platform,Confidential
ENT-P02-016,BackgroundJob,Durable asynchronous work item,job_id; type; tenant_id; payload_ref; priority; attempts; status; progress,"Schedule, DeadLetterItem",queued; running; retry; succeeded; failed; cancelled; dead-lettered,Job Platform,Confidential
ENT-P02-017,WorkflowInstance,Durable workflow execution,workflow_instance_id; definition_id; version; object_ref; state; variables; status,"WorkflowDefinition, WorkflowStep",running; waiting; completed; failed; cancelled,Workflow Platform,Confidential
ENT-P02-018,WorkflowDefinition,Versioned workflow graph,workflow_definition_id; key; version; states; transitions; timers; status,WorkflowInstance,draft; approved; active; retired,Workflow Platform,Confidential
ENT-P02-019,RuleDefinition,Versioned deterministic rule,rule_definition_id; key; version; inputs; expression; output_schema; status,RuleExecution,draft; approved; active; retired,Rules Platform,Confidential
ENT-P02-020,RuleExecution,Recorded rule evaluation,rule_execution_id; rule_version; input_hash; output; result; executed_at,RuleDefinition,recorded,Rules Platform,Restricted
ENT-P02-021,DomainEvent,Versioned event envelope,event_id; tenant_id; type; schema_version; producer; occurred_at; correlation; causation; payload_ref,EventDelivery,published; archived,Integration Platform,Restricted
