api_id,method,path,purpose,security,control
P28-API-001,GET,/api/v1/security/policies,List permitted security policies,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-002,POST,/api/v1/security/policies,Create security policy draft,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-003,POST,/api/v1/security/policies/{id}/publish,Publish approved policy version,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-004,GET,/api/v1/identity/me,Read current identity/security context,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-005,GET,/api/v1/identity/roles,List permitted roles,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-006,POST,/api/v1/identity/role-assignments,Assign governed role,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-007,POST,/api/v1/identity/privileged-elevations,Request privileged elevation,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-008,POST,/api/v1/identity/privileged-elevations/{id}/approve,Approve privileged elevation,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-009,POST,/api/v1/authorization/evaluate,Evaluate policy decision,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-010,POST,/api/v1/security/sessions/{id}/revoke,Revoke session,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-011,GET,/api/v1/security/service-identities,List service identities,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-012,POST,/api/v1/security/service-identities,Create service identity,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-013,POST,/api/v1/security/service-identities/{id}/rotate,Rotate service credential reference,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-014,GET,/api/v1/security/classifications,List data classifications,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-015,POST,/api/v1/security/classifications/assign,Assign classification,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-016,GET,/api/v1/security/retention-rules,List retention rules,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-017,POST,/api/v1/security/deletion-requests,Create governed deletion request,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-018,GET,/api/v1/security/keys,List key metadata,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-019,POST,/api/v1/security/keys/{id}/rotate,Request/record key rotation,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-020,GET,/api/v1/security/secrets,List secret metadata without values,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-021,GET,/api/v1/security/certificates,List certificate inventory,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-022,GET,/api/v1/security/findings,Query security findings,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-023,POST,/api/v1/security/findings/{id}/exceptions,Request finding exception,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-024,GET,/api/v1/security/threat-models,List threat models,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-025,POST,/api/v1/security/threat-models,Create threat model,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-026,GET,/api/v1/security/alerts,Query security alerts,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-027,POST,/api/v1/security/incidents,Create security incident,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-028,GET,/api/v1/security/incidents/{id},Read incident,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-029,POST,/api/v1/security/access-reviews,Create access review,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-030,POST,/api/v1/security/access-reviews/{id}/complete,Complete access review,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-031,GET,/api/v1/security/compliance/evidence,Query control evidence,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
P28-API-032,GET,/api/v1/security/metrics,Query security metrics,Authenticated; restricted security scope; tenant/platform policy; sensitive fields minimized,Protected mutations require authority/approval and are fully audited
