requirement_id,test_id,phase24_module,phase25_module,status
P25-REQ-001,P25-TST-001,P24-MOD-001,P25-MOD-001,Mapped
P25-REQ-002,P25-TST-002,P24-MOD-002,P25-MOD-002,Mapped
P25-REQ-003,P25-TST-003,P24-MOD-003,P25-MOD-003,Mapped
P25-REQ-004,P25-TST-004,P24-MOD-004,P25-MOD-004,Mapped
P25-REQ-005,P25-TST-005,P24-MOD-005,P25-MOD-005,Mapped
P25-REQ-006,P25-TST-006,P24-MOD-006,P25-MOD-006,Mapped
P25-REQ-007,P25-TST-007,P24-MOD-007,P25-MOD-007,Mapped
P25-REQ-008,P25-TST-008,P24-MOD-008,P25-MOD-008,Mapped
P25-REQ-009,P25-TST-009,P24-MOD-009,P25-MOD-009,Mapped
P25-REQ-010,P25-TST-010,P24-MOD-010,P25-MOD-010,Mapped
P25-REQ-011,P25-TST-011,P24-MOD-011,P25-MOD-011,Mapped
P25-REQ-012,P25-TST-012,P24-MOD-012,P25-MOD-012,Mapped
P25-REQ-013,P25-TST-013,P24-MOD-013,P25-MOD-013,Mapped
P25-REQ-014,P25-TST-014,P24-MOD-014,P25-MOD-014,Mapped
P25-REQ-015,P25-TST-015,P24-MOD-015,P25-MOD-015,Mapped
P25-REQ-016,P25-TST-016,P24-MOD-016,P25-MOD-016,Mapped
P25-REQ-017,P25-TST-017,P24-MOD-017,P25-MOD-017,Mapped
P25-REQ-018,P25-TST-018,P24-MOD-018,P25-MOD-018,Mapped
P25-REQ-019,P25-TST-019,P24-MOD-001,P25-MOD-019,Mapped
P25-REQ-020,P25-TST-020,P24-MOD-002,P25-MOD-020,Mapped
P25-REQ-021,P25-TST-021,P24-MOD-003,P25-MOD-021,Mapped
P25-REQ-022,P25-TST-022,P24-MOD-004,P25-MOD-022,Mapped
P25-REQ-023,P25-TST-023,P24-MOD-005,P25-MOD-023,Mapped
P25-REQ-024,P25-TST-024,P24-MOD-006,P25-MOD-024,Mapped
P25-REQ-025,P25-TST-025,P24-MOD-007,P25-MOD-001,Mapped
P25-REQ-026,P25-TST-026,P24-MOD-008,P25-MOD-002,Mapped
P25-REQ-027,P25-TST-027,P24-MOD-009,P25-MOD-003,Mapped
P25-REQ-028,P25-TST-028,P24-MOD-010,P25-MOD-004,Mapped
P25-REQ-029,P25-TST-029,P24-MOD-011,P25-MOD-005,Mapped
P25-REQ-030,P25-TST-030,P24-MOD-012,P25-MOD-006,Mapped
P25-REQ-031,P25-TST-031,P24-MOD-013,P25-MOD-007,Mapped
P25-REQ-032,P25-TST-032,P24-MOD-014,P25-MOD-008,Mapped
P25-REQ-033,P25-TST-033,P24-MOD-015,P25-MOD-009,Mapped
P25-REQ-034,P25-TST-034,P24-MOD-016,P25-MOD-010,Mapped
P25-REQ-035,P25-TST-035,P24-MOD-017,P25-MOD-011,Mapped
P25-REQ-036,P25-TST-036,P24-MOD-018,P25-MOD-012,Mapped
P25-REQ-037,P25-TST-037,P24-MOD-001,P25-MOD-013,Mapped
P25-REQ-038,P25-TST-038,P24-MOD-002,P25-MOD-014,Mapped
P25-REQ-039,P25-TST-039,P24-MOD-003,P25-MOD-015,Mapped
P25-REQ-040,P25-TST-040,P24-MOD-004,P25-MOD-016,Mapped
P25-REQ-041,P25-TST-041,P24-MOD-005,P25-MOD-017,Mapped
P25-REQ-042,P25-TST-042,P24-MOD-006,P25-MOD-018,Mapped
P25-REQ-043,P25-TST-043,P24-MOD-007,P25-MOD-019,Mapped
P25-REQ-044,P25-TST-044,P24-MOD-008,P25-MOD-020,Mapped
P25-REQ-045,P25-TST-045,P24-MOD-009,P25-MOD-021,Mapped
P25-REQ-046,P25-TST-046,P24-MOD-010,P25-MOD-022,Mapped
P25-REQ-047,P25-TST-047,P24-MOD-011,P25-MOD-023,Mapped
P25-REQ-048,P25-TST-048,P24-MOD-012,P25-MOD-024,Mapped
P25-REQ-049,P25-TST-049,P24-MOD-013,P25-MOD-001,Mapped
P25-REQ-050,P25-TST-050,P24-MOD-014,P25-MOD-002,Mapped
P25-REQ-051,P25-TST-051,P24-MOD-015,P25-MOD-003,Mapped
P25-REQ-052,P25-TST-052,P24-MOD-016,P25-MOD-004,Mapped
P25-REQ-053,P25-TST-053,P24-MOD-017,P25-MOD-005,Mapped
P25-REQ-054,P25-TST-054,P24-MOD-018,P25-MOD-006,Mapped
P25-REQ-055,P25-TST-055,P24-MOD-001,P25-MOD-007,Mapped
P25-REQ-056,P25-TST-056,P24-MOD-002,P25-MOD-008,Mapped
P25-REQ-057,P25-TST-057,P24-MOD-003,P25-MOD-009,Mapped
P25-REQ-058,P25-TST-058,P24-MOD-004,P25-MOD-010,Mapped
P25-REQ-059,P25-TST-059,P24-MOD-005,P25-MOD-011,Mapped
P25-REQ-060,P25-TST-060,P24-MOD-006,P25-MOD-012,Mapped
P25-REQ-061,P25-TST-061,P24-MOD-007,P25-MOD-013,Mapped
P25-REQ-062,P25-TST-062,P24-MOD-008,P25-MOD-014,Mapped
