rule_id,domain,name,rule,severity
P17-BR-001,Machine Control Core,Machine-control rule 1,"Machine-control condition 1 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-002,GPS/GNSS Positioning,Machine-control rule 2,"Machine-control condition 2 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-003,Localization & Calibration,Machine-control rule 3,"Machine-control condition 3 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-004,3D Models & Surfaces,Machine-control rule 4,"Machine-control condition 4 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-005,2D Guidance,Machine-control rule 5,"Machine-control condition 5 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-006,3D Guidance,Machine-control rule 6,"Machine-control condition 6 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-007,Automatic Grade Control,Machine-control rule 7,"Machine-control condition 7 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-008,Excavator Guidance,Machine-control rule 8,"Machine-control condition 8 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-009,Dozer Guidance,Machine-control rule 9,"Machine-control condition 9 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-010,Grader Guidance,Machine-control rule 10,"Machine-control condition 10 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
