event_id,event_name,version,envelope,delivery,status
P26-EVT-001,estimate.created,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-002,estimate.version.created,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-003,estimate.line.added,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-004,estimate.line.expanded,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-005,estimate.calculated,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-006,estimate.scenario.created,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-007,estimate.scenario.calculated,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-008,estimate.override.applied,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-009,estimate.review.requested,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-010,estimate.approved,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-011,estimate.frozen,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-012,estimate.exported,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-013,estimate.writeback.proposed,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-014,production.calculated,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-015,crew.recommended,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-016,equipment.selected,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-017,truckcycle.calculated,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-018,haul.calculated,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
P26-EVT-019,ai.estimateassist.completed,v1,"event_id,event_name,version,tenant_id,estimate_id,estimate_version,occurred_at,correlation_id,actor,payload",Outbox; idempotent consumer; calculation/library snapshot references,Proposed
