Rule_ID,Name,Description,Inputs,Condition,Action,Exception,Owner,Priority,Status,Version
GES-P01-BR-000001,Tenant isolation,"A user, integration, or AI agent may access only records belonging to an authorized tenant.",tenant_id; actor_id; permission,actor tenant scope contains record tenant,Allow evaluation to continue,Break-glass policy,Security Governance,Critical,Review,1.0.0-review
GES-P01-BR-000002,Permission deny precedence,An explicit deny overrides any allow at the same or broader applicable scope.,role assignments; permission grants; denials,matching explicit deny exists,Deny action,Emergency access policy,Security Governance,Critical,Review,1.0.0-review
GES-P01-BR-000003,Least privilege default,New users receive no business permissions until assigned an approved role.,user lifecycle state; role assignments,user activated with no role,Permit sign-in only to onboarding or access-request surfaces,Tenant template may add approved baseline role,Identity Administration,Critical,Review,1.0.0-review
GES-P01-BR-000004,One active policy version,"Only one policy version may be active for the same policy key, scope, and effective period.",policy key; scope; effective dates,overlapping active periods detected,Block activation,Explicit replacement transaction,Compliance Governance,High,Review,1.0.0-review
GES-P01-BR-000005,Approval independence,A requester cannot approve their own request when dual control is required.,requester; approver; approval policy,dual control and same actor,Block approval,No exception,Workflow Governance,Critical,Review,1.0.0-review
GES-P01-BR-000006,Delegation boundary,"Delegated authority cannot exceed the delegator's permissions, amount, scope, or expiration.",delegator authority; delegation,delegation exceeds authority,Block creation,No exception,Workflow Governance,Critical,Review,1.0.0-review
GES-P01-BR-000007,Suspension effect,Suspending a user revokes active sessions and prevents new authentication.,user state; sessions,state changes to suspended,Terminate sessions and disable credentials,Service account handling policy,Identity Administration,Critical,Review,1.0.0-review
GES-P01-BR-000008,Legal hold precedence,An active legal hold prevents purge regardless of ordinary retention expiration.,record; retention; legal hold,active legal hold exists,Suppress purge and record exception,Court-authorized release,Records Governance,Critical,Review,1.0.0-review
GES-P01-BR-000009,Configuration precedence,"Effective configuration resolves from user, project, office, company, tenant, platform, using only override-enabled keys.",configuration key; layers,multiple values exist,Use highest authorized active layer,Locked keys ignore lower overrides,Platform Administration,High,Review,1.0.0-review
GES-P01-BR-000010,Audit immutability,Audit events cannot be edited or deleted through ordinary application workflows.,audit event,update or delete requested,Reject action,Governed archival only,Audit Governance,Critical,Review,1.0.0-review
GES-P01-BR-000011,Break-glass duration,Emergency access expires at the earlier of policy maximum or approved expiration.,emergency grant; policy,grant active,Auto-expire and revoke,Renewal requires new approval,Security Governance,Critical,Review,1.0.0-review
GES-P01-BR-000012,AI proposal writeback,AI output affecting governed records is stored as a proposal until required approval succeeds.,agent action; target object; automation policy,writeback not explicitly authorized,Create proposal,Approved low-risk automation,AI Governance,Critical,Review,1.0.0-review
GES-P01-BR-000013,Locked baseline protection,A locked record version cannot be modified in place.,record status; version,status equals locked,Create change request and successor version,No direct exception,Change Control Board,Critical,Review,1.0.0-review
GES-P01-BR-000014,External sharing minimum,External users receive only explicitly shared objects and approved portal actions.,external identity; share grant,request is external,Evaluate explicit share and portal permission,No inherited internal access,Identity Administration,Critical,Review,1.0.0-review
GES-P01-BR-000015,Entitlement enforcement,A disabled or expired entitlement blocks new use but retains governed historical data.,tenant entitlement; feature request,entitlement inactive,Block capability initiation,Read-only history may remain,Commercial Operations,High,Review,1.0.0-review
