Workflow_ID,Name,Actors,States,Trigger,Core_Steps,Output,Priority
WF-P02-001,Authenticated Request,Client; Gateway; Identity; Authorization; Service,Received; Authenticated; Authorized; Processing; Completed; Failed,Inbound request,Validate transport; authenticate; resolve tenant; authorize; execute; audit; respond,Governed response,Critical
WF-P02-002,File Upload and Acceptance,User; File Service; Scanner; Classifier,Initiated; Uploading; Checksumming; Scanning; Accepted; Quarantined; Rejected,Upload initiated,Create upload session; stream chunks; verify checksum; scan; classify; create immutable version; index,Accepted file version or quarantine case,Critical
WF-P02-003,Search Indexing,Domain Service; Event Bus; Search Indexer,Queued; Reading; Transforming; ACL Build; Indexed; Failed,Source record event,Read source; create permission tokens; transform fields; index; mark version,Permission-aware search document,High
WF-P02-004,Background Job Execution,Producer; Job Service; Worker,Queued; Claimed; Running; Retry; Succeeded; Failed; Dead-lettered,Job submitted,Validate payload; claim lease; execute; checkpoint; retry; dead-letter; notify,Durable job result,Critical
WF-P02-005,Durable Workflow Execution,Workflow Engine; Domain Services; Approvers,Created; Running; Waiting; Compensating; Completed; Failed; Cancelled,Workflow start,Load definition; execute steps; persist state; wait timers/events; retry or compensate,Workflow outcome and history,Critical
WF-P02-006,Webhook Delivery,Event Bus; Webhook Service; Consumer,Queued; Signed; Sending; Delivered; Retry; Failed; Dead-lettered,Subscribed event,Build payload; sign; deliver; capture response; backoff; dead-letter; notify,Delivery result,High
WF-P02-007,Import Batch,User; Import Engine; Validator; Domain Services,Uploaded; Mapping; Validating; Preview; Importing; Completed; Failed,Import file submitted,Parse; map; validate rows; preview; approve; write idempotently; report errors,Import results and audit,High
WF-P02-008,Offline Synchronization,Mobile Client; Sync Service; Domain Service,Prepared; Uploading; Evaluating; Applying; Conflict; Completed; Failed,Connectivity restored or sync requested,Authenticate device; upload queue; validate base versions; apply or resolve; download deltas; confirm,Sync receipt and updated local state,Critical
WF-P02-009,Feature Rollout,Product Owner; Release Manager; Flag Service,Draft; Review; Active; Paused; Expanded; Rolled Back; Retired,Feature ready,Define targeting; approve; enable small cohort; monitor; expand or rollback,Controlled rollout,High
WF-P02-010,Secret Rotation,Owner; Secret Manager; Dependent Service,Scheduled; Creating; Updating; Verifying; Revoking Old; Completed; Failed,Rotation due,Create new secret; update references; verify; revoke old; audit,Rotated credential,Critical
WF-P02-011,Backup and Restore Verification,Backup Service; Operator; Verification Environment,Scheduled; Backing Up; Available; Restoring; Verifying; Passed; Failed,Backup schedule,Create encrypted backup; verify checksum; restore isolated; run validation; record evidence,Verified recovery point,Critical
WF-P02-012,AI Execution,User/Workflow; AI Gateway; Agent Runtime; Tool Service,Requested; Policy Check; Running; Tool Await; Evidence Check; Completed; Blocked; Failed,AI capability invoked,Resolve agent/version; authorize; redact; call model; execute tools; attach evidence; meter; audit,Governed AI result,Critical
