kpi_id,name,domain,definition,cadence,governance
P14-KPI-001,TRIR,Safety Management,Governed formula/definition for TRIR.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-002,DART Rate,Incident & Near-Miss Management,Governed formula/definition for DART Rate.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-003,Lost Time Incident Rate,JHA/JSA & Pre-Task Planning,Governed formula/definition for Lost Time Incident Rate.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-004,Near Miss Reporting Rate,Permits to Work,Governed formula/definition for Near Miss Reporting Rate.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-005,Safety Observation Rate,Training & Competency,Governed formula/definition for Safety Observation Rate.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-006,Positive Observation %,Environmental Management,Governed formula/definition for Positive Observation %.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-007,Hazard Closure Time,Quality Management,Governed formula/definition for Hazard Closure Time.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-008,Critical Hazard Open Count,Compliance & Regulatory,Governed formula/definition for Critical Hazard Open Count.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-009,Stop Work Events,Industrial Hygiene,Governed formula/definition for Stop Work Events.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-010,JHA Completion %,Emergency Management,Governed formula/definition for JHA Completion %.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-011,Pre-Task Plan Compliance,Subcontractor HSEQ,Governed formula/definition for Pre-Task Plan Compliance.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-012,Toolbox Talk Completion,Equipment & Fleet Safety,Governed formula/definition for Toolbox Talk Completion.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-013,Training Compliance %,Public & Traffic Safety,Governed formula/definition for Training Compliance %.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
P14-KPI-014,Certification Compliance %,Corrective & Preventive Action,Governed formula/definition for Certification Compliance %.,Daily/Weekly/Monthly,HSEQ owner and semantic definition required
