requirement_id,domain,priority,requirement,acceptance_criteria,version,status
P27-REQ-001,AI Copilot Core,Must,"GrounUp shall implement governed ai copilot core capability 1 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 1 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-002,Conversation Context,Must,"GrounUp shall implement governed conversation context capability 2 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 2 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-003,Tool Routing,Must,"GrounUp shall implement governed tool routing capability 3 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 3 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-004,Construction Knowledge Retrieval,Must,"GrounUp shall implement governed construction knowledge retrieval capability 4 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 4 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-005,Document Retrieval,Must,"GrounUp shall implement governed document retrieval capability 5 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 5 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-006,Plan Sheet Intelligence,Must,"GrounUp shall implement governed plan sheet intelligence capability 6 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 6 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-007,Specification Intelligence,Must,"GrounUp shall implement governed specification intelligence capability 7 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 7 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-008,Addenda Intelligence,Must,"GrounUp shall implement governed addenda intelligence capability 8 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 8 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-009,RFI/Submittal Intelligence,Must,"GrounUp shall implement governed rfi/submittal intelligence capability 9 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 9 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-010,Quantity Evidence Extraction,Must,"GrounUp shall implement governed quantity evidence extraction capability 10 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 10 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-011,Service Mapping,Must,"GrounUp shall implement governed service mapping capability 11 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 11 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-012,Assembly Mapping,Must,"GrounUp shall implement governed assembly mapping capability 12 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 12 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-013,Estimate Input Suggestions,Must,"GrounUp shall implement governed estimate input suggestions capability 13 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 13 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-014,Production Assumption Review,Must,"GrounUp shall implement governed production assumption review capability 14 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 14 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-015,Crew Recommendation,Must,"GrounUp shall implement governed crew recommendation capability 15 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 15 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-016,Equipment Recommendation,Must,"GrounUp shall implement governed equipment recommendation capability 16 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 16 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-017,Truck/Haul Recommendation,Must,"GrounUp shall implement governed truck/haul recommendation capability 17 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 17 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-018,Material/Disposal Recommendation,Must,"GrounUp shall implement governed material/disposal recommendation capability 18 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 18 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-019,Estimate Math Review,Must,"GrounUp shall implement governed estimate math review capability 19 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 19 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-020,Estimate Completeness Review,Must,"GrounUp shall implement governed estimate completeness review capability 20 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 20 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-021,Pricing Source Review,Must,"GrounUp shall implement governed pricing source review capability 21 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 21 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-022,Markup Review,Must,"GrounUp shall implement governed markup review capability 22 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 22 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-023,Scenario Review,Must,"GrounUp shall implement governed scenario review capability 23 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 23 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-024,Risk Detection,Must,"GrounUp shall implement governed risk detection capability 24 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 24 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-025,Scope Gap Detection,Must,"GrounUp shall implement governed scope gap detection capability 25 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 25 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-026,Conflict Detection,Must,"GrounUp shall implement governed conflict detection capability 26 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 26 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-027,Missing Information Detection,Must,"GrounUp shall implement governed missing information detection capability 27 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 27 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-028,Constructability Review,Must,"GrounUp shall implement governed constructability review capability 28 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 28 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-029,Safety/Compliance Advisory,Must,"GrounUp shall implement governed safety/compliance advisory capability 29 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 29 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-030,Schedule Risk Advisory,Must,"GrounUp shall implement governed schedule risk advisory capability 30 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 30 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-031,Commercial Risk Advisory,Must,"GrounUp shall implement governed commercial risk advisory capability 31 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 31 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
P27-REQ-032,Agent Orchestration,Must,"GrounUp shall implement governed agent orchestration capability 32 using Phase 26 deterministic calculation tools, permission-scoped source retrieval, explicit evidence, confidence, model/prompt/tool versions, human approval boundaries and audit history.","Capability 32 passes when source evidence, tool permissions, deterministic handoff behavior, human-review state, confidence/uncertainty handling, tenant isolation, evaluation results and mapped tests are verified.",v1.0.0,Implementation-ready
