requirement_id,test_id,engine_id,api_id,ui_id,status
P13-REQ-001,P13-TST-001,P13-ENG-001,P13-API-001,P13-UI-001,Mapped
P13-REQ-002,P13-TST-002,P13-ENG-002,P13-API-002,P13-UI-002,Mapped
P13-REQ-003,P13-TST-003,P13-ENG-003,P13-API-003,P13-UI-003,Mapped
P13-REQ-004,P13-TST-004,P13-ENG-004,P13-API-004,P13-UI-004,Mapped
P13-REQ-005,P13-TST-005,P13-ENG-005,P13-API-005,P13-UI-005,Mapped
P13-REQ-006,P13-TST-006,P13-ENG-006,P13-API-006,P13-UI-006,Mapped
P13-REQ-007,P13-TST-007,P13-ENG-007,P13-API-007,P13-UI-007,Mapped
P13-REQ-008,P13-TST-008,P13-ENG-008,P13-API-008,P13-UI-008,Mapped
P13-REQ-009,P13-TST-009,P13-ENG-009,P13-API-009,P13-UI-009,Mapped
P13-REQ-010,P13-TST-010,P13-ENG-010,P13-API-010,P13-UI-010,Mapped
P13-REQ-011,P13-TST-011,P13-ENG-011,P13-API-011,P13-UI-011,Mapped
P13-REQ-012,P13-TST-012,P13-ENG-012,P13-API-012,P13-UI-012,Mapped
P13-REQ-013,P13-TST-013,P13-ENG-013,P13-API-013,P13-UI-013,Mapped
P13-REQ-014,P13-TST-014,P13-ENG-014,P13-API-014,P13-UI-014,Mapped
P13-REQ-015,P13-TST-015,P13-ENG-015,P13-API-015,P13-UI-015,Mapped
P13-REQ-016,P13-TST-016,P13-ENG-016,P13-API-016,P13-UI-016,Mapped
P13-REQ-017,P13-TST-017,P13-ENG-017,P13-API-017,P13-UI-017,Mapped
P13-REQ-018,P13-TST-018,P13-ENG-018,P13-API-018,P13-UI-018,Mapped
P13-REQ-019,P13-TST-019,P13-ENG-019,P13-API-019,P13-UI-019,Mapped
P13-REQ-020,P13-TST-020,P13-ENG-020,P13-API-020,P13-UI-020,Mapped
P13-REQ-021,P13-TST-021,P13-ENG-021,P13-API-021,P13-UI-021,Mapped
P13-REQ-022,P13-TST-022,P13-ENG-022,P13-API-022,P13-UI-022,Mapped
P13-REQ-023,P13-TST-023,P13-ENG-023,P13-API-023,P13-UI-023,Mapped
