Field ID,Field Name,Type,Required,Definition
FLD-001,library_item_id,string,Yes,Immutable globally unique identifier
FLD-002,tenant_id,uuid,Conditional,Owning tenant; null for global records
FLD-003,library_id,string,Yes,Parent library identifier
FLD-004,item_code,string,Yes,Human-readable unique code within scope
FLD-005,name,string,Yes,Primary display name
FLD-006,short_name,string,No,Compact display label
FLD-007,description,text,Yes,Controlled definition
FLD-008,category_id,string,Yes,Primary category reference
FLD-009,subcategory_id,string,No,Secondary category reference
FLD-010,status,enum,Yes,"Draft, Review, Approved, Active, Deprecated, Archived"
FLD-011,version,semver,Yes,Semantic version
FLD-012,effective_from,date,Yes,Start of validity
FLD-013,effective_to,date,No,End of validity
FLD-014,unit_id,string,Conditional,Primary unit reference
FLD-015,source_type,enum,Yes,"Internal, vendor, standard, government, historical, AI-derived"
FLD-016,source_reference,string,Yes,Traceable source citation
FLD-017,confidence_score,decimal,Yes,0.00 to 1.00 confidence
FLD-018,approval_status,enum,Yes,"Pending, Approved, Rejected, Superseded"
FLD-019,approved_by,uuid,Conditional,Approver identity
FLD-020,approved_at,datetime,Conditional,Approval timestamp
FLD-021,created_by,uuid,Yes,Creator identity
FLD-022,created_at,datetime,Yes,Creation timestamp
FLD-023,updated_by,uuid,Yes,Last editor identity
FLD-024,updated_at,datetime,Yes,Last update timestamp
FLD-025,tags,array,No,Search and AI tags
FLD-026,keywords,array,No,Synonyms and search keywords
FLD-027,relationships,array,No,Typed references to related records
FLD-028,custom_fields,json,No,Tenant-configured extensions
FLD-029,white_label_visibility,enum,Yes,"Platform, tenant, reseller, hidden"
FLD-030,audit_hash,string,Yes,Integrity hash of approved payload
