phase,phase_title,engine_id,name,type,purpose,governance
02,Core Platform,ENG-P02-001,Authorization Decision Engine,,,
02,Core Platform,ENG-P02-002,Configuration Resolution Engine,,,
02,Core Platform,ENG-P02-003,Workflow Orchestration Engine,,,
02,Core Platform,ENG-P02-004,Rules Evaluation Engine,,,
02,Core Platform,ENG-P02-005,Job Dispatch Engine,,,
02,Core Platform,ENG-P02-006,Search Indexing Engine,,,
02,Core Platform,ENG-P02-007,Notification Routing Engine,,,
02,Core Platform,ENG-P02-008,Synchronization Engine,,,
02,Core Platform,ENG-P02-009,Unit Conversion Engine,,,
02,Core Platform,ENG-P02-010,Currency Conversion Engine,,,
02,Core Platform,ENG-P02-011,AI Policy Engine,,,
02,Core Platform,ENG-P02-012,AI Cost Metering Engine,,,
03,Enterprise Data Model,ENG-P03-001,Identifier Engine,,,
03,Enterprise Data Model,ENG-P03-002,Reference Resolution Engine,,,
03,Enterprise Data Model,ENG-P03-003,Master Data Matching Engine,,,
03,Enterprise Data Model,ENG-P03-004,Effective Dating Engine,,,
03,Enterprise Data Model,ENG-P03-005,Data Quality Engine,,,
03,Enterprise Data Model,ENG-P03-006,Lineage Engine,,,
03,Enterprise Data Model,ENG-P03-007,Schema Compatibility Engine,,,
03,Enterprise Data Model,ENG-P03-008,Retention Resolution Engine,,,
03,Enterprise Data Model,ENG-P03-009,Unit and Currency Context Engine,,,
03,Enterprise Data Model,ENG-P03-010,AI Writeback Guard Engine,,,
04,Master Library Registry,ENG-001,Library Registry Engine,,"Registers library definitions, ownership and lifecycle.",
04,Master Library Registry,ENG-002,Inheritance and Override Engine,,"Resolves global, reseller, tenant and project precedence.",
04,Master Library Registry,ENG-003,Version and Effective-Date Engine,,Selects valid immutable versions by context date.,
04,Master Library Registry,ENG-004,Validation Engine,,"Executes schema, business and relationship validations.",
04,Master Library Registry,ENG-005,Duplicate Detection Engine,,"Uses code, name, attributes and semantic similarity.",
04,Master Library Registry,ENG-006,Relationship Graph Engine,,Maintains typed dependencies and impact analysis.,
04,Master Library Registry,ENG-007,Approval and Publication Engine,,"Controls review, approval, publish and rollback.",
04,Master Library Registry,ENG-008,Search and Indexing Engine,,"Provides faceted, full-text and semantic retrieval.",
04,Master Library Registry,ENG-009,Import and Mapping Engine,,"Stages, maps and validates CSV/Excel/API imports.",
04,Master Library Registry,ENG-010,White Label Resolution Engine,,"Applies brand-specific visibility, terminology and templates.",
04,Master Library Registry,ENG-011,Confidence and Provenance Engine,,Scores reliability and enforces source evidence.,
04,Master Library Registry,ENG-012,Audit Integrity Engine,,Creates tamper-evident hashes and event history.,
05,Estimating Cost Intelligence,GES-P05-ENG-001,Quantity Engine,,Converts measured geometry and formulas into normalized quantities.,
05,Estimating Cost Intelligence,GES-P05-ENG-002,Takeoff Intelligence Engine,,Reads and compares plans/specifications with human review.,
05,Estimating Cost Intelligence,GES-P05-ENG-003,Production Engine,,"Calculates duration and hours using rates, crews and conditions.",
