phase,phase_title,entity_id,name,domain,definition,key,governance
01,Governance,ENT-P01-001,Tenant,,Top-level security and commercial boundary,,
01,Governance,ENT-P01-002,OrganizationUnit,,"Hierarchical company, office, department, or division",,
01,Governance,ENT-P01-003,UserIdentity,,Human or service identity,,
01,Governance,ENT-P01-004,Role,,Named collection of permission grants,,
01,Governance,ENT-P01-005,Permission,,Atomic allowed action,,
01,Governance,ENT-P01-006,RoleAssignment,,Assignment of role to identity and scope,,
01,Governance,ENT-P01-007,Policy,,Governed policy identity,,
01,Governance,ENT-P01-008,PolicyVersion,,Versioned policy content and applicability,,
01,Governance,ENT-P01-009,PolicyAcknowledgment,,User acknowledgment evidence,,
01,Governance,ENT-P01-010,ConfigurationDefinition,,Definition of a configurable key,,
01,Governance,ENT-P01-011,ConfigurationValue,,Value at a particular scope and time,,
01,Governance,ENT-P01-012,ApprovalPolicy,,Rules for approval routing,,
01,Governance,ENT-P01-013,ApprovalRequest,,Instance requiring governed decision,,
01,Governance,ENT-P01-014,ApprovalDecision,,Immutable approval action,,
01,Governance,ENT-P01-015,Delegation,,Temporary authority delegation,,
01,Governance,ENT-P01-016,AuditEvent,,Immutable governance event,,
01,Governance,ENT-P01-017,DataClassification,,Governed classification and handling rules,,
01,Governance,ENT-P01-018,RetentionSchedule,,Retention trigger and duration by record class,,
01,Governance,ENT-P01-019,LegalHold,,Matter-based preservation requirement,,
01,Governance,ENT-P01-020,ChangeRequest,,Controlled change to locked or governed artifacts,,
01,Governance,ENT-P01-021,EmergencyAccessGrant,,Time-limited elevated access,,
01,Governance,ENT-P01-022,Entitlement,,Tenant capability entitlement,,
01,Governance,ENT-P01-023,AdministrativeCase,,Governance exception or review case,,
02,Core Platform,ENT-P02-001,PlatformRequest,,Normalized inbound request context,,
02,Core Platform,ENT-P02-002,Session,,Authenticated interactive or service session,,
02,Core Platform,ENT-P02-003,Device,,Registered client device,,
02,Core Platform,ENT-P02-004,AuthorizationDecision,,Explainable access decision,,
02,Core Platform,ENT-P02-005,ServiceIdentity,,Non-human platform identity,,
02,Core Platform,ENT-P02-006,MetadataDefinition,,Governed extension field definition,,
02,Core Platform,ENT-P02-007,MetadataValue,,Value attached to governed object,,
02,Core Platform,ENT-P02-008,TagDefinition,,Governed tag definition,,
02,Core Platform,ENT-P02-009,TagAssignment,,Tag applied to an object,,
02,Core Platform,ENT-P02-010,FileObject,,Logical file identity,,
02,Core Platform,ENT-P02-011,FileVersion,,Immutable content version,,
02,Core Platform,ENT-P02-012,SearchDocument,,Permission-aware indexed representation,,
02,Core Platform,ENT-P02-013,Notification,,Outbound communication instance,,
02,Core Platform,ENT-P02-014,NotificationTemplate,,Versioned message template,,
02,Core Platform,ENT-P02-015,Schedule,,One-time or recurring execution plan,,
02,Core Platform,ENT-P02-016,BackgroundJob,,Durable asynchronous work item,,
02,Core Platform,ENT-P02-017,WorkflowInstance,,Durable workflow execution,,
02,Core Platform,ENT-P02-018,WorkflowDefinition,,Versioned workflow graph,,
02,Core Platform,ENT-P02-019,RuleDefinition,,Versioned deterministic rule,,
02,Core Platform,ENT-P02-020,RuleExecution,,Recorded rule evaluation,,
02,Core Platform,ENT-P02-021,DomainEvent,,Versioned event envelope,,
02,Core Platform,ENT-P02-022,EventDelivery,,Consumer delivery state,,
02,Core Platform,ENT-P02-023,WebhookSubscription,,Tenant outbound webhook configuration,,
02,Core Platform,ENT-P02-024,WebhookDelivery,,Signed delivery attempt,,
02,Core Platform,ENT-P02-025,ConnectorInstance,,Configured external system connector,,
02,Core Platform,ENT-P02-026,ImportBatch,,Governed import execution,,
02,Core Platform,ENT-P02-027,ExportPackage,,Governed export artifact,,
02,Core Platform,ENT-P02-028,OfflinePack,,Encrypted field data package,,
02,Core Platform,ENT-P02-029,SyncTransaction,,Offline-originating change,,
02,Core Platform,ENT-P02-030,ConflictCase,,Manual or governed sync conflict,,
02,Core Platform,ENT-P02-031,FeatureFlag,,Versioned rollout control,,
02,Core Platform,ENT-P02-032,SecretReference,,Reference to protected secret,,
02,Core Platform,ENT-P02-033,BackupSet,,Encrypted recovery point,,
02,Core Platform,ENT-P02-034,AIAgentDefinition,,Registered AI agent version,,
02,Core Platform,ENT-P02-035,AIExecution,,Governed AI request execution,,
02,Core Platform,ENT-P02-036,AIToolInvocation,,Permissioned AI tool call,,
03,Enterprise Data Model,ENT-P03-001,Tenant,Foundation,Top-level data isolation and subscription boundary,,
03,Enterprise Data Model,ENT-P03-002,Organization,Foundation,Operating organization within a tenant,,
03,Enterprise Data Model,ENT-P03-003,LegalEntity,Foundation,Registered company or legal business entity,,
03,Enterprise Data Model,ENT-P03-004,BusinessUnit,Foundation,"Operational division, branch, or department",,
03,Enterprise Data Model,ENT-P03-005,Location,Foundation,Reusable physical or virtual location,,
03,Enterprise Data Model,ENT-P03-006,Project,Work & Delivery,Primary unit of planned and executed work,,
03,Enterprise Data Model,ENT-P03-007,UserAccount,Foundation,Interactive platform identity,,
03,Enterprise Data Model,ENT-P03-008,Person,Party & Relationship,Natural person record,,
03,Enterprise Data Model,ENT-P03-009,Team,Foundation,Named working group,,
03,Enterprise Data Model,ENT-P03-010,RoleDefinition,Foundation,Governed responsibility and permission role,,
03,Enterprise Data Model,ENT-P03-011,Party,Party & Relationship,"Common customer, vendor, employee, or organization identity",,
03,Enterprise Data Model,ENT-P03-012,OrganizationParty,Party & Relationship,Organization represented as a party,,
