workflow_id,name,domain,states,control
P17-WF-001,Phase 16 Handoff Intake,Machine Control Core,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-002,Machine-Control Project Setup,GPS/GNSS Positioning,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-003,Localization Import & Review,Localization & Calibration,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-004,Localization Field Verification,3D Models & Surfaces,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-005,Design Model Import,2D Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-006,Surface Validation,3D Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-007,Alignment/Corridor Validation,Automatic Grade Control,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-008,Utility Model Validation,Excavator Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-009,Job Package Creation,Dozer Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-010,Job Package Approval,Grader Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-011,Machine Assignment,Compactor Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-012,Operator Authorization,Loader & Material Handling,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-013,Device Compatibility Check,Paver/Milling Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-014,Machine Job Load,Trenching & Utilities,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-015,Operator Revision Acknowledgement,Road & Highway Machine Control,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-016,2D Guidance Session,Site Models & Job Files,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-017,3D Guidance Session,Field Data Sync,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-018,Automatic Grade Enablement,Machine Telemetry Integration,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-019,Manual Override,Operator Interface,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-020,Excavator Guidance,Safety & Exclusion Controls,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-021,Dozer Guidance,Design Change Management,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-022,Grader Guidance,As-Built & Production Capture,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
