requirement_id,test_id,control_id,ui_id,status
P21-REQ-001,P21-TST-001,P21-CTRL-001,P21-UI-001,Mapped
P21-REQ-002,P21-TST-002,P21-CTRL-002,P21-UI-002,Mapped
P21-REQ-003,P21-TST-003,P21-CTRL-003,P21-UI-003,Mapped
P21-REQ-004,P21-TST-004,P21-CTRL-004,P21-UI-004,Mapped
P21-REQ-005,P21-TST-005,P21-CTRL-005,P21-UI-005,Mapped
P21-REQ-006,P21-TST-006,P21-CTRL-006,P21-UI-006,Mapped
P21-REQ-007,P21-TST-007,P21-CTRL-007,P21-UI-007,Mapped
P21-REQ-008,P21-TST-008,P21-CTRL-008,P21-UI-008,Mapped
P21-REQ-009,P21-TST-009,P21-CTRL-009,P21-UI-009,Mapped
P21-REQ-010,P21-TST-010,P21-CTRL-010,P21-UI-010,Mapped
P21-REQ-011,P21-TST-011,P21-CTRL-011,P21-UI-011,Mapped
P21-REQ-012,P21-TST-012,P21-CTRL-012,P21-UI-012,Mapped
P21-REQ-013,P21-TST-013,P21-CTRL-013,P21-UI-013,Mapped
P21-REQ-014,P21-TST-014,P21-CTRL-014,P21-UI-014,Mapped
P21-REQ-015,P21-TST-015,P21-CTRL-015,P21-UI-015,Mapped
P21-REQ-016,P21-TST-016,P21-CTRL-016,P21-UI-016,Mapped
P21-REQ-017,P21-TST-017,P21-CTRL-017,P21-UI-017,Mapped
P21-REQ-018,P21-TST-018,P21-CTRL-018,P21-UI-018,Mapped
P21-REQ-019,P21-TST-019,P21-CTRL-019,P21-UI-001,Mapped
P21-REQ-020,P21-TST-020,P21-CTRL-020,P21-UI-002,Mapped
P21-REQ-021,P21-TST-021,P21-CTRL-021,P21-UI-003,Mapped
P21-REQ-022,P21-TST-022,P21-CTRL-022,P21-UI-004,Mapped
P21-REQ-023,P21-TST-023,P21-CTRL-023,P21-UI-005,Mapped
P21-REQ-024,P21-TST-024,P21-CTRL-024,P21-UI-006,Mapped
P21-REQ-025,P21-TST-025,P21-CTRL-001,P21-UI-007,Mapped
P21-REQ-026,P21-TST-026,P21-CTRL-002,P21-UI-008,Mapped
P21-REQ-027,P21-TST-027,P21-CTRL-003,P21-UI-009,Mapped
