requirement_id,domain,priority,requirement,acceptance_criteria,version,status
P99-REQ-001,Master Authority,Must,Phase 99 is the umbrella specification and incorporates the governed Phase 01-32 source packages by reference; it does not supersede their detailed requirements unless an explicitly versioned approved change says so.,"Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-002,Immutable Sources,Must,The Phase 01-32 governed ZIPs and the GES v1.0 Master Repository snapshot are immutable source artifacts for this Phase 99 version.,"Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-003,No Silent Reconciliation,Must,"When two governed sources appear inconsistent, implementation must stop on the affected path and open a controlled architecture/change decision; an AI or developer may not silently choose a preferred interpretation.","Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-004,Requirement Incorporation,Must,"All 8,600 unique governed requirement IDs in the verified master registry are incorporated by reference into Phase 99.","Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-005,Test Incorporation,Must,"All 8,858 unique governed test IDs in the verified master registry are incorporated by reference into Phase 99.","Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-006,Phase Identity,Must,Existing Phase 01-32 IDs retain their original identity and home phase; Phase 99 does not renumber them.,"Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-007,Traceability Minimum,Must,"Every implemented feature must trace governing requirement IDs to code/configuration, tests, migrations where applicable, security controls, observability and release evidence.","Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-008,Change Control,Must,A semantic change to a governed requirement requires explicit version/change evidence and impact analysis; editing a derived master summary is not sufficient.,"Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-009,Phase 22 Lock,Must,Phase 22 remains the final reconciliation/enterprise-lock package for the governed specification baseline before software implementation foundations.,"Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
P99-REQ-010,Phase 24 Foundation,Must,"Phase 24 core identity, tenancy, data, API, audit and workflow contracts are the reusable implementation foundation for platform modules.","Pass when this rule is enforced in the master repository, implementation workflow, release evidence, and mapped acceptance test without silently weakening incorporated source controls.",v1.0.0,Implementation-ready
