Requirement_ID,Specification,Entity_or_Data,Rules,Workflow,AI,Interfaces,Test_Cases,Release,Status
EDM-000001,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-001,Planned,Review
EDM-000002,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-002,Planned,Review
EDM-000003,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-003,Planned,Review
EDM-000004,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-004,Planned,Review
EDM-000005,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-005,Planned,Review
EDM-000006,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-006,Planned,Review
EDM-000007,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-007,Planned,Review
EDM-000008,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-008,Planned,Review
EDM-000009,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-009,Planned,Review
EDM-000010,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-010,Planned,Review
EDM-000011,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-011,Planned,Review
EDM-000012,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-012,Planned,Review
EDM-000013,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-013,Planned,Review
EDM-000014,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-014,Planned,Review
EDM-000015,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-015,Planned,Review
EDM-000016,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-016,Planned,Review
EDM-000017,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-017,Planned,Review
EDM-000018,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-018,Planned,Review
EDM-000019,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-019,Planned,Review
EDM-000020,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-020,Planned,Review
EDM-000021,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-021,Planned,Review
EDM-000022,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-022,Planned,Review
EDM-000023,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-023,Planned,Review
EDM-000024,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-024,Planned,Review
EDM-000025,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-025,Planned,Review
EDM-000026,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-026,Planned,Review
EDM-000027,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-027,Planned,Review
EDM-000028,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-028,Planned,Review
EDM-000029,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-029,Planned,Review
EDM-000030,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-030,Planned,Review
EDM-000031,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-031,Planned,Review
EDM-000032,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-032,Planned,Review
EDM-000033,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-033,Planned,Review
EDM-000034,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-034,Planned,Review
EDM-000035,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-035,Planned,Review
EDM-000036,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-036,Planned,Review
EDM-000037,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-037,Planned,Review
EDM-000038,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-038,Planned,Review
EDM-000039,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-039,Planned,Review
EDM-000040,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-040,Planned,Review
EDM-000041,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-041,Planned,Review
