field_id,field_name,domain,type,required,definition,validation
P17-FLD-001,tenant_id,Machine Control Core,string/number/date/boolean,Conditional,Governed machine-control field tenant_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-002,organization_id,GPS/GNSS Positioning,string/number/date/boolean,Conditional,Governed machine-control field organization_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-003,project_id,Localization & Calibration,string/number/date/boolean,Conditional,Governed machine-control field project_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-004,record_id,3D Models & Surfaces,string/number/date/boolean,Conditional,Governed machine-control field record_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-005,machine_id,2D Guidance,string/number/date/boolean,Conditional,Governed machine-control field machine_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-006,operator_id,3D Guidance,string/number/date/boolean,Conditional,Governed machine-control field operator_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-007,job_id,Automatic Grade Control,string/number/date/boolean,Conditional,Governed machine-control field job_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-008,model_id,Excavator Guidance,string/number/date/boolean,Conditional,Governed machine-control field model_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-009,model_version,Dozer Guidance,string/number/date/boolean,Conditional,Governed machine-control field model_version.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-010,localization_id,Grader Guidance,string/number/date/boolean,Conditional,Governed machine-control field localization_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-011,localization_version,Compactor Guidance,string/number/date/boolean,Conditional,Governed machine-control field localization_version.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-012,crs_code,Loader & Material Handling,string/number/date/boolean,Conditional,Governed machine-control field crs_code.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-013,horizontal_datum,Paver/Milling Guidance,string/number/date/boolean,Conditional,Governed machine-control field horizontal_datum.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-014,vertical_datum,Trenching & Utilities,string/number/date/boolean,Conditional,Governed machine-control field vertical_datum.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-015,geoid_model,Road & Highway Machine Control,string/number/date/boolean,Conditional,Governed machine-control field geoid_model.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-016,unit_code,Site Models & Job Files,string/number/date/boolean,Conditional,Governed machine-control field unit_code.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-017,device_id,Field Data Sync,string/number/date/boolean,Conditional,Governed machine-control field device_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-018,device_serial,Machine Telemetry Integration,string/number/date/boolean,Conditional,Governed machine-control field device_serial.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-019,firmware_version,Operator Interface,string/number/date/boolean,Conditional,Governed machine-control field firmware_version.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-020,software_version,Safety & Exclusion Controls,string/number/date/boolean,Conditional,Governed machine-control field software_version.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-021,attachment_id,Design Change Management,string/number/date/boolean,Conditional,Governed machine-control field attachment_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-022,guidance_mode,As-Built & Production Capture,string/number/date/boolean,Conditional,Governed machine-control field guidance_mode.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-023,auto_control_enabled,Quality Assurance,string/number/date/boolean,Conditional,Governed machine-control field auto_control_enabled.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-024,position_quality,Field Automation,string/number/date/boolean,Conditional,Governed machine-control field position_quality.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-025,horizontal_accuracy,Remote Support & Diagnostics,string/number/date/boolean,Conditional,Governed machine-control field horizontal_accuracy.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-026,vertical_accuracy,Device & Firmware Management,string/number/date/boolean,Conditional,Governed machine-control field vertical_accuracy.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-027,cut_fill,Vendor/Platform Interoperability,string/number/date/boolean,Conditional,Governed machine-control field cut_fill.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-028,design_elevation,AI Machine Intelligence,string/number/date/boolean,Conditional,Governed machine-control field design_elevation.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-029,measured_elevation,Machine Control Digital Twin,string/number/date/boolean,Conditional,Governed machine-control field measured_elevation.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-030,slope,Machine Control Core,string/number/date/boolean,Conditional,Governed machine-control field slope.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-031,cross_slope,GPS/GNSS Positioning,string/number/date/boolean,Conditional,Governed machine-control field cross_slope.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-032,station,Localization & Calibration,string/number/date/boolean,Conditional,Governed machine-control field station.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-033,offset,3D Models & Surfaces,string/number/date/boolean,Conditional,Governed machine-control field offset.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-034,chainage,2D Guidance,string/number/date/boolean,Conditional,Governed machine-control field chainage.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-035,pass_count,3D Guidance,string/number/date/boolean,Conditional,Governed machine-control field pass_count.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-036,coverage_percent,Automatic Grade Control,string/number/date/boolean,Conditional,Governed machine-control field coverage_percent.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-037,compaction_target,Excavator Guidance,string/number/date/boolean,Conditional,Governed machine-control field compaction_target.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-038,tolerance_value,Dozer Guidance,string/number/date/boolean,Conditional,Governed machine-control field tolerance_value.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-039,tolerance_status,Grader Guidance,string/number/date/boolean,Conditional,Governed machine-control field tolerance_status.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-040,safety_status,Compactor Guidance,string/number/date/boolean,Conditional,Governed machine-control field safety_status.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-041,geofence_status,Loader & Material Handling,string/number/date/boolean,Conditional,Governed machine-control field geofence_status.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-042,revision_status,Paver/Milling Guidance,string/number/date/boolean,Conditional,Governed machine-control field revision_status.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-043,sync_status,Trenching & Utilities,string/number/date/boolean,Conditional,Governed machine-control field sync_status.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-044,transfer_status,Road & Highway Machine Control,string/number/date/boolean,Conditional,Governed machine-control field transfer_status.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-045,device_health,Site Models & Job Files,string/number/date/boolean,Conditional,Governed machine-control field device_health.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-046,telemetry_at,Field Data Sync,string/number/date/boolean,Conditional,Governed machine-control field telemetry_at.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-047,position_at,Machine Telemetry Integration,string/number/date/boolean,Conditional,Governed machine-control field position_at.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-048,started_at,Operator Interface,string/number/date/boolean,Conditional,Governed machine-control field started_at.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-049,ended_at,Safety & Exclusion Controls,string/number/date/boolean,Conditional,Governed machine-control field ended_at.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-050,approved_at,Design Change Management,string/number/date/boolean,Conditional,Governed machine-control field approved_at.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-051,acknowledged_at,As-Built & Production Capture,string/number/date/boolean,Conditional,Governed machine-control field acknowledged_at.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-052,created_at,Quality Assurance,string/number/date/boolean,Conditional,Governed machine-control field created_at.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-053,created_by,Field Automation,string/number/date/boolean,Conditional,Governed machine-control field created_by.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-054,updated_at,Remote Support & Diagnostics,string/number/date/boolean,Conditional,Governed machine-control field updated_at.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-055,updated_by,Device & Firmware Management,string/number/date/boolean,Conditional,Governed machine-control field updated_by.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-056,source_system,Vendor/Platform Interoperability,string/number/date/boolean,Conditional,Governed machine-control field source_system.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-057,source_record_id,AI Machine Intelligence,string/number/date/boolean,Conditional,Governed machine-control field source_record_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-058,lineage_id,Machine Control Digital Twin,string/number/date/boolean,Conditional,Governed machine-control field lineage_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-059,evidence_uri,Machine Control Core,string/number/date/boolean,Conditional,Governed machine-control field evidence_uri.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-060,checksum,GPS/GNSS Positioning,string/number/date/boolean,Conditional,Governed machine-control field checksum.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-061,confidence_score,Localization & Calibration,string/number/date/boolean,Conditional,Governed machine-control field confidence_score.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-062,human_review_status,3D Models & Surfaces,string/number/date/boolean,Conditional,Governed machine-control field human_review_status.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-063,manual_override_reason,2D Guidance,string/number/date/boolean,Conditional,Governed machine-control field manual_override_reason.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-064,design_change_id,3D Guidance,string/number/date/boolean,Conditional,Governed machine-control field design_change_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-065,field_issue_id,Automatic Grade Control,string/number/date/boolean,Conditional,Governed machine-control field field_issue_id.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-066,production_quantity,Excavator Guidance,string/number/date/boolean,Conditional,Governed machine-control field production_quantity.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-067,production_unit,Dozer Guidance,string/number/date/boolean,Conditional,Governed machine-control field production_unit.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-068,material_code,Grader Guidance,string/number/date/boolean,Conditional,Governed machine-control field material_code.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-069,tenant_id_2,Compactor Guidance,string/number/date/boolean,Conditional,Governed machine-control field tenant_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-070,organization_id_2,Loader & Material Handling,string/number/date/boolean,Conditional,Governed machine-control field organization_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-071,project_id_2,Paver/Milling Guidance,string/number/date/boolean,Conditional,Governed machine-control field project_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
