phase,phase_code,title,source_zip,source_zip_sha256,source_zip_bytes,source_file_count,zip_integrity,readme_present,internal_manifest_status,requirements_rows,requirements_source,tests_rows,tests_source,traceability_rows,traceability_source,modules_rows,modules_source,entities_rows,entities_source,apis_rows,apis_source,events_rows,events_source,rules_rows,rules_source,security_rows,security_source,quality_rows,quality_source
1,P01,Governance,GES_Phase_01_Governance_v1.0.zip,53d8e38a400b063a918581a9bca6ca28f817dca50447c542f6226b3d22dbb98f,130789,51,PASS,True,PASS,0,,15,GES_Phase_01_Governance_v1.0/GES_Phase_01_Governance_v1.0/05_CSV/test_cases.csv,0,,0,,0,,0,,0,,15,GES_Phase_01_Governance_v1.0/GES_Phase_01_Governance_v1.0/05_CSV/business_rules.csv,0,,0,
2,P02,Core Platform,GES_Phase_02_Core_Platform_v1.0.zip,841d6ab239687263baed90fdb7f8f7b264c249c144b9f75c6c00d9ff373217a6,171341,55,PASS,True,PASS,0,,60,GES_Phase_02_Core_Platform_v1.0/GES_Phase_02_Core_Platform_v1.0/05_CSV/test_cases.csv,0,,0,,0,,0,,0,,20,GES_Phase_02_Core_Platform_v1.0/GES_Phase_02_Core_Platform_v1.0/05_CSV/business_rules.csv,0,,0,
3,P03,Enterprise Data Model,GES_Phase_03_Enterprise_Data_Model_v1.0.zip,51322f3c4ce5689a3d254fda3c9cabd616d7d852536841c98e4c893e9daa4ca7,153575,53,PASS,True,PASS,0,,75,GES_Phase_03_Enterprise_Data_Model_v1.0/GES_Phase_03_Enterprise_Data_Model_v1.0/05_CSV/test_cases.csv,0,,0,,0,,0,,0,,15,GES_Phase_03_Enterprise_Data_Model_v1.0/GES_Phase_03_Enterprise_Data_Model_v1.0/05_CSV/business_rules.csv,0,,0,
4,P04,Master Library Registry,GES_Phase_04_Master_Library_Registry_v1.0.zip,d5fdf9a4dc065b49e2305378f482fbb5482efc55d88421d3d1b527a413f96923,108729,39,PASS,True,PASS,97,GES_Phase_04_Master_Library_Registry_v1.0/GES_Phase_04_Master_Library_Registry_v1.0/05_CSV/P04_Requirements.csv,97,GES_Phase_04_Master_Library_Registry_v1.0/GES_Phase_04_Master_Library_Registry_v1.0/05_CSV/P04_Test_Cases.csv,97,GES_Phase_04_Master_Library_Registry_v1.0/GES_Phase_04_Master_Library_Registry_v1.0/05_CSV/P04_Traceability.csv,0,,0,,0,,0,,20,GES_Phase_04_Master_Library_Registry_v1.0/GES_Phase_04_Master_Library_Registry_v1.0/05_CSV/P04_Business_Rules.csv,0,,0,
5,P05,Estimating Cost Intelligence,GES_Phase_05_Estimating_Cost_Intelligence_v1.0.zip,d10fec43e5280deee5160567687b6da1b71dad606a7b5f28fdca77044cd22690,328618,55,PASS,True,PASS,0,,108,GES_Phase_05_Estimating_Cost_Intelligence_v1.0/GES_Phase_05_Estimating_Cost_Intelligence_v1.0/05_CSV/test_cases.csv,0,,0,,0,,0,,0,,30,GES_Phase_05_Estimating_Cost_Intelligence_v1.0/GES_Phase_05_Estimating_Cost_Intelligence_v1.0/05_CSV/business_rules.csv,0,,0,
6,P06,AI Construction Intelligence,GES_Phase_06_AI_Construction_Intelligence_v1.0.zip,f23540f4f5600b4f08e58419d779c469e44a03529d4b641f08cf9b86d165762c,108396,40,PASS,True,PASS,120,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Requirements.csv,120,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Test_Cases.csv,120,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Traceability.csv,0,,40,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Entities.csv,0,,0,,20,GES_Phase_06_AI_Construction_Intelligence_v1.0/GES_Phase_06_AI_Construction_Intelligence_v1.0/05_CSV/AI_Business_Rules.csv,0,,0,
7,P07,Enterprise Project Management,GES_Phase_07_Enterprise_Project_Management_v1.0.zip,0944e24c674477ddfa2813a6c67ca1b6264d25e3b3560d7e9d455f435370bc90,152701,44,PASS,True,PASS,160,GES_Phase_07_Enterprise_Project_Management_v1.0/GES_Phase_07_Enterprise_Project_Management_v1.0/05_CSV/P07_Requirements.csv,160,GES_Phase_07_Enterprise_Project_Management_v1.0/GES_Phase_07_Enterprise_Project_Management_v1.0/05_CSV/P07_Test_Cases.csv,160,GES_Phase_07_Enterprise_Project_Management_v1.0/GES_Phase_07_Enterprise_Project_Management_v1.0/05_CSV/P07_Traceability.csv,0,,60,GES_Phase_07_Enterprise_Project_Management_v1.0/GES_Phase_07_Enterprise_Project_Management_v1.0/05_CSV/P07_Entities.csv,0,,0,,20,GES_Phase_07_Enterprise_Project_Management_v1.0/GES_Phase_07_Enterprise_Project_Management_v1.0/05_CSV/P07_Business_Rules.csv,0,,0,
8,P08,Enterprise CRM Sales Customer Experience,GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0.zip,4700cd89442a5bdb72620e137969c9bdeb664d9191758473460960a26d4f24de,156235,44,PASS,True,PASS,180,GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/05_CSV/P08_Requirements.csv,180,GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/05_CSV/P08_Test_Cases.csv,180,GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/05_CSV/P08_Traceability.csv,0,,72,GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/05_CSV/P08_Entities.csv,0,,0,,24,GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/GES_Phase_08_Enterprise_CRM_Sales_Customer_Experience_v1.0/05_CSV/P08_Business_Rules.csv,0,,0,
9,P09,HR Workforce Talent Management,GES_Phase_09_HR_Workforce_Talent_Management_v1.0.zip,58fb17b7e85c8510daa7859a19157fc8f5f5449d792334ccbfc5aeba19801a16,146828,46,PASS,True,not_structured_or_not_checked,210,GES_Phase_09_HR_Workforce_Talent_Management_v1.0/GES_Phase_09_HR_Workforce_Talent_Management_v1.0/05_CSV/P09_Requirements.csv,210,GES_Phase_09_HR_Workforce_Talent_Management_v1.0/GES_Phase_09_HR_Workforce_Talent_Management_v1.0/05_CSV/P09_Test_Cases.csv,210,GES_Phase_09_HR_Workforce_Talent_Management_v1.0/GES_Phase_09_HR_Workforce_Talent_Management_v1.0/05_CSV/P09_Traceability.csv,0,,94,GES_Phase_09_HR_Workforce_Talent_Management_v1.0/GES_Phase_09_HR_Workforce_Talent_Management_v1.0/05_CSV/P09_Entities.csv,0,,0,,20,GES_Phase_09_HR_Workforce_Talent_Management_v1.0/GES_Phase_09_HR_Workforce_Talent_Management_v1.0/05_CSV/P09_Business_Rules.csv,0,,0,
10,P10,Enterprise Financial Management Accounting,GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0.zip,b51687508b97b3c6669e94909b976a626e9cddc7d25e902f2faaa871f466ba3d,173795,47,PASS,True,not_structured_or_not_checked,240,GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/05_CSV/P10_Requirements.csv,240,GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/05_CSV/P10_Test_Cases.csv,240,GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/05_CSV/P10_Traceability.csv,0,,110,GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/05_CSV/P10_Entities.csv,0,,0,,40,GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/GES_Phase_10_Enterprise_Financial_Management_Accounting_v1.0/05_CSV/P10_Business_Rules.csv,0,,0,
