field_id,field_name,domain,type,required,definition,validation
P16-FLD-001,tenant_id,GIS Core,string/number/date/boolean/geometry,Conditional,Governed spatial field tenant_id.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-002,organization_id,Coordinate Reference Systems,string/number/date/boolean/geometry,Conditional,Governed spatial field organization_id.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-003,project_id,Survey Control,string/number/date/boolean/geometry,Conditional,Governed spatial field project_id.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-004,record_id,GNSS Survey,string/number/date/boolean/geometry,Conditional,Governed spatial field record_id.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-005,source_system,Total Station Survey,string/number/date/boolean/geometry,Conditional,Governed spatial field source_system.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-006,source_record_id,Digital Levels,string/number/date/boolean/geometry,Conditional,Governed spatial field source_record_id.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-007,geometry_type,Construction Layout,string/number/date/boolean/geometry,Conditional,Governed spatial field geometry_type.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-008,geometry_uri,Topographic Survey,string/number/date/boolean/geometry,Conditional,Governed spatial field geometry_uri.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-009,crs_code,Existing Conditions,string/number/date/boolean/geometry,Conditional,Governed spatial field crs_code.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-010,horizontal_datum,Drone Operations,string/number/date/boolean/geometry,Conditional,Governed spatial field horizontal_datum.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-011,vertical_datum,Photogrammetry,string/number/date/boolean/geometry,Conditional,Governed spatial field vertical_datum.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-012,geoid_model,LiDAR Reality Capture,string/number/date/boolean/geometry,Conditional,Governed spatial field geoid_model.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-013,unit_code,Point Cloud Management,string/number/date/boolean/geometry,Conditional,Governed spatial field unit_code.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-014,easting,Orthomosaic Management,string/number/date/boolean/geometry,Conditional,Governed spatial field easting.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
P16-FLD-015,northing,Surface & Terrain Models,string/number/date/boolean/geometry,Conditional,Governed spatial field northing.,"Validate type, tenant/project scope, CRS/datum/unit compatibility, lineage, accuracy and permissions"
