field_id,field_name,domain,type,required,definition,validation
P13-FLD-001,tenant_id,Executive Command Center,string/decimal/timestamp,Conditional,Governed field tenant_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-002,organization_id,Semantic Metrics Layer,string/decimal/timestamp,Conditional,Governed field organization_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-003,record_id,Operational Intelligence,string/decimal/timestamp,Conditional,Governed field record_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-004,record_version,Financial Intelligence,string/decimal/timestamp,Conditional,Governed field record_version; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-005,status,Project Intelligence,string/decimal/timestamp,Conditional,Governed field status; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-006,effective_at,Estimating Intelligence,string/decimal/timestamp,Conditional,Governed field effective_at; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-007,expires_at,CRM & Market Intelligence,string/decimal/timestamp,Conditional,Governed field expires_at; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-008,created_at,Workforce Intelligence,string/decimal/timestamp,Conditional,Governed field created_at; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-009,created_by,Procurement Intelligence,string/decimal/timestamp,Conditional,Governed field created_by; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-010,updated_at,Fleet Intelligence,string/decimal/timestamp,Conditional,Governed field updated_at; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-011,updated_by,"Safety, Quality & Compliance Analytics",string/decimal/timestamp,Conditional,Governed field updated_by; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-012,source_system,Portfolio & Program Intelligence,string/decimal/timestamp,Conditional,Governed field source_system; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-013,source_record_id,Forecasting & Scenario Planning,string/decimal/timestamp,Conditional,Governed field source_record_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-014,lineage_id,AI Decision Intelligence,string/decimal/timestamp,Conditional,Governed field lineage_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-015,freshness_at,Data Platform & Lineage,string/decimal/timestamp,Conditional,Governed field freshness_at; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-016,quality_status,Reporting & Distribution,string/decimal/timestamp,Conditional,Governed field quality_status; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-017,currency_code,Self-Service Analytics,string/decimal/timestamp,Conditional,Governed field currency_code; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-018,unit_code,Enterprise Digital Twin,string/decimal/timestamp,Conditional,Governed field unit_code; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-019,calendar_id,Executive Command Center,string/decimal/timestamp,Conditional,Governed field calendar_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-020,fiscal_period_id,Semantic Metrics Layer,string/decimal/timestamp,Conditional,Governed field fiscal_period_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-021,project_id,Operational Intelligence,string/decimal/timestamp,Conditional,Governed field project_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-022,portfolio_id,Financial Intelligence,string/decimal/timestamp,Conditional,Governed field portfolio_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-023,customer_id,Project Intelligence,string/decimal/timestamp,Conditional,Governed field customer_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-024,vendor_id,Estimating Intelligence,string/decimal/timestamp,Conditional,Governed field vendor_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-025,employee_id,CRM & Market Intelligence,string/decimal/timestamp,Conditional,Governed field employee_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-026,asset_id,Workforce Intelligence,string/decimal/timestamp,Conditional,Governed field asset_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-027,metric_id,Procurement Intelligence,string/decimal/timestamp,Conditional,Governed field metric_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-028,metric_version,Fleet Intelligence,string/decimal/timestamp,Conditional,Governed field metric_version; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-029,dimension_id,"Safety, Quality & Compliance Analytics",string/decimal/timestamp,Conditional,Governed field dimension_id; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-030,measure_value,Portfolio & Program Intelligence,string/decimal/timestamp,Conditional,Governed field measure_value; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
P13-FLD-031,target_value,Forecasting & Scenario Planning,string/decimal/timestamp,Conditional,Governed field target_value; tenant-scoped and lineage-aware.,"Validate type, ownership and applicable reference"
