engine_id,name,type,purpose,governance
P15-ENG-001,Document Numbering Engine,Deterministic,"Provides document numbering engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-002,Naming Convention Engine,Deterministic,"Provides naming convention engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-003,Revision Control Engine,Deterministic,"Provides revision control engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-004,Supersession Engine,Deterministic,"Provides supersession engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-005,File Integrity Engine,Deterministic,"Provides file integrity engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-006,Metadata Validation Engine,Deterministic,"Provides metadata validation engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-007,Document Classification Engine,Deterministic,"Provides document classification engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-008,OCR Engine,Deterministic,"Provides ocr engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-009,Search Index Engine,Deterministic,"Provides search index engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-010,Semantic Search Engine,Deterministic,"Provides semantic search engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-011,Permission Evaluation Engine,Deterministic,"Provides permission evaluation engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-012,Distribution Engine,Deterministic,"Provides distribution engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-013,Transmittal Engine,Deterministic,"Provides transmittal engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-014,Submittal Routing Engine,Deterministic,"Provides submittal routing engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-015,RFI Routing Engine,Deterministic,"Provides rfi routing engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-016,Review/Approval Engine,Deterministic,"Provides review/approval engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-017,Markup Coordination Engine,Deterministic,"Provides markup coordination engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-018,Drawing Compare Engine,Deterministic,"Provides drawing compare engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-019,Specification Compare Engine,Deterministic,"Provides specification compare engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-020,Cross-Reference Engine,Deterministic,"Provides cross-reference engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-021,Conflict Detection Engine,Deterministic,"Provides conflict detection engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-022,Requirement Extraction Engine,Deterministic,"Provides requirement extraction engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-023,Scope Extraction Engine,Deterministic,"Provides scope extraction engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-024,Table Extraction Engine,Deterministic,"Provides table extraction engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-025,Metadata Proposal Engine,Deterministic,"Provides metadata proposal engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-026,Current-Set Engine,Deterministic,"Provides current-set engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-027,Offline Sync Engine,Deterministic,"Provides offline sync engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-028,Retention Engine,Deterministic,"Provides retention engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-029,Legal Hold Engine,Deterministic,"Provides legal hold engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-030,Disposition Engine,Deterministic,"Provides disposition engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-031,External Sharing Engine,Deterministic,"Provides external sharing engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-032,Watermark/Controlled Copy Engine,Deterministic,"Provides watermark/controlled copy engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-033,BIM/CDE Reference Engine,Deterministic,"Provides bim/cde reference engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-034,Closeout Completeness Engine,Deterministic,"Provides closeout completeness engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-035,Turnover Engine,Deterministic,"Provides turnover engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-036,Revision Impact Engine,Deterministic,"Provides revision impact engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-037,Downstream Dependency Engine,Deterministic,"Provides downstream dependency engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-038,Document KPI Engine,Deterministic,"Provides document kpi engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-039,Document Alert Engine,Deterministic,"Provides document alert engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-040,Evidence Retrieval Engine,Deterministic,"Provides evidence retrieval engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-041,Plan/Spec AI Assistant,AI-assisted,"Provides plan/spec ai assistant using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-042,Document Summary Engine,AI-assisted,"Provides document summary engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-043,Document Question Answering Engine,AI-assisted,"Provides document question answering engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-044,AI Confidence Engine,AI-assisted,"Provides ai confidence engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
P15-ENG-045,Document Digital Twin Engine,AI-assisted,"Provides document digital twin engine using governed information, permissions, revision lineage and audit evidence.","AI cannot silently publish authoritative revisions, approve contractual responses, or replace required human review"
