field_id,field_name,domain,type,required,definition,validation
P19-FLD-001,tenant_id,Commercial Management Core,string/number/date/boolean,Conditional,Governed commercial field tenant_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-002,organization_id,Prime Contract Management,string/number/date/boolean,Conditional,Governed commercial field organization_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-003,project_id,Subcontract Management,string/number/date/boolean,Conditional,Governed commercial field project_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-004,contract_id,Purchase Contract Commercials,string/number/date/boolean,Conditional,Governed commercial field contract_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-005,contract_version,Contract Clause Registry,string/number/date/boolean,Conditional,Governed commercial field contract_version.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-006,record_id,Obligation Management,string/number/date/boolean,Conditional,Governed commercial field record_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-007,party_id,Notice Management,string/number/date/boolean,Conditional,Governed commercial field party_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-008,clause_id,Potential Change Management,string/number/date/boolean,Conditional,Governed commercial field clause_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-009,obligation_id,Change Order Management,string/number/date/boolean,Conditional,Governed commercial field obligation_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-010,notice_id,Change Pricing,string/number/date/boolean,Conditional,Governed commercial field notice_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-011,notice_due_at,T&M / Force Account,string/number/date/boolean,Conditional,Governed commercial field notice_due_at.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-012,notice_sent_at,Change Authorization,string/number/date/boolean,Conditional,Governed commercial field notice_sent_at.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-013,change_event_id,Contract Value Control,string/number/date/boolean,Conditional,Governed commercial field change_event_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-014,change_order_id,Claims Management,string/number/date/boolean,Conditional,Governed commercial field change_order_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-015,change_version,Delay & Disruption Records,string/number/date/boolean,Conditional,Governed commercial field change_version.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-016,change_status,Differing Site Conditions,string/number/date/boolean,Conditional,Governed commercial field change_status.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-017,change_reason,Scope & Design Change,string/number/date/boolean,Conditional,Governed commercial field change_reason.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-018,authorization_id,Payment & Billing Commercials,string/number/date/boolean,Conditional,Governed commercial field authorization_id.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-019,approval_limit,Retainage & Holdbacks,string/number/date/boolean,Conditional,Governed commercial field approval_limit.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-020,nte_value,Backcharges & Deductions,string/number/date/boolean,Conditional,Governed commercial field nte_value.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-021,original_contract_value,Allowances & Contingencies,string/number/date/boolean,Conditional,Governed commercial field original_contract_value.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-022,approved_change_value,Escalation & Price Adjustment,string/number/date/boolean,Conditional,Governed commercial field approved_change_value.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-023,pending_change_value,"Insurance, Bonds & Commercial Compliance",string/number/date/boolean,Conditional,Governed commercial field pending_change_value.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-024,forecast_change_value,Lien & Waiver Administration,string/number/date/boolean,Conditional,Governed commercial field forecast_change_value.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-025,revised_contract_value,Dispute Management,string/number/date/boolean,Conditional,Governed commercial field revised_contract_value.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-026,labor_cost,Commercial Forecasting,string/number/date/boolean,Conditional,Governed commercial field labor_cost.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-027,equipment_cost,Contract Closeout,string/number/date/boolean,Conditional,Governed commercial field equipment_cost.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
P19-FLD-028,material_cost,AI Commercial Intelligence,string/number/date/boolean,Conditional,Governed commercial field material_cost.,"Validate contract/project scope, authority, deadlines, values, currency, version, evidence, permissions and lineage"
