Rule_ID,Module,Name,Rule,Effect,Configuration
P11-BR-001,Procurement Planning,Procurement Planning control 1,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-002,Supplier Management,Supplier Management control 2,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-003,Strategic Sourcing,Strategic Sourcing control 3,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-004,Purchase Requisitions,Purchase Requisitions control 4,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-005,Purchase Orders,Purchase Orders control 5,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-006,Subcontract Procurement,Subcontract Procurement control 6,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-007,Inventory Control,Inventory Control control 7,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-008,Warehouse Operations,Warehouse Operations control 8,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-009,Material Receiving,Material Receiving control 9,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-010,Construction Logistics,Construction Logistics control 10,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-011,Rental Management,Rental Management control 11,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-012,Catalog and Item Master,Catalog and Item Master control 12,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-013,Procure-to-Pay Integration,Procure-to-Pay Integration control 13,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-014,Supply Chain Analytics,Supply Chain Analytics control 14,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-015,AI Procurement Intelligence,AI Procurement Intelligence control 15,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-016,Supply Chain Digital Twin,Supply Chain Digital Twin control 16,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
