api_id,method,path,resource,security,control
P18-API-001,GET/POST,/api/v1/scheduling/schedules,schedules,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-002,GET/POST,/api/v1/scheduling/schedule-versions,schedule-versions,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-003,GET/POST,/api/v1/scheduling/baselines,baselines,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-004,GET/POST,/api/v1/scheduling/updates,updates,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-005,GET/POST,/api/v1/scheduling/wbs,wbs,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-006,GET/POST,/api/v1/scheduling/activities,activities,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-007,GET/POST,/api/v1/scheduling/relationships,relationships,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-008,GET/POST,/api/v1/scheduling/constraints,constraints,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-009,GET/POST,/api/v1/scheduling/milestones,milestones,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-010,GET/POST,/api/v1/scheduling/calendars,calendars,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-011,GET/POST,/api/v1/scheduling/shifts,shifts,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-012,GET/POST,/api/v1/scheduling/schedule-calculations,schedule-calculations,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-013,GET/POST,/api/v1/scheduling/critical-path,critical-path,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-014,GET/POST,/api/v1/scheduling/longest-path,longest-path,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-015,GET/POST,/api/v1/scheduling/progress,progress,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-016,GET/POST,/api/v1/scheduling/weighted-steps,weighted-steps,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-017,GET/POST,/api/v1/scheduling/earned-value,earned-value,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-018,GET/POST,/api/v1/scheduling/resources,resources,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-019,GET/POST,/api/v1/scheduling/resource-pools,resource-pools,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-020,GET/POST,/api/v1/scheduling/resource-availability,resource-availability,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-021,GET/POST,/api/v1/scheduling/resource-assignments,resource-assignments,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-022,GET/POST,/api/v1/scheduling/resource-demand,resource-demand,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-023,GET/POST,/api/v1/scheduling/resource-capacity,resource-capacity,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-024,GET/POST,/api/v1/scheduling/resource-leveling,resource-leveling,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-025,GET/POST,/api/v1/scheduling/crews,crews,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-026,GET/POST,/api/v1/scheduling/crew-plans,crew-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-027,GET/POST,/api/v1/scheduling/equipment-plans,equipment-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-028,GET/POST,/api/v1/scheduling/truck-plans,truck-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-029,GET/POST,/api/v1/scheduling/material-need-dates,material-need-dates,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-030,GET/POST,/api/v1/scheduling/subcontractor-plans,subcontractor-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-031,GET/POST,/api/v1/scheduling/look-aheads,look-aheads,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-032,GET/POST,/api/v1/scheduling/weekly-work-plans,weekly-work-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-033,GET/POST,/api/v1/scheduling/commitments,commitments,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-034,GET/POST,/api/v1/scheduling/ppc,ppc,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-035,GET/POST,/api/v1/scheduling/pull-plans,pull-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-036,GET/POST,/api/v1/scheduling/handoffs,handoffs,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-037,GET/POST,/api/v1/scheduling/buffers,buffers,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-038,GET/POST,/api/v1/scheduling/constraint-register,constraint-register,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
