Requirement ID,Module,Capability,Test ID,Execution Status,Approval Status
GES-P08-REQ-001,CRM Foundation,Core Records,GES-P08-TST-001,Not Executed,Approval Pending
GES-P08-REQ-002,CRM Foundation,Configuration,GES-P08-TST-002,Not Executed,Approval Pending
GES-P08-REQ-003,CRM Foundation,Audit,GES-P08-TST-003,Not Executed,Approval Pending
GES-P08-REQ-004,CRM Foundation,Integration,GES-P08-TST-004,Not Executed,Approval Pending
GES-P08-REQ-005,CRM Foundation,Automation,GES-P08-TST-005,Not Executed,Approval Pending
GES-P08-REQ-006,CRM Foundation,AI Assistance,GES-P08-TST-006,Not Executed,Approval Pending
GES-P08-REQ-007,CRM Foundation,Experience,GES-P08-TST-007,Not Executed,Approval Pending
GES-P08-REQ-008,CRM Foundation,Reporting,GES-P08-TST-008,Not Executed,Approval Pending
GES-P08-REQ-009,CRM Foundation,Security,GES-P08-TST-009,Not Executed,Approval Pending
GES-P08-REQ-010,Lead Capture & Attribution,Core Records,GES-P08-TST-010,Not Executed,Approval Pending
GES-P08-REQ-011,Lead Capture & Attribution,Configuration,GES-P08-TST-011,Not Executed,Approval Pending
GES-P08-REQ-012,Lead Capture & Attribution,Audit,GES-P08-TST-012,Not Executed,Approval Pending
GES-P08-REQ-013,Lead Capture & Attribution,Integration,GES-P08-TST-013,Not Executed,Approval Pending
GES-P08-REQ-014,Lead Capture & Attribution,Automation,GES-P08-TST-014,Not Executed,Approval Pending
GES-P08-REQ-015,Lead Capture & Attribution,AI Assistance,GES-P08-TST-015,Not Executed,Approval Pending
GES-P08-REQ-016,Lead Capture & Attribution,Experience,GES-P08-TST-016,Not Executed,Approval Pending
GES-P08-REQ-017,Lead Capture & Attribution,Reporting,GES-P08-TST-017,Not Executed,Approval Pending
GES-P08-REQ-018,Lead Capture & Attribution,Security,GES-P08-TST-018,Not Executed,Approval Pending
GES-P08-REQ-019,Qualification & Scoring,Core Records,GES-P08-TST-019,Not Executed,Approval Pending
GES-P08-REQ-020,Qualification & Scoring,Configuration,GES-P08-TST-020,Not Executed,Approval Pending
GES-P08-REQ-021,Qualification & Scoring,Audit,GES-P08-TST-021,Not Executed,Approval Pending
