engine_id,name,type,purpose,governance
P17-ENG-001,Phase 16 Handoff Validation Engine,Deterministic,"Provides phase 16 handoff validation engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-002,Model Package Engine,Deterministic,"Provides model package engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-003,Model Revision Engine,Deterministic,"Provides model revision engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-004,Localization Validation Engine,Deterministic,"Provides localization validation engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-005,Localization Residual Engine,Deterministic,"Provides localization residual engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-006,CRS/Datum Compatibility Engine,Deterministic,"Provides crs/datum compatibility engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-007,Device Compatibility Engine,Deterministic,"Provides device compatibility engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-008,Attachment Compatibility Engine,Deterministic,"Provides attachment compatibility engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-009,Firmware Compatibility Engine,Deterministic,"Provides firmware compatibility engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-010,Job File Conversion Engine,Deterministic,"Provides job file conversion engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-011,Job File Packaging Engine,Deterministic,"Provides job file packaging engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
P17-ENG-012,Checksum/Integrity Engine,Deterministic,"Provides checksum/integrity engine using approved models/localization, machine/device context, telemetry, safety controls and lineage.","AI cannot autonomously enable automatic control, certify localization/model accuracy, override exclusion zones, or release safety-critical job files"
