report_id,name,audience,purpose,formats
P17-RPT-001,Machine Control Project Status,Operations/Survey/Fleet/Project/Executive,"Governed machine control project status with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-002,Model/Revision Register,Operations/Survey/Fleet/Project/Executive,"Governed model/revision register with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-003,Localization Validation,Operations/Survey/Fleet/Project/Executive,"Governed localization validation with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-004,Calibration Residual Report,Operations/Survey/Fleet/Project/Executive,"Governed calibration residual report with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-005,Machine Compatibility Report,Operations/Survey/Fleet/Project/Executive,"Governed machine compatibility report with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-006,Device/Firmware Compliance,Operations/Survey/Fleet/Project/Executive,"Governed device/firmware compliance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-007,Job Package Distribution,Operations/Survey/Fleet/Project/Executive,"Governed job package distribution with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-008,Operator Acknowledgement,Operations/Survey/Fleet/Project/Executive,"Governed operator acknowledgement with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-009,Operator Authorization Compliance,Operations/Survey/Fleet/Project/Executive,"Governed operator authorization compliance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-010,Position Quality Report,Operations/Survey/Fleet/Project/Executive,"Governed position quality report with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-011,Correction Service Health,Operations/Survey/Fleet/Project/Executive,"Governed correction service health with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-012,Guidance Session Report,Operations/Survey/Fleet/Project/Executive,"Governed guidance session report with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-013,Automatic Control Usage,Operations/Survey/Fleet/Project/Executive,"Governed automatic control usage with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-014,Manual Override Report,Operations/Survey/Fleet/Project/Executive,"Governed manual override report with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-015,Excavator Production,Operations/Survey/Fleet/Project/Executive,"Governed excavator production with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-016,Dozer Production,Operations/Survey/Fleet/Project/Executive,"Governed dozer production with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-017,Grader Finish Conformance,Operations/Survey/Fleet/Project/Executive,"Governed grader finish conformance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-018,Compactor Coverage,Operations/Survey/Fleet/Project/Executive,"Governed compactor coverage with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-019,Compaction Pass Compliance,Operations/Survey/Fleet/Project/Executive,"Governed compaction pass compliance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-020,Paving Guidance,Operations/Survey/Fleet/Project/Executive,"Governed paving guidance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-021,Milling Depth Compliance,Operations/Survey/Fleet/Project/Executive,"Governed milling depth compliance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-022,Trench/Invert Compliance,Operations/Survey/Fleet/Project/Executive,"Governed trench/invert compliance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-023,Geofence/No-Go Alerts,Operations/Survey/Fleet/Project/Executive,"Governed geofence/no-go alerts with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-024,Safety Alert Report,Operations/Survey/Fleet/Project/Executive,"Governed safety alert report with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-025,Design Change Impact,Operations/Survey/Fleet/Project/Executive,"Governed design change impact with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-026,Withdrawal/Reissue Audit,Operations/Survey/Fleet/Project/Executive,"Governed withdrawal/reissue audit with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
