requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
GES-P09-REQ-001,Workforce Planning,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Assignments and the schedule together show who is committed where, and the estimating engine produces the labor a job will need by classification. Nothing joins the two into demand against supply: no forecast, no capacity view, no hiring plan. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-002,Recruiting and ATS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No requisition, no candidate, no pipeline, no offer. `employees.status` can say 'applicant' and nothing produces one. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-003,Onboarding,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'onboarding' and nothing drives it: no checklist, no task, no document packet, no completion gate before somebody is assigned to work. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-004,Employee Master,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-005,Skills and Competencies,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Credentials carry the work each one is a prerequisite for, and `work_credential_requirements` turns that into an enforceable rule per kind of work. There is no skills taxonomy, no proficiency level, no assessment and no gap analysis against a project's needs. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-006,Crew Management,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Crews and crew members exist as governed rows, and the estimating engine prices a crew as a composition of labor and equipment. Nothing in operations consumes them: no crew is assigned as a unit, no daily report labor line resolves to its crew's members, and no crew-level productivity is computed. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-007,Time and Attendance,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Time is captured per employee, project, task and cost code, with a source, an approval state that gates every downstream figure, a per diem, and a freeze once exported. Since 0044 approved time posts to the job at the governed rate and reconciles against the daily report. What is missing is the classification rule: nothing derives overtime from hours worked, so the split between straight, overtime and double time is whatever somebody typed — recorded as F4 with the reason it was not guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-008,Workforce Scheduling,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Resource assignments tie a person to a project over dates, cannot overlap for one resource, and are now refused where a mandatory credential is missing or lapsed. There is no schedule board, no availability calendar, no shift pattern and no dispatch. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-009,Compensation and Payroll Integration,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Compensation is held and permission-separated, the loaded rate resolves through one governed function so a screen and the job cost cannot price an hour differently, and an exported timecard is frozen against edits. There is no export, no provider, no pay run, no earnings code mapping and no general ledger posting — the gap that fails this phase's integration condition. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-010,Union and Labor Agreements,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"Employees carry `is_union` and a local, and labor rates carry a union flag. There is no agreement: no fringe schedule, no wage determination, no work rule, no dues or remittance — and its absence is why the overtime rule in F4 was left unbuilt rather than guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-011,Prevailing Wage and Certified Payroll,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No wage determination, no prevailing wage rate, no certified payroll report, no WH-347, no apprentice ratio. A domain with statutory weight on public work and no representation at all. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-012,Training and LMS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"A credential can be typed 'training' and that is the whole of it: no course, no curriculum, no enrollment, no completion record, no expiry driving a retraining requirement. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-013,Licenses and Certifications,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-014,Safety and Health Integration,not_verified,partial,integration outcomes,data; permissions; validation; audit,"The strongest link in the phase: an assignment is refused on a credential gap, incidents tie to employees, and TRIR and DART are computed from recordables against the same approved hours payroll would use. There is no medical surveillance, no return-to-work program and no fitness-for-duty record. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-015,Leave and Absence,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'on_leave' and there is no leave record anywhere — no request, no balance, no accrual, no calendar. Three status values the schema offers and no workflow behind any of them. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-016,Performance Management,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No review, no goal, no rating, no cycle. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-017,Career and Succession,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No career path, no succession plan, no readiness assessment, no bench. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-018,Employee and Manager Self-Service,not_verified,partial,integration outcomes,data; permissions; validation; audit,"An employee record can link to a login, and approval carries an approver. There is no self-service surface: no timesheet a worker submits for themselves, no request, no profile a manager maintains. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-019,Workforce Digital Twin,not_verified,not_built,integration outcomes,data; permissions; validation; audit,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally. Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-020,AI Workforce Intelligence,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No attrition model, no staffing recommendation, no skills inference. The one governed agent is capped at draft authority on documents and does not touch workforce data. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-021,Workforce Planning,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Assignments and the schedule together show who is committed where, and the estimating engine produces the labor a job will need by classification. Nothing joins the two into demand against supply: no forecast, no capacity view, no hiring plan. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-022,Recruiting and ATS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No requisition, no candidate, no pipeline, no offer. `employees.status` can say 'applicant' and nothing produces one. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-023,Onboarding,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'onboarding' and nothing drives it: no checklist, no task, no document packet, no completion gate before somebody is assigned to work. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-024,Employee Master,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-025,Skills and Competencies,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Credentials carry the work each one is a prerequisite for, and `work_credential_requirements` turns that into an enforceable rule per kind of work. There is no skills taxonomy, no proficiency level, no assessment and no gap analysis against a project's needs. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-026,Crew Management,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Crews and crew members exist as governed rows, and the estimating engine prices a crew as a composition of labor and equipment. Nothing in operations consumes them: no crew is assigned as a unit, no daily report labor line resolves to its crew's members, and no crew-level productivity is computed. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-027,Time and Attendance,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Time is captured per employee, project, task and cost code, with a source, an approval state that gates every downstream figure, a per diem, and a freeze once exported. Since 0044 approved time posts to the job at the governed rate and reconciles against the daily report. What is missing is the classification rule: nothing derives overtime from hours worked, so the split between straight, overtime and double time is whatever somebody typed — recorded as F4 with the reason it was not guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-028,Workforce Scheduling,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Resource assignments tie a person to a project over dates, cannot overlap for one resource, and are now refused where a mandatory credential is missing or lapsed. There is no schedule board, no availability calendar, no shift pattern and no dispatch. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-029,Compensation and Payroll Integration,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Compensation is held and permission-separated, the loaded rate resolves through one governed function so a screen and the job cost cannot price an hour differently, and an exported timecard is frozen against edits. There is no export, no provider, no pay run, no earnings code mapping and no general ledger posting — the gap that fails this phase's integration condition. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-030,Union and Labor Agreements,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"Employees carry `is_union` and a local, and labor rates carry a union flag. There is no agreement: no fringe schedule, no wage determination, no work rule, no dues or remittance — and its absence is why the overtime rule in F4 was left unbuilt rather than guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-031,Prevailing Wage and Certified Payroll,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No wage determination, no prevailing wage rate, no certified payroll report, no WH-347, no apprentice ratio. A domain with statutory weight on public work and no representation at all. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-032,Training and LMS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"A credential can be typed 'training' and that is the whole of it: no course, no curriculum, no enrollment, no completion record, no expiry driving a retraining requirement. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-033,Licenses and Certifications,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-034,Safety and Health Integration,not_verified,partial,integration outcomes,data; permissions; validation; audit,"The strongest link in the phase: an assignment is refused on a credential gap, incidents tie to employees, and TRIR and DART are computed from recordables against the same approved hours payroll would use. There is no medical surveillance, no return-to-work program and no fitness-for-duty record. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-035,Leave and Absence,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'on_leave' and there is no leave record anywhere — no request, no balance, no accrual, no calendar. Three status values the schema offers and no workflow behind any of them. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-036,Performance Management,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No review, no goal, no rating, no cycle. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-037,Career and Succession,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No career path, no succession plan, no readiness assessment, no bench. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-038,Employee and Manager Self-Service,not_verified,partial,integration outcomes,data; permissions; validation; audit,"An employee record can link to a login, and approval carries an approver. There is no self-service surface: no timesheet a worker submits for themselves, no request, no profile a manager maintains. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-039,Workforce Digital Twin,not_verified,not_built,integration outcomes,data; permissions; validation; audit,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally. Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-040,AI Workforce Intelligence,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No attrition model, no staffing recommendation, no skills inference. The one governed agent is capped at draft authority on documents and does not touch workforce data. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-041,Workforce Planning,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Assignments and the schedule together show who is committed where, and the estimating engine produces the labor a job will need by classification. Nothing joins the two into demand against supply: no forecast, no capacity view, no hiring plan. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-042,Recruiting and ATS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No requisition, no candidate, no pipeline, no offer. `employees.status` can say 'applicant' and nothing produces one. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-043,Onboarding,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'onboarding' and nothing drives it: no checklist, no task, no document packet, no completion gate before somebody is assigned to work. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-044,Employee Master,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-045,Skills and Competencies,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Credentials carry the work each one is a prerequisite for, and `work_credential_requirements` turns that into an enforceable rule per kind of work. There is no skills taxonomy, no proficiency level, no assessment and no gap analysis against a project's needs. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-046,Crew Management,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Crews and crew members exist as governed rows, and the estimating engine prices a crew as a composition of labor and equipment. Nothing in operations consumes them: no crew is assigned as a unit, no daily report labor line resolves to its crew's members, and no crew-level productivity is computed. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-047,Time and Attendance,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Time is captured per employee, project, task and cost code, with a source, an approval state that gates every downstream figure, a per diem, and a freeze once exported. Since 0044 approved time posts to the job at the governed rate and reconciles against the daily report. What is missing is the classification rule: nothing derives overtime from hours worked, so the split between straight, overtime and double time is whatever somebody typed — recorded as F4 with the reason it was not guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-048,Workforce Scheduling,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Resource assignments tie a person to a project over dates, cannot overlap for one resource, and are now refused where a mandatory credential is missing or lapsed. There is no schedule board, no availability calendar, no shift pattern and no dispatch. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-049,Compensation and Payroll Integration,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Compensation is held and permission-separated, the loaded rate resolves through one governed function so a screen and the job cost cannot price an hour differently, and an exported timecard is frozen against edits. There is no export, no provider, no pay run, no earnings code mapping and no general ledger posting — the gap that fails this phase's integration condition. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-050,Union and Labor Agreements,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"Employees carry `is_union` and a local, and labor rates carry a union flag. There is no agreement: no fringe schedule, no wage determination, no work rule, no dues or remittance — and its absence is why the overtime rule in F4 was left unbuilt rather than guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-051,Prevailing Wage and Certified Payroll,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No wage determination, no prevailing wage rate, no certified payroll report, no WH-347, no apprentice ratio. A domain with statutory weight on public work and no representation at all. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-052,Training and LMS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"A credential can be typed 'training' and that is the whole of it: no course, no curriculum, no enrollment, no completion record, no expiry driving a retraining requirement. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-053,Licenses and Certifications,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-054,Safety and Health Integration,not_verified,partial,integration outcomes,data; permissions; validation; audit,"The strongest link in the phase: an assignment is refused on a credential gap, incidents tie to employees, and TRIR and DART are computed from recordables against the same approved hours payroll would use. There is no medical surveillance, no return-to-work program and no fitness-for-duty record. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-055,Leave and Absence,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'on_leave' and there is no leave record anywhere — no request, no balance, no accrual, no calendar. Three status values the schema offers and no workflow behind any of them. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-056,Performance Management,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No review, no goal, no rating, no cycle. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-057,Career and Succession,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No career path, no succession plan, no readiness assessment, no bench. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-058,Employee and Manager Self-Service,not_verified,partial,integration outcomes,data; permissions; validation; audit,"An employee record can link to a login, and approval carries an approver. There is no self-service surface: no timesheet a worker submits for themselves, no request, no profile a manager maintains. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-059,Workforce Digital Twin,not_verified,not_built,integration outcomes,data; permissions; validation; audit,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally. Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-060,AI Workforce Intelligence,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No attrition model, no staffing recommendation, no skills inference. The one governed agent is capped at draft authority on documents and does not touch workforce data. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-061,Workforce Planning,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Assignments and the schedule together show who is committed where, and the estimating engine produces the labor a job will need by classification. Nothing joins the two into demand against supply: no forecast, no capacity view, no hiring plan. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-062,Recruiting and ATS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No requisition, no candidate, no pipeline, no offer. `employees.status` can say 'applicant' and nothing produces one. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-063,Onboarding,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'onboarding' and nothing drives it: no checklist, no task, no document packet, no completion gate before somebody is assigned to work. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-064,Employee Master,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-065,Skills and Competencies,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Credentials carry the work each one is a prerequisite for, and `work_credential_requirements` turns that into an enforceable rule per kind of work. There is no skills taxonomy, no proficiency level, no assessment and no gap analysis against a project's needs. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-066,Crew Management,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Crews and crew members exist as governed rows, and the estimating engine prices a crew as a composition of labor and equipment. Nothing in operations consumes them: no crew is assigned as a unit, no daily report labor line resolves to its crew's members, and no crew-level productivity is computed. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-067,Time and Attendance,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Time is captured per employee, project, task and cost code, with a source, an approval state that gates every downstream figure, a per diem, and a freeze once exported. Since 0044 approved time posts to the job at the governed rate and reconciles against the daily report. What is missing is the classification rule: nothing derives overtime from hours worked, so the split between straight, overtime and double time is whatever somebody typed — recorded as F4 with the reason it was not guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-068,Workforce Scheduling,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Resource assignments tie a person to a project over dates, cannot overlap for one resource, and are now refused where a mandatory credential is missing or lapsed. There is no schedule board, no availability calendar, no shift pattern and no dispatch. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-069,Compensation and Payroll Integration,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Compensation is held and permission-separated, the loaded rate resolves through one governed function so a screen and the job cost cannot price an hour differently, and an exported timecard is frozen against edits. There is no export, no provider, no pay run, no earnings code mapping and no general ledger posting — the gap that fails this phase's integration condition. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-070,Union and Labor Agreements,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"Employees carry `is_union` and a local, and labor rates carry a union flag. There is no agreement: no fringe schedule, no wage determination, no work rule, no dues or remittance — and its absence is why the overtime rule in F4 was left unbuilt rather than guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-071,Prevailing Wage and Certified Payroll,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No wage determination, no prevailing wage rate, no certified payroll report, no WH-347, no apprentice ratio. A domain with statutory weight on public work and no representation at all. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-072,Training and LMS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"A credential can be typed 'training' and that is the whole of it: no course, no curriculum, no enrollment, no completion record, no expiry driving a retraining requirement. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-073,Licenses and Certifications,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-074,Safety and Health Integration,not_verified,partial,integration outcomes,data; permissions; validation; audit,"The strongest link in the phase: an assignment is refused on a credential gap, incidents tie to employees, and TRIR and DART are computed from recordables against the same approved hours payroll would use. There is no medical surveillance, no return-to-work program and no fitness-for-duty record. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-075,Leave and Absence,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'on_leave' and there is no leave record anywhere — no request, no balance, no accrual, no calendar. Three status values the schema offers and no workflow behind any of them. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-076,Performance Management,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No review, no goal, no rating, no cycle. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-077,Career and Succession,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No career path, no succession plan, no readiness assessment, no bench. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-078,Employee and Manager Self-Service,not_verified,partial,integration outcomes,data; permissions; validation; audit,"An employee record can link to a login, and approval carries an approver. There is no self-service surface: no timesheet a worker submits for themselves, no request, no profile a manager maintains. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-079,Workforce Digital Twin,not_verified,not_built,integration outcomes,data; permissions; validation; audit,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally. Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-080,AI Workforce Intelligence,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No attrition model, no staffing recommendation, no skills inference. The one governed agent is capped at draft authority on documents and does not touch workforce data. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-081,Workforce Planning,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Assignments and the schedule together show who is committed where, and the estimating engine produces the labor a job will need by classification. Nothing joins the two into demand against supply: no forecast, no capacity view, no hiring plan. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-082,Recruiting and ATS,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"No requisition, no candidate, no pipeline, no offer. `employees.status` can say 'applicant' and nothing produces one. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-083,Onboarding,not_verified,not_built,integration outcomes,data; permissions; validation; audit,"`employees.status` can say 'onboarding' and nothing drives it: no checklist, no task, no document packet, no completion gate before somebody is assigned to work. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-084,Employee Master,not_verified,built,integration outcomes,data; permissions; validation; audit,Blocked platform-wide by: integration outcomes (not_met).
GES-P09-REQ-085,Skills and Competencies,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Credentials carry the work each one is a prerequisite for, and `work_credential_requirements` turns that into an enforceable rule per kind of work. There is no skills taxonomy, no proficiency level, no assessment and no gap analysis against a project's needs. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-086,Crew Management,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Crews and crew members exist as governed rows, and the estimating engine prices a crew as a composition of labor and equipment. Nothing in operations consumes them: no crew is assigned as a unit, no daily report labor line resolves to its crew's members, and no crew-level productivity is computed. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-087,Time and Attendance,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Time is captured per employee, project, task and cost code, with a source, an approval state that gates every downstream figure, a per diem, and a freeze once exported. Since 0044 approved time posts to the job at the governed rate and reconciles against the daily report. What is missing is the classification rule: nothing derives overtime from hours worked, so the split between straight, overtime and double time is whatever somebody typed — recorded as F4 with the reason it was not guessed at. Blocked platform-wide by: integration outcomes (not_met)."
GES-P09-REQ-088,Workforce Scheduling,not_verified,partial,integration outcomes,data; permissions; validation; audit,"Resource assignments tie a person to a project over dates, cannot overlap for one resource, and are now refused where a mandatory credential is missing or lapsed. There is no schedule board, no availability calendar, no shift pattern and no dispatch. Blocked platform-wide by: integration outcomes (not_met)."
