requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P12-REQ-001,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-002,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-003,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-004,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-005,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-006,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-007,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-008,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-009,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-010,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-011,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-012,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-013,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
