Agent_ID,Agent_Name,Purpose
AI-AGT-001,Orchestration Agent,"Routes tasks, decomposes work, coordinates specialist agents, and assembles final responses."
AI-AGT-002,Document Intelligence Agent,"Reads plans, specifications, addenda, reports, contracts, manuals, and project files."
AI-AGT-003,Takeoff Agent,Extracts measurable quantities and generates traceable takeoff records.
AI-AGT-004,Estimating Agent,"Creates estimate-ready line items, resource buildups, pricing scenarios, and assumptions."
AI-AGT-005,Production Agent,"Recommends crews, equipment spreads, production rates, durations, and fuel usage."
AI-AGT-006,Risk Agent,"Identifies scope gaps, conflicts, uncertainty, constructability risk, and commercial exposure."
AI-AGT-007,Scheduling Agent,"Generates sequencing, durations, constraints, and schedule-impact forecasts."
AI-AGT-008,Project Management Agent,"Supports RFIs, submittals, change events, budget forecasting, and progress controls."
AI-AGT-009,Field Operations Agent,"Analyzes daily reports, field production, photos, timecards, and job conditions."
AI-AGT-010,Safety Agent,"Supports JHAs/JSAs, hazard identification, training checks, and safety observations."
AI-AGT-011,Fleet Agent,"Optimizes assignments, utilization, maintenance forecasts, rental decisions, and fuel."
AI-AGT-012,Procurement Agent,"Compares quotes, lead times, vendor performance, substitutions, and buyout status."
AI-AGT-013,CRM Agent,"Scores leads, drafts communications, recommends follow-ups, and forecasts pipeline."
AI-AGT-014,HR and Workforce Agent,"Supports staffing, certification checks, training, attendance, and workforce planning."
AI-AGT-015,Financial Intelligence Agent,"Forecasts cash flow, profitability, cost-to-complete, and variance drivers."
AI-AGT-016,Executive Agent,"Produces executive summaries, KPI explanations, strategic alerts, and decision briefs."
AI-AGT-017,Quality Agent,"Supports inspections, punch lists, nonconformance review, and corrective actions."
AI-AGT-018,Compliance Agent,"Checks tenant policies, contract requirements, records retention, and regulatory controls."
AI-AGT-019,Customer Portal Agent,"Answers authorized customer questions using project-scoped, approved information."
AI-AGT-020,Vendor and Subcontractor Agent,"Supports onboarding, compliance, bid leveling, performance, and communication."
