requirement_id,test_id,phase22_execution_control,component_id,status
P23-REQ-001,P23-TST-001,P22-EXEC-001,P23-COMP-001,Mapped
P23-REQ-002,P23-TST-002,P22-EXEC-002,P23-COMP-002,Mapped
P23-REQ-003,P23-TST-003,P22-EXEC-003,P23-COMP-003,Mapped
P23-REQ-004,P23-TST-004,P22-EXEC-004,P23-COMP-004,Mapped
P23-REQ-005,P23-TST-005,P22-EXEC-005,P23-COMP-005,Mapped
P23-REQ-006,P23-TST-006,P22-EXEC-006,P23-COMP-006,Mapped
P23-REQ-007,P23-TST-007,P22-EXEC-007,P23-COMP-007,Mapped
P23-REQ-008,P23-TST-008,P22-EXEC-008,P23-COMP-008,Mapped
P23-REQ-009,P23-TST-009,P22-EXEC-009,P23-COMP-009,Mapped
P23-REQ-010,P23-TST-010,P22-EXEC-010,P23-COMP-010,Mapped
P23-REQ-011,P23-TST-011,P22-EXEC-011,P23-COMP-011,Mapped
P23-REQ-012,P23-TST-012,P22-EXEC-012,P23-COMP-012,Mapped
P23-REQ-013,P23-TST-013,P22-EXEC-013,P23-COMP-013,Mapped
P23-REQ-014,P23-TST-014,P22-EXEC-014,P23-COMP-014,Mapped
P23-REQ-015,P23-TST-015,P22-EXEC-015,P23-COMP-015,Mapped
P23-REQ-016,P23-TST-016,P22-EXEC-016,P23-COMP-016,Mapped
P23-REQ-017,P23-TST-017,P22-EXEC-017,P23-COMP-017,Mapped
P23-REQ-018,P23-TST-018,P22-EXEC-018,P23-COMP-018,Mapped
P23-REQ-019,P23-TST-019,P22-EXEC-019,P23-COMP-019,Mapped
P23-REQ-020,P23-TST-020,P22-EXEC-020,P23-COMP-020,Mapped
P23-REQ-021,P23-TST-021,P22-EXEC-021,P23-COMP-021,Mapped
P23-REQ-022,P23-TST-022,P22-EXEC-022,P23-COMP-022,Mapped
P23-REQ-023,P23-TST-023,P22-EXEC-023,P23-COMP-023,Mapped
P23-REQ-024,P23-TST-024,P22-EXEC-024,P23-COMP-024,Mapped
P23-REQ-025,P23-TST-025,P22-EXEC-001,P23-COMP-025,Mapped
P23-REQ-026,P23-TST-026,P22-EXEC-002,P23-COMP-026,Mapped
P23-REQ-027,P23-TST-027,P22-EXEC-003,P23-COMP-027,Mapped
P23-REQ-028,P23-TST-028,P22-EXEC-004,P23-COMP-028,Mapped
P23-REQ-029,P23-TST-029,P22-EXEC-005,P23-COMP-029,Mapped
P23-REQ-030,P23-TST-030,P22-EXEC-006,P23-COMP-030,Mapped
P23-REQ-031,P23-TST-031,P22-EXEC-007,P23-COMP-031,Mapped
P23-REQ-032,P23-TST-032,P22-EXEC-008,P23-COMP-032,Mapped
P23-REQ-033,P23-TST-033,P22-EXEC-009,P23-COMP-033,Mapped
P23-REQ-034,P23-TST-034,P22-EXEC-010,P23-COMP-034,Mapped
P23-REQ-035,P23-TST-035,P22-EXEC-011,P23-COMP-035,Mapped
P23-REQ-036,P23-TST-036,P22-EXEC-012,P23-COMP-036,Mapped
P23-REQ-037,P23-TST-037,P22-EXEC-013,P23-COMP-037,Mapped
P23-REQ-038,P23-TST-038,P22-EXEC-014,P23-COMP-038,Mapped
P23-REQ-039,P23-TST-039,P22-EXEC-015,P23-COMP-039,Mapped
P23-REQ-040,P23-TST-040,P22-EXEC-016,P23-COMP-040,Mapped
P23-REQ-041,P23-TST-041,P22-EXEC-017,P23-COMP-041,Mapped
P23-REQ-042,P23-TST-042,P22-EXEC-018,P23-COMP-042,Mapped
P23-REQ-043,P23-TST-043,P22-EXEC-019,P23-COMP-043,Mapped
P23-REQ-044,P23-TST-044,P22-EXEC-020,P23-COMP-044,Mapped
P23-REQ-045,P23-TST-045,P22-EXEC-021,P23-COMP-045,Mapped
