workflow_id,name,domain,states,control
P16-WF-001,GIS Layer Creation & Publication,GIS Core,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-002,Coordinate System Assignment,Coordinate Reference Systems,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-003,Coordinate Transformation Review,Survey Control,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-004,Survey Control Establishment,GNSS Survey,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-005,Control Network Adjustment,Total Station Survey,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-006,Benchmark Verification,Digital Levels,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-007,GNSS RTK Survey,Construction Layout,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-008,GNSS Static Survey,Topographic Survey,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-009,RTN/Correction Validation,Existing Conditions,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-010,Total Station Setup & Traverse,Drone Operations,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-011,Digital Level Loop,Photogrammetry,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-012,Construction Stakeout,LiDAR Reality Capture,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-013,Stakeout Verification,Point Cloud Management,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
P16-WF-014,Topographic Survey,Orthomosaic Management,Initiate > Validate > Capture/Process > QA/QC > Review > Approve > Publish/Export > Archive,"CRS/datum, quality and authorization gates enforced"
