requirement_id,module_code,entity,business_rule_id,engine_id,api_id,ui_id,test_id
GES-P05-REQ-001,EST,Estimate,GES-P05-BR-001,GES-P05-ENG-016,GES-P05-API-001,GES-P05-UI-001,GES-P05-TC-001
GES-P05-REQ-002,EST,EstimateVersion,GES-P05-BR-002,GES-P05-ENG-016,GES-P05-API-002,GES-P05-UI-002,GES-P05-TC-002
GES-P05-REQ-003,EST,EstimateSection,GES-P05-BR-003,GES-P05-ENG-016,GES-P05-API-003,GES-P05-UI-003,GES-P05-TC-003
GES-P05-REQ-004,EST,EstimateLine,GES-P05-BR-004,GES-P05-ENG-016,GES-P05-API-004,GES-P05-UI-004,GES-P05-TC-004
GES-P05-REQ-005,EST,EstimateAlternate,GES-P05-BR-005,GES-P05-ENG-016,GES-P05-API-005,GES-P05-UI-005,GES-P05-TC-005
GES-P05-REQ-006,EST,EstimateAssumption,GES-P05-BR-006,GES-P05-ENG-016,GES-P05-API-006,GES-P05-UI-006,GES-P05-TC-006
GES-P05-REQ-007,QTY,EstimateExclusion,GES-P05-BR-007,GES-P05-ENG-007,GES-P05-API-007,GES-P05-UI-007,GES-P05-TC-007
GES-P05-REQ-008,QTY,QuantityRecord,GES-P05-BR-008,GES-P05-ENG-008,GES-P05-API-008,GES-P05-UI-008,GES-P05-TC-008
GES-P05-REQ-009,QTY,TakeoffDocument,GES-P05-BR-009,GES-P05-ENG-009,GES-P05-API-009,GES-P05-UI-009,GES-P05-TC-009
GES-P05-REQ-010,QTY,TakeoffMeasurement,GES-P05-BR-010,GES-P05-ENG-010,GES-P05-API-010,GES-P05-UI-010,GES-P05-TC-010
GES-P05-REQ-011,QTY,TakeoffRevisionComparison,GES-P05-BR-011,GES-P05-ENG-011,GES-P05-API-011,GES-P05-UI-011,GES-P05-TC-011
GES-P05-REQ-012,QTY,Assembly,GES-P05-BR-012,GES-P05-ENG-012,GES-P05-API-012,GES-P05-UI-012,GES-P05-TC-012
GES-P05-REQ-013,TAK,AssemblyComponent,GES-P05-BR-013,GES-P05-ENG-002,GES-P05-API-013,GES-P05-UI-001,GES-P05-TC-013
