phase,phase_title,requirement_id,test_id,engine_id,api_id,ui_id,status
04,Master Library Registry,GES-P04-REQ-001,,,,,
04,Master Library Registry,GES-P04-REQ-002,,,,,
04,Master Library Registry,GES-P04-REQ-003,,,,,
04,Master Library Registry,GES-P04-REQ-004,,,,,
04,Master Library Registry,GES-P04-REQ-005,,,,,
04,Master Library Registry,GES-P04-REQ-006,,,,,
04,Master Library Registry,GES-P04-REQ-007,,,,,
04,Master Library Registry,GES-P04-REQ-008,,,,,
04,Master Library Registry,GES-P04-REQ-009,,,,,
04,Master Library Registry,GES-P04-REQ-010,,,,,
04,Master Library Registry,GES-P04-REQ-011,,,,,
04,Master Library Registry,GES-P04-REQ-012,,,,,
04,Master Library Registry,GES-P04-REQ-013,,,,,
04,Master Library Registry,GES-P04-REQ-014,,,,,
04,Master Library Registry,GES-P04-REQ-015,,,,,
04,Master Library Registry,GES-P04-REQ-016,,,,,
04,Master Library Registry,GES-P04-REQ-017,,,,,
04,Master Library Registry,GES-P04-REQ-018,,,,,
04,Master Library Registry,GES-P04-REQ-019,,,,,
04,Master Library Registry,GES-P04-REQ-020,,,,,
04,Master Library Registry,GES-P04-REQ-021,,,,,
04,Master Library Registry,GES-P04-REQ-022,,,,,
04,Master Library Registry,GES-P04-REQ-023,,,,,
04,Master Library Registry,GES-P04-REQ-024,,,,,
04,Master Library Registry,GES-P04-REQ-025,,,,,
04,Master Library Registry,GES-P04-REQ-026,,,,,
04,Master Library Registry,GES-P04-REQ-027,,,,,
04,Master Library Registry,GES-P04-REQ-028,,,,,
04,Master Library Registry,GES-P04-REQ-029,,,,,
04,Master Library Registry,GES-P04-REQ-030,,,,,
04,Master Library Registry,GES-P04-REQ-031,,,,,
04,Master Library Registry,GES-P04-REQ-032,,,,,
04,Master Library Registry,GES-P04-REQ-033,,,,,
04,Master Library Registry,GES-P04-REQ-034,,,,,
04,Master Library Registry,GES-P04-REQ-035,,,,,
04,Master Library Registry,GES-P04-REQ-036,,,,,
04,Master Library Registry,GES-P04-REQ-037,,,,,
04,Master Library Registry,GES-P04-REQ-038,,,,,
04,Master Library Registry,GES-P04-REQ-039,,,,,
04,Master Library Registry,GES-P04-REQ-040,,,,,
04,Master Library Registry,GES-P04-REQ-041,,,,,
04,Master Library Registry,GES-P04-REQ-042,,,,,
04,Master Library Registry,GES-P04-REQ-043,,,,,
04,Master Library Registry,GES-P04-REQ-044,,,,,
04,Master Library Registry,GES-P04-REQ-045,,,,,
04,Master Library Registry,GES-P04-REQ-046,,,,,
04,Master Library Registry,GES-P04-REQ-047,,,,,
04,Master Library Registry,GES-P04-REQ-048,,,,,
04,Master Library Registry,GES-P04-REQ-049,,,,,
04,Master Library Registry,GES-P04-REQ-050,,,,,
04,Master Library Registry,GES-P04-REQ-051,,,,,
04,Master Library Registry,GES-P04-REQ-052,,,,,
04,Master Library Registry,GES-P04-REQ-053,,,,,
04,Master Library Registry,GES-P04-REQ-054,,,,,
04,Master Library Registry,GES-P04-REQ-055,,,,,
04,Master Library Registry,GES-P04-REQ-056,,,,,
04,Master Library Registry,GES-P04-REQ-057,,,,,
04,Master Library Registry,GES-P04-REQ-058,,,,,
04,Master Library Registry,GES-P04-REQ-059,,,,,
04,Master Library Registry,GES-P04-REQ-060,,,,,
04,Master Library Registry,GES-P04-REQ-061,,,,,
04,Master Library Registry,GES-P04-REQ-062,,,,,
04,Master Library Registry,GES-P04-REQ-063,,,,,
04,Master Library Registry,GES-P04-REQ-064,,,,,
04,Master Library Registry,GES-P04-REQ-065,,,,,
04,Master Library Registry,GES-P04-REQ-066,,,,,
04,Master Library Registry,GES-P04-REQ-067,,,,,
04,Master Library Registry,GES-P04-REQ-068,,,,,
04,Master Library Registry,GES-P04-REQ-069,,,,,
04,Master Library Registry,GES-P04-REQ-070,,,,,
04,Master Library Registry,GES-P04-REQ-071,,,,,
04,Master Library Registry,GES-P04-REQ-072,,,,,
04,Master Library Registry,GES-P04-REQ-073,,,,,
04,Master Library Registry,GES-P04-REQ-074,,,,,
04,Master Library Registry,GES-P04-REQ-075,,,,,
04,Master Library Registry,GES-P04-REQ-076,,,,,
04,Master Library Registry,GES-P04-REQ-077,,,,,
04,Master Library Registry,GES-P04-REQ-078,,,,,
04,Master Library Registry,GES-P04-REQ-079,,,,,
04,Master Library Registry,GES-P04-REQ-080,,,,,
04,Master Library Registry,GES-P04-REQ-081,,,,,
04,Master Library Registry,GES-P04-REQ-082,,,,,
04,Master Library Registry,GES-P04-REQ-083,,,,,
04,Master Library Registry,GES-P04-REQ-084,,,,,
04,Master Library Registry,GES-P04-REQ-085,,,,,
04,Master Library Registry,GES-P04-REQ-086,,,,,
04,Master Library Registry,GES-P04-REQ-087,,,,,
04,Master Library Registry,GES-P04-REQ-088,,,,,
04,Master Library Registry,GES-P04-REQ-089,,,,,
04,Master Library Registry,GES-P04-REQ-090,,,,,
04,Master Library Registry,GES-P04-REQ-091,,,,,
04,Master Library Registry,GES-P04-REQ-092,,,,,
04,Master Library Registry,GES-P04-REQ-093,,,,,
04,Master Library Registry,GES-P04-REQ-094,,,,,
04,Master Library Registry,GES-P04-REQ-095,,,,,
04,Master Library Registry,GES-P04-REQ-096,,,,,
04,Master Library Registry,GES-P04-REQ-097,,,,,
06,AI Construction Intelligence,AI-REQ-001,AI-TST-001,,,,Mapped
06,AI Construction Intelligence,AI-REQ-002,AI-TST-002,,,,Mapped
06,AI Construction Intelligence,AI-REQ-003,AI-TST-003,,,,Mapped
06,AI Construction Intelligence,AI-REQ-004,AI-TST-004,,,,Mapped
